,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,1.0,-0.0032 (nan%),-0.0295 (nan%),0.0076 (nan%),0.0225 (nan%),0.0105 (nan%),-0.0166 (nan%),-0.0009 (nan%),-0.0008 (nan%),0.0101 (nan%),0.0080 (nan%),0.0100 (nan%),0.0051 (nan%)
1,73.0,-0.0146 (6.05%),-0.0314 (3.18%),-0.0623 (0.38%),-0.1210 (0.04%),-0.1242 (0.05%),-0.1611 (0.02%),-0.0141 (5.10%),-0.0213 (9.67%),-0.0358 (4.30%),-0.0662 (1.62%),-0.0658 (3.03%),-0.0891 (1.26%)
2,55.0,-0.0031 (46.06%),-0.0139 (15.13%),-0.0040 (82.30%),-0.0035 (87.07%),-0.0216 (42.69%),-0.0204 (51.59%),-0.0026 (51.72%),-0.0105 (23.69%),-0.0034 (83.43%),0.0002 (99.02%),-0.0170 (54.69%),-0.0110 (73.76%)
3,5.0,0.0013 (86.97%),0.0094 (75.34%),0.0365 (29.98%),-0.0239 (85.97%),-0.0140 (91.69%),-0.0142 (94.54%),0.0132 (13.21%),0.0284 (30.55%),0.0496 (18.92%),-0.0177 (89.37%),-0.0136 (91.93%),-0.0258 (88.59%)
4,261.0,-0.0001 (95.25%),0.0020 (66.07%),-0.0066 (35.38%),-0.0181 (4.77%),-0.0238 (3.05%),-0.0259 (7.31%),0.0002 (94.28%),0.0055 (21.51%),-0.0013 (85.20%),-0.0058 (51.74%),-0.0074 (49.27%),-0.0060 (67.23%)
5,44.0,0.0082 (1.45%),0.0157 (5.74%),0.0306 (7.08%),-0.0030 (90.32%),-0.0204 (49.02%),-0.0113 (76.63%),0.0080 (1.54%),0.0180 (3.05%),0.0384 (1.60%),0.0109 (65.24%),0.0053 (85.26%),0.0154 (66.45%)
6,24.0,-0.0002 (98.89%),0.0090 (49.64%),0.0197 (45.75%),0.0258 (49.49%),0.0034 (94.68%),-0.0062 (90.98%),-0.0009 (94.48%),0.0068 (62.27%),0.0079 (74.36%),0.0115 (75.87%),-0.0095 (85.82%),-0.0264 (64.37%)
7,15.0,-0.0120 (9.65%),-0.0140 (38.97%),-0.0239 (26.38%),-0.0292 (21.13%),-0.0135 (70.11%),-0.0404 (28.27%),-0.0108 (9.03%),-0.0104 (48.62%),-0.0238 (21.40%),-0.0152 (55.36%),0.0005 (98.95%),-0.0151 (67.96%)
8,115.0,-0.0001 (97.03%),-0.0025 (63.73%),-0.0017 (81.66%),-0.0037 (77.77%),-0.0240 (16.57%),-0.0181 (31.71%),0.0004 (90.47%),-0.0032 (54.13%),-0.0099 (17.28%),-0.0174 (19.47%),-0.0324 (6.02%),-0.0294 (9.51%)
9,78.0,-0.0020 (20.19%),-0.0026 (56.25%),-0.0061 (41.78%),-0.0036 (78.22%),-0.0096 (54.78%),-0.0175 (32.23%),-0.0029 (7.31%),-0.0086 (5.10%),-0.0137 (6.06%),-0.0196 (13.25%),-0.0250 (11.30%),-0.0354 (4.07%)
10,11.0,0.0065 (23.66%),-0.0123 (57.18%),-0.0423 (27.83%),-0.0834 (19.94%),-0.1141 (3.11%),-0.1131 (4.68%),0.0044 (37.28%),-0.0120 (54.04%),-0.0444 (26.36%),-0.0754 (22.07%),-0.1118 (2.13%),-0.0980 (7.48%)
11,23.0,0.0049 (13.26%),0.0090 (39.24%),0.0214 (24.11%),0.0280 (24.50%),0.0310 (31.40%),0.0107 (75.85%),0.0040 (26.21%),0.0085 (42.90%),0.0164 (34.51%),0.0151 (50.00%),0.0112 (71.19%),-0.0145 (68.17%)
13,17.0,0.0020 (75.60%),0.0100 (48.17%),0.0016 (93.76%),0.0173 (48.44%),0.0204 (43.31%),0.0551 (17.14%),0.0034 (62.83%),0.0107 (42.38%),0.0026 (89.82%),0.0098 (65.50%),0.0041 (85.79%),0.0400 (27.61%)
14,1.0,0.0104 (nan%),-0.0136 (nan%),-0.1211 (nan%),-0.0123 (nan%),0.0476 (nan%),0.0584 (nan%),0.0017 (nan%),-0.0391 (nan%),-0.1556 (nan%),-0.0724 (nan%),-0.0029 (nan%),0.0116 (nan%)
15,5.0,-0.0198 (12.49%),-0.0184 (57.85%),-0.0310 (32.83%),-0.0386 (29.38%),-0.0057 (92.15%),0.0071 (92.86%),-0.0146 (24.87%),-0.0143 (65.34%),-0.0099 (16.01%),-0.0093 (74.13%),-0.0056 (88.13%),0.0077 (92.74%)
16,6.0,0.0011 (88.58%),-0.0186 (50.54%),-0.0047 (82.45%),-0.0574 (31.12%),-0.0360 (67.48%),-0.0210 (83.43%),0.0064 (33.04%),-0.0213 (33.77%),-0.0226 (51.68%),-0.0956 (25.21%),-0.0850 (46.12%),-0.0963 (45.47%)
17,63.0,0.0004 (94.55%),-0.0132 (9.23%),-0.0266 (9.86%),-0.0372 (4.54%),-0.0464 (3.20%),-0.0875 (0.28%),-0.0002 (96.68%),-0.0145 (12.97%),-0.0309 (5.43%),-0.0403 (2.35%),-0.0502 (1.86%),-0.0941 (0.16%)
Total,797.0,-0.14% (31.64%),-0.39% (11.82%),-0.93% (2.2%),-2.18% (0.02%),-3.06% (0.0%),-3.77% (0.0%),-0.12% (38.17%),-0.21% (37.72%),-0.74% (4.93%),-1.63% (0.27%),-2.26% (0.06%),-2.8% (0.04%)
