1546417,1636222,1002579,1357204,1058090,7032,1468174,1620533,940944,1525769,1653653,745308,1041061,1618756,1673358,1584509,316206,1048286,1566897,1300514,1524358,1585689,1174922,858339
2019-05-02,2019-06-25,2004-03-08,2018-05-22,2016-05-11,2011-03-24,2018-04-02,2019-10-04,2008-06-24,2019-06-14,2017-09-21,2014-01-06,2019-08-01,2019-11-20,2016-11-01,2019-10-07,2012-11-26,2019-07-01,2016-06-29,2019-05-31,2017-08-21,2018-05-11,2018-05-22,2019-07-02
2013-04-29,2018-05-04,,2016-05-13,2014-05-16,2009-11-04,2018-01-23,,2007-08-17,2017-06-12,2016-10-03,2013-11-07,2019-05-01,2019-09-24,,2019-08-26,2012-11-26,2016-06-13,2015-03-03,2018-06-08,2016-04-07,2018-04-19,2013-09-09,2019-06-25
,2016-12-23,,2015-05-13,2011-09-20,,2017-05-18,,,2015-05-18,,2013-10-03,2018-11-15,,,2019-08-26,2012-11-26,2013-07-19,2013-09-17,2017-03-30,2015-05-15,2017-07-26,2013-04-23,2019-04-17
,,,2015-05-05,2011-05-26,,2013-08-28,,,,,2011-10-31,2009-11-23,,,2017-12-12,2011-05-10,2011-06-27,,2016-08-25,2014-09-11,2017-05-26,2012-09-10,2019-03-01
,,,2015-01-12,2008-05-23,,2011-08-09,,,,,,,,,2017-10-16,,2011-05-09,,2016-03-23,2013-06-13,2017-05-24,2012-04-25,2018-12-26
,,,2014-05-07,2006-05-08,,2011-06-20,,,,,,,,,,,2009-08-06,,2015-08-20,2012-11-30,2017-03-22,2012-03-13,2018-07-16
,,,2014-01-13,,,,,,,,,,,,,,2008-11-12,,2015-03-26,2012-03-16,2017-01-04,2011-09-06,2018-07-12
,,,2013-05-16,,,,,,,,,,,,,,2007-05-16,,2015-01-28,2011-11-22,2016-08-18,2011-04-13,2018-06-01
,,,2012-10-10,,,,,,,,,,,,,,2005-06-08,,2014-08-28,,2016-05-06,2010-04-26,2018-05-10
,,,2012-05-16,,,,,,,,,,,,,,2005-02-08,,2014-07-16,,2015-05-08,,2018-04-16
,,,,,,,,,,,,,,,,,,,2014-04-24,,,,2017-12-22
,,,,,,,,,,,,,,,,,,,2014-03-27,,,,2017-12-22
,,,,,,,,,,,,,,,,,,,2013-10-17,,,,2017-12-18
,,,,,,,,,,,,,,,,,,,2013-07-24,,,,2017-12-01
,,,,,,,,,,,,,,,,,,,2013-05-01,,,,2017-11-29
,,,,,,,,,,,,,,,,,,,2013-03-21,,,,2017-11-21
,,,,,,,,,,,,,,,,,,,2013-01-30,,,,2017-11-17
,,,,,,,,,,,,,,,,,,,2012-11-01,,,,2017-11-17
,,,,,,,,,,,,,,,,,,,2012-07-25,,,,2017-11-03
,,,,,,,,,,,,,,,,,,,2012-04-26,,,,2017-10-23
,,,,,,,,,,,,,,,,,,,2012-04-25,,,,2017-10-13
,,,,,,,,,,,,,,,,,,,2012-02-01,,,,2017-09-29
,,,,,,,,,,,,,,,,,,,2011-10-27,,,,2017-09-28
,,,,,,,,,,,,,,,,,,,2011-07-26,,,,2017-07-26
,,,,,,,,,,,,,,,,,,,2011-05-03,,,,2017-07-14
,,,,,,,,,,,,,,,,,,,2011-04-20,,,,2017-05-18
,,,,,,,,,,,,,,,,,,,2011-02-03,,,,2017-05-12
,,,,,,,,,,,,,,,,,,,2010-10-27,,,,2017-05-10
,,,,,,,,,,,,,,,,,,,2010-07-28,,,,2017-04-25
,,,,,,,,,,,,,,,,,,,2010-05-10,,,,2017-04-05
,,,,,,,,,,,,,,,,,,,2010-05-06,,,,2017-03-17
,,,,,,,,,,,,,,,,,,,,,,,2017-02-21
,,,,,,,,,,,,,,,,,,,,,,,2017-01-17
,,,,,,,,,,,,,,,,,,,,,,,2016-12-05
,,,,,,,,,,,,,,,,,,,,,,,2016-10-06
