CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1637207,2017-05-29,2017-05-30,1.0097628583095377,1.0092981,0.0004647583095376273,0.8764247353031444,,0.023618817993733998,0.06007177868262503,0.11108716363875448,0.15750522576705017,0.3172849550897967,Fun,0.0029513883095375615,0.02135298029189192,0.06480339553216963,0.09772484555640215,0.09219665215859796,0.24181123002126048
1656239,2017-12-19,2017-12-20,1.030711361545675,1.00250024,0.028211121545675066,0.9564415373954686,,-0.00810937547402446,-0.0037612942999037946,-0.06647263266020209,0.02143391422545171,-0.011662292395732798,Fun,0.027709121545675064,-0.011698132585589827,-0.14171882768689903,-0.3063463859547664,-0.2358561513082018,-0.3987236469440216
1564902,2017-06-15,2017-06-16,0.9745300132126371,1.0082974199999999,-0.033767406787362786,1.9320695885510264,,-0.011253134933323916,-0.08402339590628283,-0.2285811896656772,-0.3283641608525797,-0.29906774565661154,Fun,-0.040215886787362765,-0.0016476065871422474,-0.11735841556729332,-0.2857039592523213,-0.3759470313154375,-0.3416882620042885
1564902,2017-04-03,2017-04-04,0.9797925208805703,0.9960978,-0.016305279119429694,0.5733561266355223,,-0.08259470230116239,-0.023673352029854322,-0.1384283072123179,-0.3415681150993579,-0.40434999663257964,Fun,-0.006941779119429725,-0.07366004382047597,-0.05325281029653406,-0.17857600096199866,-0.3955929696490361,-0.4849360636296989
1564902,2016-06-16,2016-06-17,0.9845757893110383,1.0040787000000002,-0.019502910688961927,0.8806800414722877,,-0.10112771619094718,-0.08289162441109688,-0.2376890788850452,-0.14677821933543977,0.06455203823207634,Fun,-0.005297150688961749,-0.0719726626196755,-0.068141439251024,-0.27992942017860645,-0.286201870121073,-0.07866249275584702
1564902,2015-11-04,2015-11-05,0.9293032256274137,1.00059888,-0.07129565437258634,0.7164401640289412,0.0,-0.11202954193426518,0.0039064942477957665,0.06084056756507561,-0.008204567494657033,0.03382023673517953,Fun,-0.0736740243725863,-0.09708089635741557,0.013520032038511487,0.1242398282689593,-0.014205804894765972,0.10703632267365926
1564902,2015-08-05,2015-08-06,1.0379310265449218,0.9876316799999999,0.05029934654492185,1.5303853097948066,0.0,0.11255495763944623,0.07942499620225807,0.16328969506749735,0.08479371910590161,0.20926436766460332,Fun,0.03472895654492181,0.16482514562875628,0.15291617643893074,0.22102147342581402,0.15237815364469465,0.2890411633919784
1564902,2015-06-11,2015-06-12,0.9922518232267412,0.9891288000000001,0.003123023226741073,1.2870732290494131,,-0.04918749774995723,-0.12322304749333568,-0.0760972517242251,-0.042730497759734254,-0.12480909541958429,Fun,0.0072115732267411525,-0.02660992677238283,-0.15497642236591813,-0.08189416986442744,-0.03575880192601999,-0.17989691652651052
1564902,2015-05-06,2015-05-07,0.9740017943598452,1.01604719,-0.04204539564015486,1.4315113572061073,0.0,-0.03717256580928374,-0.1144059596783884,-0.19069590430820116,-0.12479254834159248,-0.06750156654335404,Fun,-0.040535165640155024,-0.04784587547954178,-0.1459343683213592,-0.2884003510926759,-0.16090261989869015,-0.09907206087035147
1564902,2015-02-25,2015-02-26,0.920884492374873,0.99560288,-0.07471838762512695,1.7658735547731683,0.0,-0.06368374772984264,-0.004378437017323433,0.05486583170395587,-0.10578182036576567,-0.06802871957289158,Fun,-0.07640326762512695,-0.030197076537584633,-0.030586663416514837,0.03728632121503206,-0.17928616670231812,-0.18985475525914253
1564902,2014-11-11,2014-11-12,0.9150537692848609,1.00039979,-0.08534602071513897,0.6711255189616141,0.0,-0.113844919332458,-0.08414538147464168,-0.03278400074894028,0.03254605467424243,0.09460869335934885,Fun,-0.09787061071513892,-0.09745519126374846,-0.009258180484311151,-0.006897983317238343,0.07687617663779056,0.1232449763699539
1564902,2014-08-12,2014-08-13,0.6394316250061738,1.0113303599999999,-0.3718987349938261,2.0040601196723338,0.0,-0.2959717765201243,-0.3158375218846011,-0.38140274589638734,-0.45529685221581107,-0.4315603741078914,Fun,-0.36506587499382626,-0.272399466007352,-0.2488526706565315,-0.26081120229879506,-0.27090169841387235,-0.29301917125207766
1564902,2014-06-12,2014-06-13,0.9773770316702426,1.0044040300000001,-0.027026998329757523,0.475946171789866,,-0.0998392867260357,-0.09667776496439706,-0.3623254902048877,-0.4135083515488074,-0.5442009182523638,Fun,-0.03203840832975735,-0.12784477413743922,-0.09553722137207776,-0.28911353151436414,-0.32726440341266005,-0.38278620675437514
1564902,2014-05-13,2014-05-14,0.992310279391185,0.985054,0.007256279391185005,1.2425906861428093,0.0,0.014926603093613044,-0.08857623446371932,-0.11320268358033037,-0.3758772305070974,-0.4249668590617992,Fun,0.013932879391184927,-0.021718950088219557,-0.11927386252024874,-0.08585171452351559,-0.26902403734170266,-0.31480273712627327
1564902,2014-03-12,2014-03-13,1.005869707991218,0.98631936,0.01955034799121802,1.4023291678134195,0.0,-0.046858448171276934,-0.06844987933000624,-0.07449384327616115,-0.1865891694738765,-0.4404026116663422,Fun,0.032698007991218025,0.03153755647554091,0.04534508959584471,0.05841786424661066,-0.056764994878078956,-0.24125567209642917
1564902,2013-11-12,2013-11-13,0.9611528894688501,1.0133386999999998,-0.05218581053114968,0.8539402701652928,0.0,-0.09628046905321752,-0.1523480662408203,-0.017740770073859657,-0.08477850325121372,-0.10446963963144773,Fun,-0.05091061053114987,-0.09178087225467624,-0.19921247715633328,-0.12568817204567928,-0.1347841724448896,-0.0884426983490667
