CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1580608,2015-07-14,2015-07-15,1.0325271351766157,1.00588518,0.026641955176615717,1.3762758496818666,,0.05206191829422557,0.00013606565699553208,-0.06990504733683056,-0.22055048243258868,-0.30465640745544276,Banks,0.015051935176615627,0.03601194793864382,-0.008913672882121637,-0.06362462658096724,-0.24097021198349722,-0.29672752130167246
1580608,2014-04-30,2014-05-01,0.9894459202491717,0.99969972,-0.010253799750828296,0.7555235834192555,0.0,-0.05783815968158201,-0.2066873410581418,-0.1772048380187654,-0.21096823156138567,-0.24008193520418797,Banks,-0.01185107975082822,-0.04984502650316358,-0.21246834136154114,-0.17268521675429183,-0.19876152218198273,-0.23949393910208439
1578735,2016-06-23,2016-06-24,0.9325011955099421,0.9430658999999999,-0.010564704490057752,0.8304050543747076,,-0.041287100589442294,-0.018929937396688468,-0.012238245792355329,-0.0629870939146957,0.0450814935260182,Insur,-0.0017610744900579123,-0.01575204948958908,0.005273899529117498,0.0029343362663396544,-0.049697368605762904,0.0018562577927148105
1578735,2016-01-25,2016-01-26,0.9964394865021623,1.0039312800000002,-0.007491793497837906,0.6908991140010248,,-0.0023788385186296335,-0.016381229403668263,-0.012298062623802286,-0.05214185270943572,-0.09415808345335708,Insur,-0.001762233497837773,-0.00020216686918628213,-0.004505556093868712,0.0028988558115603524,-0.05154958549036426,-0.06010914121185884
1592386,2019-05-16,2019-05-17,0.9983193693503816,0.98624745,0.012071919350381544,4.5811381277173675,,0.015142722614406301,-0.12046807983318164,-0.2513939537700862,-0.28582155699981493,-0.3690350749900593,Fin,0.004622769350381639,0.00314163088734154,-0.12672801164598968,-0.24654628632313935,-0.3148636162702819,-0.3895409335550515
1592386,2018-05-14,2018-05-15,1.0167785239194966,0.99937305,0.01740547391949665,8.739110465268675,,0.051599723114136964,-0.08386341653400953,-0.34787528452001093,-0.3373422842651066,-0.20560000147401214,Fin,0.017197843919496747,0.072617797701376,-0.03429616686917647,-0.2603366640911472,-0.2415003457827286,-0.11281099829903152
1592386,2017-10-25,2017-10-26,0.9693877676800053,1.0102164,-0.04082863231999467,1.8181514529751395,,0.11128281221987812,0.10595121159581411,0.19407522334439054,1.1551022373351112,1.4864809288110925,Fin,-0.03590665231999468,0.12717257847939978,0.07308540537777186,0.15399813900756443,1.1003427277922673,1.440991300797039
1592386,2017-07-20,2017-07-21,1.003048850339771,0.99890024,0.004148610339770986,0.9873765626364569,,-0.015124606433122745,0.07983873582480183,-0.04037916006173692,-0.13003484692370337,0.013160554616009845,Fin,0.0018493003397708208,-0.02956602180900192,0.08546533765302378,-0.07702116196652886,-0.16448248508606955,-0.054581200822275466
1592386,2017-04-20,2017-04-21,0.9635258143682551,1.00896696,-0.04544114563174484,3.306696335337998,,-0.10700758937961585,-0.02676241446103056,-0.05129065115839715,0.039987669242777635,-0.08441972079724858,Fin,-0.04969706563174492,-0.103134655919219,-0.0076304513351628245,-0.08236267864919655,0.020207767858663184,-0.15753843705010917
1592386,2017-02-01,2017-02-02,1.0450703795527043,1.00799836,0.03707201955270434,2.0176485609752435,0.0,0.025994943796407766,-0.11390097000120336,-0.1913497291071039,-0.08949390302638838,-0.16888598383348763,Fin,0.032495109552704404,0.010354120756672636,-0.11236486700514836,-0.15775015148213611,-0.07563008031301655,-0.17706134254329264
