1299688,1580608,913357,1594012,888002,1584207,1578735,1013220,1592386,1739940,1315657,927628,1593538,5513,811612,1472787,1126328,1137774,870517,886982,922621,1475922,1079577,1304994,921847,4962,1475841,1613665,1520566,1571949,1267238,1535929,777001,1479750,1178970,860748,1422183,1029786,36377,1615418,1403385,1365790,1360683,1156039,1490906,1381197,895421,1264755,1585064,1171825,1056288,750556,1295230,1430592,1442145,1409970,874501,806085,1184702,1403161,1617242,315709,759944,1141391,1601712,1476651,1132327,1502749,1295172,1176948,1052100,1137048,899051,1122304,1393612,1368007,1430723,923687,1365135,1575879,1569391,820027,40729,86312,831001,874766,1120193,1276520,1397911,1099219,5272
,2015-07-15,2006-11-13,,2011-10-27,,2016-06-24,2004-11-10,2019-05-17,,2013-12-27,2011-07-13,2017-05-26,2018-05-25,,2017-05-12,2014-05-27,2019-09-05,2005-04-21,2017-04-28,2019-05-03,2011-05-19,2015-05-13,,2014-12-22,2013-05-02,,,2014-05-22,2017-05-22,2018-01-09,2015-03-09,2000-09-28,,,2018-02-14,2014-03-12,,2018-01-09,2018-08-08,2011-09-30,2010-10-18,2016-01-26,2019-05-15,2013-01-23,2019-04-23,2011-05-19,,2014-10-07,2019-08-16,,2009-01-02,2007-05-01,2014-11-06,2014-01-14,2014-12-16,2016-12-01,2007-12-07,2005-09-30,2012-01-31,2019-12-19,2019-05-21,2019-09-10,2011-06-07,2015-05-27,2016-05-17,,2015-05-26,2010-03-02,,2018-02-20,,2019-05-16,2014-06-04,2009-03-13,2013-06-05,,,2018-05-22,2017-07-07,2017-04-21,2018-04-27,2019-05-08,2017-06-20,2018-07-02,2019-08-19,2019-04-26,2018-03-09,2019-11-12,2018-09-26,2019-11-25
,2014-05-01,2006-02-17,,,,2016-01-26,,2018-05-15,,,2011-07-13,2015-08-04,2016-05-26,,2016-05-13,2012-05-25,2015-02-10,2005-02-28,2015-05-22,2011-08-04,,2014-05-15,,,2011-05-05,,,2012-06-14,,2017-10-18,2014-12-16,,,,2018-02-14,,,2005-01-26,2018-08-08,2011-05-17,,,2018-05-16,2011-08-02,2017-04-26,2009-05-22,,2014-01-28,2016-03-23,,2008-10-23,2007-05-01,2014-11-06,2012-03-23,2014-04-17,2010-01-29,,,2011-02-02,2017-11-02,2013-05-23,2019-05-14,2009-01-02,2014-11-19,,,2014-05-27,2009-02-19,,2017-10-24,,2016-11-28,2013-05-22,2007-07-09,2013-04-26,,,2013-06-03,2017-06-23,2013-08-09,2018-01-24,2017-05-04,2017-06-20,2013-08-30,2016-07-21,2018-04-27,2017-03-07,2017-09-21,2017-08-07,2017-06-28
,,,,,,,,2017-10-26,,,2008-11-18,2014-12-11,2015-05-21,,2015-05-14,2011-08-18,2012-02-15,2005-01-21,2010-05-11,2009-05-11,,2013-05-15,,,2002-08-01,,,,,2017-05-12,2014-12-05,,,,2009-02-09,,,,,,,,2017-05-18,,2015-04-29,2008-04-10,,,2010-02-08,,2006-11-16,,2012-11-06,,,,,,2011-01-31,2015-10-30,2009-12-22,2019-04-26,2002-07-12,2014-08-11,,,,,,2016-02-02,,2014-05-20,,2007-07-05,2012-04-27,,,2012-05-25,2017-04-25,2013-07-01,2014-05-01,2016-05-05,2014-09-10,2013-05-17,2015-12-17,2018-01-31,2015-05-18,2017-03-10,2017-06-15,2016-08-16
,,,,,,,,2017-07-21,,,2007-10-30,,2014-05-20,,2014-05-16,2011-05-23,2011-10-12,,,2008-11-17,,2012-05-09,,,,,,,,2009-03-09,2014-07-31,,,,2006-02-07,,,,,,,,2016-05-20,,2011-05-03,2007-04-13,,,2009-10-02,,2005-04-22,,2012-11-06,,,,,,2010-04-21,,2008-12-23,2018-09-27,,,,,,,,2015-02-03,,2014-02-05,,,2011-07-28,,,2011-07-28,2017-02-21,,2013-04-22,2016-05-03,2014-09-10,2010-06-25,2014-06-09,2017-05-12,2014-05-21,2014-05-09,2015-07-29,2016-05-25
,,,,,,,,2017-04-21,,,2005-11-18,,2013-05-24,,2013-05-16,,2010-10-01,,,2006-12-20,,2011-05-18,,,,,,,,,,,,,,,,,,,,,2015-07-27,,,,,,2008-12-24,,2004-11-12,,2011-10-21,,,,,,2007-10-04,,2004-01-22,2018-04-27,,,,,,,,2014-04-17,,2013-05-21,,,2011-05-02,,,2011-05-24,2016-09-26,,2010-04-30,2015-05-29,2013-05-24,2009-04-22,2012-09-21,2017-04-26,2014-05-21,2012-12-26,2015-03-11,2016-05-11
,,,,,,,,2017-02-02,,,2005-09-15,,2011-05-25,,2012-05-16,,2010-05-12,,,,,2010-12-15,,,,,,,,,,,,,,,,,,,,,2015-05-14,,,,,,2002-07-10,,2004-11-12,,,,,,,,,,,2017-04-28,,,,,,,,2013-07-30,,2013-02-20,,,,,,2011-04-04,2016-07-11,,2005-10-04,2014-12-23,2011-09-20,2009-01-16,2012-08-01,2017-04-26,2012-05-21,2012-04-02,2012-11-16,2016-03-31
,,,,,,,,2016-09-27,,,,,2008-05-29,,2011-05-20,,2010-02-11,,,,,2009-04-21,,,,,,,,,,,,,,,,,,,,,2015-05-12,,,,,,,,,,,,,,,,,,,2017-04-20,,,,,,,,2013-04-18,,2012-05-23,,,,,,2006-10-03,2014-12-22,,2005-09-16,2014-07-18,2006-02-10,2008-07-25,2012-05-02,2017-01-31,2012-04-18,2011-05-25,2012-05-23,2016-03-16
,,,,,,,,2016-04-12,,,,,2005-05-17,,2010-06-01,,2006-12-05,,,,,2008-09-12,,,,,,,,,,,,,,,,,,,,,2014-05-14,,,,,,,,,,,,,,,,,,,2016-05-02,,,,,,,,2012-04-23,,2012-05-22,,,,,,2006-09-18,2014-05-21,,,2014-03-14,,2005-09-28,2012-03-21,2016-05-09,2012-04-18,2010-07-23,2012-05-23,2016-02-02
,,,,,,,,,,,,,2005-03-07,,2010-05-28,,2006-12-05,,,,,2006-12-14,,,,,,,,,,,,,,,,,,,,,2013-05-15,,,,,,,,,,,,,,,,,,,2015-05-06,,,,,,,,2011-04-12,,2012-05-02,,,,,,,2014-05-09,,,2010-01-05,,2005-06-30,2012-02-07,2016-03-22,2009-07-10,2010-05-28,2005-07-08,2016-01-26
,,,,,,,,,,,,,2005-02-25,,,,2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-25,,2012-05-02,,,,,,,2014-05-06,,,2010-01-05,,,2010-10-27,2015-05-11,2008-04-01,,,2015-08-03
