1519751,1130866,859163,1099800,1651235,52477,820313,1318310,1674910,1515673,1524471,1024478,1045810,310569,1637459,1159119,1493594,1627223,1417398,1415404,1679273,1318605,1511737,1096325,1443669,1659166,1009626,1316656,1510295,1039101,1262823,1524472,1037646,1319439,1046257,1090071,1408356,1474735,1660690,1730168,1391672,1389050,1138639,1136869,1274494,1051719,1047122,915913,1674335,918646,1034670,711039,1521332,1653477,1137411,1690666,1681622,1066806,1037868,1501585,1294924,1596783,1666138,820626,1116521,1090872,1439288,1135152,1452575,802481,75677,1001288,1262039,1383571,1378992,1411207,1383729,1534701,908255,1391984,1275283,1129446,1633978,1284807,1587523,941548,1457543,1035002,1125345,1413329,1357326,1409012,1675149,59478,1616817,1237831,1024305,836102,1616318,821483,1163302,1650962,1551152,1609351,1469367,1320461,1274057,1359841,1350593,1488613,895812,850693,1555280,1487990,1109808,1192448,1606498,1088454,320193,318771,7431,1447599,1486957,1008654,1001250,1597553,1592058,1060822,915389,1530950,842635,1012100,1535031,937556,1645590,1320695,1272547,1161963,1564822,1076405,1594864,1510580,1307954,1609989,1324404,1298341,1487730,1424847,1321732,8868,1018099,1394069,1094371,1096752,1116132,1534504,1604028,1424929,842662,1292215,1046859,1641991,1401667,1707925,34088,1388658,1260221,1269021,1637913,1419612,1370946,1517228,1306830,1545158,1672013,1043604,1016179,1632790,1285785,1097313,842162,1038074,1390844,1601046,1364885,1356090,1336917,1592480,885725,1590714,1467858,1644440,1103982
2012-04-27,2011-05-10,2011-10-26,2018-05-21,2018-11-01,2001-03-13,2005-10-11,2008-04-07,,2016-06-15,2015-02-06,2017-06-12,2019-03-11,2008-06-26,2019-09-12,2004-04-15,2017-10-27,2018-11-23,2017-02-16,,2017-09-29,2018-01-23,2017-11-09,2016-09-13,2019-05-16,2016-06-15,2011-06-01,2014-11-20,2018-11-01,2016-10-31,2018-07-26,2017-02-02,2015-05-11,2006-08-02,2013-10-16,,2014-06-17,2013-06-04,2016-10-04,2018-12-06,2009-10-14,2019-06-24,2019-08-02,2019-06-19,2011-08-17,,2017-05-31,2019-07-23,2018-06-08,2019-11-26,2019-05-09,2006-05-04,2017-11-15,2019-02-13,2016-10-24,2019-12-24,2017-01-30,,2019-05-13,2019-05-02,2016-12-21,2019-06-24,2017-03-10,,2012-12-21,2014-08-05,2018-07-27,2016-06-16,2017-02-10,2017-10-03,2019-05-10,2016-04-20,2015-06-22,2009-11-12,2019-03-08,2019-05-09,2014-06-16,2013-05-09,2018-04-26,2009-07-08,2016-10-19,2006-12-04,2018-03-12,2014-01-30,2015-04-30,2012-05-15,2011-11-03,2018-11-06,,2019-05-01,2014-09-10,2010-07-01,2019-12-17,2011-04-19,2016-11-03,,2016-11-09,2007-07-26,2015-08-12,2019-01-14,2019-10-28,2019-05-14,2014-07-18,2019-02-25,2017-12-06,2016-11-07,2015-05-12,2018-02-08,2017-01-27,2018-06-19,2007-09-05,2014-10-20,2014-05-13,2014-05-20,2007-05-02,,2018-05-01,2003-11-26,2014-03-05,,2018-07-13,2015-12-15,2015-10-07,,2019-10-31,2016-05-31,2019-06-07,2019-05-20,2019-10-30,2019-10-11,2007-02-26,2019-05-01,2016-03-04,2019-10-30,2019-05-17,2019-05-02,2008-12-09,2006-04-14,2015-06-12,2009-05-04,2016-06-17,2017-06-23,2018-03-16,2018-02-23,2015-08-12,2011-12-02,2018-04-26,2014-05-16,,2011-05-10,2007-05-21,2012-04-11,,2016-04-29,2011-11-25,2019-06-11,2017-03-13,2019-05-06,,2006-12-04,2015-07-13,2019-11-25,2012-10-24,2018-10-31,2019-11-01,,2016-06-14,,2017-02-21,,2013-10-23,2019-04-04,2019-10-21,2013-05-28,2017-06-14,2018-05-29,,2019-11-12,2018-02-23,,2019-10-01,2017-12-08,2019-06-27,2014-11-03,2019-04-26,2019-11-12,2018-05-14,,2018-11-19,2019-02-05,2016-02-03,2018-05-03,2019-10-29
,,,,2018-05-08,,,2008-04-07,,,2014-11-04,2008-11-19,,,2015-08-10,,2016-11-21,2017-06-28,2016-12-12,,2016-11-10,2016-06-21,2017-02-21,2016-04-21,2017-11-21,,2011-04-13,2014-05-08,2018-10-01,2013-05-02,2017-05-19,2016-08-02,,,2010-05-25,,2013-10-10,2012-05-31,2016-09-19,,,2015-11-05,2013-05-17,2017-12-21,2009-09-10,,2015-11-16,2017-05-12,,2019-10-31,2018-07-02,,2015-07-30,2018-12-10,2016-10-24,2018-05-03,2017-01-20,,2018-05-10,2019-05-02,2014-07-28,2019-06-24,,,2012-11-02,2010-07-13,2015-07-28,2016-05-19,2014-06-30,2017-09-25,2018-05-16,2013-04-26,2012-06-20,,2015-05-20,2019-05-09,2013-09-13,,2016-05-02,,2015-10-27,2003-01-17,2015-08-06,,2014-05-15,2011-12-19,,2017-05-05,,2019-02-07,2014-05-23,2007-11-08,2019-12-04,,2016-01-12,,2016-11-09,2007-04-19,2015-02-10,2018-11-30,2019-10-08,2016-02-18,2014-06-25,2015-11-25,2015-12-08,2014-04-08,2015-02-05,2017-12-15,2017-01-10,2016-10-05,2004-11-02,2014-07-14,,,2006-05-01,,2016-11-01,,,,2016-11-07,,2015-07-06,,2019-08-19,,2019-05-09,2018-05-23,2018-11-06,2017-04-18,2006-02-27,2018-11-01,,2011-06-03,2016-03-25,2019-05-02,2008-06-05,,2014-06-11,,2016-01-11,2015-12-08,2017-05-23,2018-02-23,2015-08-12,2011-12-01,2018-03-30,2013-05-14,,2011-02-24,,2010-03-09,,2015-09-29,2011-11-03,2018-05-08,2016-10-27,2018-10-31,,2005-12-20,2015-01-02,2017-01-20,2012-06-13,,2019-06-04,,2014-09-04,,,,2013-04-24,2018-11-08,2019-01-28,2012-10-02,,2017-05-30,,2019-05-29,2017-03-14,,2019-05-16,2017-12-08,2019-06-03,,2018-07-13,2019-11-12,2015-02-04,,2017-05-11,2018-07-20,2016-01-13,2018-04-10,2019-07-30
,,,,2018-02-27,,,2005-11-14,,,2012-11-28,,,,,,2016-04-26,2017-05-01,2012-10-16,,,2015-06-12,2013-03-25,2015-04-24,2015-05-21,,2010-12-08,2013-05-07,2018-02-01,2012-06-13,2016-08-24,2016-05-13,,,,,,2012-02-10,,,,2012-02-17,2011-05-23,2017-05-17,2009-09-08,,2015-08-11,2016-05-11,,2019-09-10,2018-05-08,,2015-06-05,2018-07-19,,2017-05-03,,,2015-05-08,2018-07-27,2013-10-18,2019-04-17,,,2012-10-18,2009-09-08,2013-08-21,2012-08-20,2009-12-23,2017-09-11,2017-05-18,2011-08-02,,,2013-03-25,2016-12-21,2011-11-22,,2015-07-14,,2014-12-19,,,,,2011-07-21,,2015-06-17,,2018-05-09,2014-05-22,,2019-09-20,,,,2016-07-21,2007-02-01,,2017-12-22,2019-05-03,,2013-01-02,,,2014-03-18,2011-03-08,2017-04-27,2013-01-31,2015-03-12,,2014-06-10,,,2002-08-07,,2014-11-04,,,,2016-10-31,,2015-06-17,,2019-03-06,,2018-08-06,2017-05-23,2017-05-10,2016-07-25,2005-12-02,2017-09-12,,,2015-11-05,2018-03-05,2008-02-14,,,,2015-06-05,,2016-05-10,2017-05-31,2015-08-06,2011-11-30,2018-02-08,2012-05-18,,2010-07-12,,2010-02-26,,2015-07-30,,2017-05-30,2015-11-09,,,2005-05-05,2007-02-06,2016-08-03,2011-12-16,,2018-11-02,,2014-06-06,,,,2012-10-24,2018-11-08,2018-10-18,,,2016-05-27,,2019-01-28,2015-10-06,,2018-05-18,2017-04-21,2018-05-31,,2018-04-27,2019-08-08,2014-05-16,,2017-01-20,2015-04-29,2015-06-12,2017-04-28,2019-04-30
,,,,2017-11-14,,,,,,2012-05-11,,,,,,2013-11-05,2016-05-02,2008-04-01,,,2012-09-25,2012-08-13,2014-05-13,,,,2013-04-03,2018-01-08,2012-04-25,2016-06-14,2016-05-03,,,,,,,,,,,2010-09-13,2017-01-18,,,2015-06-02,2016-03-02,,2019-07-30,2017-05-09,,2013-03-01,2018-03-08,,2017-05-03,,,2015-05-08,2018-05-07,2012-09-20,2018-11-06,,,2012-09-24,2008-04-10,2012-09-24,2012-05-04,2009-02-20,2015-03-11,2016-05-19,2008-07-22,,,,2014-04-15,,,2015-05-05,,2014-10-21,,,,,,,2015-05-13,,2015-03-13,2013-12-26,,2019-09-09,,,,,2006-10-17,,2016-07-15,2019-05-02,,,,,2014-02-25,2009-12-14,2016-07-15,2012-01-25,2014-01-07,,2014-05-27,,,,,2014-10-21,,,,2016-07-29,,2015-05-15,,2019-02-05,,2016-06-21,2015-05-07,2016-11-17,2015-01-26,,2017-09-07,,,,2017-12-05,2005-02-17,,,,2015-04-07,,2011-05-11,,2014-08-06,2011-11-02,2018-01-16,2008-07-10,,2004-07-28,,2009-04-08,,2015-07-01,,2016-09-07,,,,2005-01-28,2005-12-28,2015-09-28,2011-10-11,,2018-06-05,,2013-03-06,,,,2012-10-19,2016-05-06,2018-07-19,,,2016-02-05,,2018-12-17,2015-03-31,,2018-03-01,2014-04-16,2017-07-20,,2017-05-01,2019-05-09,2013-11-14,,2016-11-22,2014-11-03,2014-10-10,2017-03-02,2019-02-19
,,,,,,,,,,2012-01-05,,,,,,2013-11-05,2015-11-05,,,,2011-10-07,,2014-05-12,,,,2012-05-08,2011-07-07,2012-02-08,2014-07-17,2016-03-08,,,,,,,,,,,,2017-01-18,,,2014-06-04,2015-09-15,,2019-05-16,2016-05-10,,,2018-03-01,,2016-12-01,,,2014-05-09,2017-05-04,,2018-07-03,,,2011-01-25,2007-10-12,,2011-11-23,,2014-05-05,2012-12-26,2006-02-28,,,,2013-05-14,,,2014-03-07,,2014-09-29,,,,,,,2015-03-03,,2014-12-15,2012-10-29,,2019-07-09,,,,,,,2015-12-18,2019-05-02,,,,,2014-02-24,2007-03-20,2015-07-30,2011-10-13,,,2014-05-12,,,,,,,,,2016-04-04,,2014-06-26,,2018-10-31,,2015-08-21,2013-08-12,2016-05-19,2014-03-10,,2017-05-19,,,,2017-09-15,,,,,,,2011-01-06,,2014-05-19,2011-10-28,2018-01-03,,,,,2009-03-05,,2015-06-30,,2015-05-18,,,,,,,,,2017-06-06,,2012-01-23,,,,2012-10-17,2015-07-28,2018-05-01,,,2015-08-31,,2018-11-15,2014-05-09,,2017-05-22,2014-04-16,2017-05-31,,2013-05-06,2019-02-28,2012-05-07,,2015-10-05,,2014-06-12,2016-02-04,2019-01-30
,,,,,,,,,,,,,,,,2013-09-30,2015-07-01,,,,2011-06-03,,2013-05-10,,,,2011-05-10,,2011-04-28,2014-06-27,2016-02-04,,,,,,,,,,,,2016-10-05,,,2012-06-05,2015-05-07,,2019-01-29,2015-05-05,,,2018-01-08,,2016-12-01,,,2013-05-09,2017-05-04,,2017-11-06,,,2010-07-01,2005-08-15,,2011-05-12,,2013-08-12,2012-05-11,,,,,,,,2012-04-27,,2014-09-17,,,,,,,2015-02-23,,2014-09-10,2011-06-06,,2019-07-02,,,,,,,2015-06-03,2019-05-02,,,,,2014-01-14,,2015-04-30,2011-09-27,,,2014-05-12,,,,,,,,,2016-03-24,,2013-04-15,,2018-08-20,,,2005-09-09,2016-05-10,2012-02-08,,2017-03-27,,,,2016-04-29,,,,,,,2009-07-30,,2014-02-20,2011-08-30,2017-11-16,,,,,2009-03-05,,2015-06-29,,2014-05-14,,,,,,,,,2017-03-07,,2011-05-02,,,,2012-02-15,2015-01-28,2018-04-16,,,2015-05-20,,2018-11-15,2013-10-29,,2014-11-14,2011-04-22,2016-06-02,,,2016-08-08,2011-11-29,,2015-03-03,,2013-11-22,,2018-10-29
,,,,,,,,,,,,,,,,,,,,,2011-02-15,,2013-03-12,,,,2010-12-27,,,2011-09-19,2015-10-29,,,,,,,,,,,,2016-06-07,,,2011-12-16,2014-11-14,,2018-10-30,2014-08-13,,,2017-11-02,,,,,2011-05-05,2017-05-04,,2017-08-28,,,,2005-08-15,,2011-05-12,,2013-05-07,,,,,,,,,2012-03-07,,2014-07-16,,,,,,,2015-01-05,,2014-03-18,,,2019-01-16,,,,,,,2015-06-02,2018-03-02,,,,,2013-11-07,,2014-09-03,2011-09-20,,,2010-12-21,,,,,,,,,2014-12-15,,2012-06-12,,2017-11-16,,,,2014-12-09,,,2016-10-27,,,,2016-02-01,,,,,,,2007-09-28,,2014-02-18,2011-08-03,2017-07-27,,,,,2008-01-04,,2015-06-15,,2014-05-14,,,,,,,,,2016-10-28,,2011-02-17,,,,2011-10-26,2015-01-28,2017-07-24,,,2012-05-24,,2018-01-16,2013-10-07,,2013-02-05,2009-04-27,2015-05-28,,,2015-11-12,2011-05-06,,2014-10-30,,2012-12-17,,2018-09-07
,,,,,,,,,,,,,,,,,,,,,,,2011-05-09,,,,2010-03-15,,,2011-05-25,2015-07-30,,,,,,,,,,,,2016-06-07,,,2011-06-01,2014-09-17,,2018-07-30,2014-07-18,,,2017-08-22,,,,,,2016-05-02,,2016-11-28,,,,2005-03-07,,2003-08-26,,2011-05-05,,,,,,,,,2008-10-29,,2014-04-16,,,,,,,2014-05-05,,2013-03-13,,,2018-11-26,,,,,,,2015-04-02,2016-07-26,,,,,2013-10-30,,2014-06-25,2011-08-10,,,,,,,,,,,,2014-06-20,,2012-04-05,,2017-11-01,,,,2014-11-12,,,2016-10-18,,,,2015-07-31,,,,,,,2007-06-25,,2013-11-01,2011-07-20,2017-05-02,,,,,,,2015-06-02,,2013-05-22,,,,,,,,,2016-05-31,,2010-12-09,,,,2011-04-27,2014-05-02,2017-06-19,,,2012-02-21,,2017-06-08,2013-07-29,,2009-11-09,2005-08-22,2014-07-25,,,2015-11-12,2007-12-20,,2013-10-25,,2012-03-26,,2018-07-25
,,,,,,,,,,,,,,,,,,,,,,,2010-04-30,,,,2009-11-12,,,2008-09-11,2015-07-13,,,,,,,,,,,,2015-06-26,,,2010-12-20,2014-09-10,,2018-05-15,2014-05-06,,,2017-08-03,,,,,,2015-07-15,,2015-10-30,,,,2005-02-04,,,,2009-09-18,,,,,,,,,2005-07-27,,2013-10-15,,,,,,,2012-01-25,,2012-06-21,,,2018-09-11,,,,,,,2014-07-14,2016-04-26,,,,,2013-08-09,,2013-07-24,2011-06-06,,,,,,,,,,,,2014-02-24,,2011-11-14,,2017-08-18,,,,2014-09-17,,,2016-07-28,,,,2014-04-29,,,,,,,2007-02-20,,2013-05-16,2011-06-28,2017-01-27,,,,,,,2015-06-02,,2012-12-18,,,,,,,,,2016-03-08,,2006-06-28,,,,2011-04-14,2014-04-30,2017-04-17,,,2011-05-23,,2016-05-27,2013-04-03,,,2003-10-03,2014-05-29,,,2015-07-21,2006-12-28,,2012-11-01,,2011-03-21,,2018-06-19
,,,,,,,,,,,,,,,,,,,,,,,2009-10-21,,,,2009-04-29,,,,2015-04-30,,,,,,,,,,,,2014-06-04,,,2010-11-23,2014-08-29,,2018-01-31,2013-07-19,,,2017-05-04,,,,,,2015-05-01,,2014-10-24,,,,,,,,2007-02-12,,,,,,,,,,,2013-03-18,,,,,,,2009-07-28,,2012-05-10,,,2018-08-08,,,,,,,2014-07-11,2015-11-06,,,,,2013-08-07,,2013-02-27,2011-04-07,,,,,,,,,,,,2013-02-19,,,,2017-05-03,,,,2014-05-06,,,2016-05-23,,,,2014-03-11,,,,,,,2006-09-28,,2013-02-19,2011-04-29,2017-01-26,,,,,,,2015-04-30,,,,,,,,,,,2015-06-01,,,,,,2011-02-16,,2017-02-01,,,,,2015-07-08,2012-11-14,,,,2013-10-25,,,2015-05-12,2006-03-07,,2009-12-21,,2010-12-13,,2018-05-04
