1509991,1335793,1304069,889005,1655020,1599222,1090012,1685715,833320,1022345,1588216,1168054,1037676,1108827,1358071,949039,916076,1539838,821189,732834,1433270,1528129,1524741,1588238,1688476,1681714,1701605,831259,1486159,1594466,1679268,1621563,1518832,77159,773910,1070412
2012-05-11,2010-01-28,,,2019-09-04,2016-05-17,2019-11-05,2019-10-15,,,2018-03-28,2018-05-24,2019-06-19,2019-05-17,2018-07-17,2019-05-16,2019-03-12,2018-12-06,2019-10-10,2017-05-23,2019-05-01,2017-10-30,2016-02-23,2017-10-31,2019-10-31,2018-10-30,2017-09-05,2016-11-09,2017-12-11,2019-10-15,2017-03-24,2019-05-22,2019-12-16,2019-05-08,2019-05-15,2017-12-04
,2009-10-22,,,2017-08-09,2015-05-27,2019-08-06,2017-01-31,,,2018-03-28,2014-05-22,2019-06-19,2017-11-21,2018-06-14,2018-05-17,2017-05-19,2016-12-14,2019-07-11,2011-06-01,2019-02-25,2012-05-22,2015-10-27,2017-06-19,2019-03-18,2017-05-31,2017-07-03,2016-11-09,2017-09-29,2017-02-07,,2018-05-18,2019-05-21,2018-10-29,2019-04-17,2016-02-29
,,,,2017-07-18,2014-06-24,2019-04-30,,,,2017-05-09,2012-05-21,2017-05-09,2017-09-25,2018-03-28,2017-05-17,,2014-07-21,2019-04-23,,2019-02-15,,2015-02-25,2017-04-06,2018-09-04,2017-05-22,2017-07-03,2016-02-16,2013-09-05,2016-11-02,,2017-05-18,2018-05-22,2017-10-05,2019-02-11,2015-05-06
,,,,2017-05-09,,2019-02-19,,,,2016-12-21,2011-07-18,2016-09-15,2017-05-18,2018-03-28,2016-05-18,,2014-06-13,2011-05-06,,2019-02-13,,,2016-10-25,2017-05-19,2016-12-22,,2014-03-03,2013-04-09,2016-10-05,,2016-05-31,2018-05-07,2017-05-08,2018-11-20,2014-07-29
,,,,2016-10-14,,2018-06-07,,,,2016-12-21,2011-05-19,2015-04-24,2016-06-21,2016-08-16,2015-05-21,,,2011-05-06,,2019-02-12,,,2016-09-30,,2016-12-16,,2013-11-04,,2014-06-04,,2015-07-20,2018-02-23,2017-01-17,2018-11-09,2014-07-29
,,,,,,2017-06-12,,,,2016-12-12,2009-04-20,2014-04-29,2012-05-16,2014-03-24,2012-05-25,,,,,2019-01-09,,,2015-06-05,,,,2008-12-04,,,,2015-03-17,2017-05-23,2016-09-15,2017-11-16,2014-05-07
,,,,,,2016-06-09,,,,2016-11-28,,2013-07-02,2011-05-19,2012-05-15,,,,,,2018-12-19,,,2014-12-23,,,,,,,,,2016-11-16,2016-05-13,2017-01-31,2013-12-11
,,,,,,2015-06-05,,,,2016-10-13,,2013-04-30,2010-07-30,2012-03-22,,,,,,2018-11-06,,,2014-08-07,,,,,,,,,2016-05-25,2015-05-14,2015-09-21,2011-09-23
,,,,,,2014-06-05,,,,2014-07-25,,2012-05-22,2010-06-16,,,,,,,2018-11-01,,,2014-04-11,,,,,,,,,2016-05-20,2015-02-17,2015-05-15,2011-05-06
,,,,,,2013-10-22,,,,2014-05-13,,2012-05-02,,,,,,,,2018-10-31,,,,,,,,,,,,2016-04-08,2014-02-19,2014-11-10,2011-04-18
