1020265,1100682,1289434,1163842,1595262,1370880,1125011,1124610,1352010,1668397,1470215,1125914,1443646,1613859,1223862,894253,1383312,857323,1336920,1169264,868857,1571123,1006240,1610950,1646383,70866,1478242
,2014-04-04,2010-08-31,,2015-04-27,,2006-10-26,2019-02-28,,,2015-06-30,2012-04-03,2018-08-07,2018-08-20,2016-09-19,2002-06-24,2017-05-12,,2016-01-28,2010-08-02,2019-03-12,2019-08-28,,2019-05-24,2018-02-12,2019-08-29,2018-07-27
,,,,,,2006-03-15,2009-08-10,,,2011-11-07,2011-06-10,2018-07-09,2018-05-31,,,2015-10-02,,2015-03-25,2010-05-04,2018-03-02,2018-09-10,,2017-08-01,2016-08-10,2019-08-06,2018-06-12
,,,,,,,,,,2011-08-16,,2018-02-06,2018-05-01,,,2014-11-06,,2013-09-11,2010-02-11,2017-03-03,2014-06-10,,2016-09-15,,2019-04-26,2017-09-19
,,,,,,,,,,2010-05-12,,2017-11-13,2017-06-02,,,2013-11-15,,2011-06-02,2009-11-02,2016-12-15,2014-06-10,,2016-07-28,,2016-04-04,2017-03-08
,,,,,,,,,,2010-04-30,,2017-08-07,2015-07-06,,,2012-11-19,,2011-03-23,2009-08-05,2016-03-04,2013-10-01,,2016-05-25,,2013-04-30,2016-10-03
,,,,,,,,,,2010-01-27,,,,,,2012-03-07,,2011-03-15,2009-05-07,2015-03-06,,,,,2013-02-07,2016-05-06
,,,,,,,,,,,,,,,,2011-11-18,,2010-10-13,2009-02-10,2014-10-17,,,,,2012-05-30,2014-05-12
,,,,,,,,,,,,,,,,2011-02-08,,2009-10-14,2008-11-05,2014-03-12,,,,,2012-05-16,
,,,,,,,,,,,,,,,,2007-04-02,,2008-10-15,2008-08-04,2013-03-13,,,,,2012-04-30,
,,,,,,,,,,,,,,,,,,2007-10-09,2008-05-06,2012-03-14,,,,,2011-08-26,
,,,,,,,,,,,,,,,,,,2007-06-14,2008-02-19,2011-08-01,,,,,2011-04-29,
,,,,,,,,,,,,,,,,,,,2008-01-18,2011-03-09,,,,,2007-08-31,
,,,,,,,,,,,,,,,,,,,2008-01-15,2010-07-14,,,,,,
,,,,,,,,,,,,,,,,,,,2007-08-10,2008-10-10,,,,,,
,,,,,,,,,,,,,,,,,,,2007-05-30,2008-02-12,,,,,,
,,,,,,,,,,,,,,,,,,,2007-02-27,2008-02-12,,,,,,
,,,,,,,,,,,,,,,,,,,2006-11-07,2007-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,2006-08-08,,,,,,,
,,,,,,,,,,,,,,,,,,,2006-04-04,,,,,,,
,,,,,,,,,,,,,,,,,,,2006-01-10,,,,,,,
,,,,,,,,,,,,,,,,,,,2005-07-28,,,,,,,
,,,,,,,,,,,,,,,,,,,2005-03-08,,,,,,,
,,,,,,,,,,,,,,,,,,,2005-02-18,,,,,,,
