1308547,1590364,1545654,1487712,1617406,1579877,1138118,1674168,1657853,1398987
2011-06-28,2019-11-20,2018-12-20,2018-05-03,2019-05-06,2014-07-21,2017-03-07,2019-05-17,2017-03-07,2016-07-22
,,2017-09-12,2016-06-01,2017-01-04,2014-04-02,2016-05-19,2019-05-09,2016-07-07,2015-10-28
,,,2013-05-13,,,2015-12-03,2018-11-29,,2013-03-08
,,,,,,2014-05-19,2018-05-10,,
,,,,,,2013-11-21,2017-05-12,,
,,,,,,2012-12-06,2017-01-04,,
,,,,,,2012-11-09,,,
,,,,,,2012-09-10,,,
,,,,,,2012-05-15,,,
,,,,,,2012-03-06,,,
,,,,,,2011-11-21,,,
,,,,,,2011-11-16,,,
,,,,,,2011-09-06,,,
,,,,,,2011-05-17,,,
,,,,,,2011-05-05,,,
,,,,,,2011-03-08,,,
,,,,,,2010-12-02,,,
,,,,,,2010-11-17,,,
,,,,,,2010-11-17,,,
,,,,,,2010-08-05,,,
,,,,,,2010-05-25,,,
,,,,,,2010-02-23,,,
,,,,,,2009-08-25,,,
,,,,,,2009-05-18,,,
,,,,,,2009-02-23,,,
,,,,,,2008-08-13,,,
,,,,,,2008-05-19,,,
,,,,,,2008-05-16,,,
,,,,,,2008-04-30,,,
,,,,,,2007-05-18,,,
,,,,,,2007-03-23,,,
,,,,,,2007-03-14,,,
,,,,,,2006-11-01,,,
,,,,,,2003-10-07,,,
,,,,,,2003-04-30,,,
,,,,,,2002-11-15,,,
