866787,794367,1646228,1177609,1037461,885639,1471458,1489979,888455,1562039,86144,1575515,1170010,1639300,1573516,1170650,1355096,1326380,1158449,1528849,1593936,1579298,1610092,1368458,1419852,29534,1051251
2017-12-22,,,2019-06-21,2010-05-26,2011-05-16,2013-04-11,2016-04-27,,2016-11-17,2014-12-30,2015-08-13,2017-06-29,2018-06-19,2016-01-29,2011-05-26,2017-05-01,2017-06-30,2018-05-22,2019-07-26,2015-06-04,2017-05-22,2017-12-21,2017-07-06,2016-02-05,2015-12-03,2019-09-13
2017-12-21,,,2017-05-11,2009-05-28,,,2014-10-08,,2016-08-22,2014-10-24,2015-05-11,2016-09-01,2016-02-02,2015-05-11,2007-08-28,2011-09-09,2014-03-28,,2019-04-16,2015-06-04,2016-07-29,2017-11-16,2017-01-27,2015-11-30,2015-10-20,2017-07-18
2011-12-14,,,,2007-04-20,,,,,2014-06-05,2014-07-29,2015-05-05,2002-10-03,,2014-05-09,2005-08-24,2010-08-10,,,2019-04-05,,2015-07-23,2015-06-22,2014-05-01,2015-06-02,2015-05-28,2011-03-10
,,,,2007-04-05,,,,,2014-04-01,2014-07-28,2015-04-17,,,,,,,,2018-07-20,,2014-08-18,2015-02-26,2014-01-30,2014-10-21,2013-04-11,2010-11-26
,,,,,,,,,2013-12-03,2011-12-12,2015-03-03,,,,,,,,2017-07-13,,,,2012-11-05,2014-09-04,2012-04-02,2010-04-16
,,,,,,,,,2013-04-19,2010-05-24,2014-05-16,,,,,,,,2017-07-03,,,,2011-01-28,2014-08-29,2012-03-19,2007-05-09
,,,,,,,,,,2008-03-11,,,,,,,,,2017-06-28,,,,2008-10-06,2014-04-28,2007-07-12,2005-10-21
,,,,,,,,,,2007-05-18,,,,,,,,,2015-06-26,,,,2008-08-08,2014-03-10,2007-07-12,2004-12-28
,,,,,,,,,,2006-02-28,,,,,,,,,2014-12-01,,,,2006-11-22,2014-03-05,,
,,,,,,,,,,2005-05-27,,,,,,,,,2014-10-27,,,,,2012-11-07,,
,,,,,,,,,,,,,,,,,,,2014-06-27,,,,,2012-09-06,,
,,,,,,,,,,,,,,,,,,,,,,,,2012-04-10,,
