1395942,1060391,1082754,1546640,1585790,1428875,1669600,1062047,1324424
2019-02-19,2017-04-27,2014-04-29,2014-11-12,2019-10-29,2019-10-22,2016-11-07,2018-06-28,2015-11-05
2018-11-06,2017-07-27,2011-05-03,2012-09-17,2019-07-30,2019-11-05,,,2010-12-06
2013-05-01,2017-02-16,,,2019-05-08,2019-08-06,,,2015-02-13
2019-06-28,2016-07-28,,,2019-04-30,2019-05-07,,,2011-02-10
2019-06-14,2016-10-27,,,2019-02-21,2019-02-26,,,2010-10-28
,2016-04-28,,,2018-10-31,2018-11-06,,,2009-09-11
,2016-02-11,,,2018-08-01,2018-08-15,,,2010-07-29
,2015-10-29,,,2018-05-02,2018-08-27,,,2009-07-30
,2015-04-23,,,2018-02-22,2018-12-11,,,2010-04-29
,2015-07-23,,,2014-11-12,2018-07-17,,,2009-10-29
,2015-02-12,,,2015-03-09,2018-07-31,,,2009-04-30
,2014-10-30,,,2014-08-12,2018-05-01,,,2008-10-30
,2014-07-24,,,2014-05-13,2018-02-27,,,2009-02-19
,2014-04-24,,,2014-03-21,2017-10-31,,,2008-07-31
,2014-02-06,,,2013-11-12,2017-07-31,,,2008-05-01
,2013-10-31,,,2016-08-05,2017-03-28,,,2008-02-07
,2013-04-25,,,,2017-04-27,,,2007-11-07
,2013-07-25,,,,2016-11-04,,,2007-08-02
,2013-02-07,,,,2017-02-23,,,2007-05-08
,2012-11-01,,,,2016-10-31,,,2007-02-15
,2012-07-26,,,,2016-10-14,,,2006-03-06
,2012-04-26,,,,2016-10-25,,,2006-11-09
,2012-02-09,,,,2016-07-28,,,2006-08-10
,2011-10-27,,,,2016-05-04,,,2006-05-11
,2011-04-28,,,,2016-02-25,,,2006-02-15
,2011-07-28,,,,2015-11-03,,,2005-11-03
,2011-02-10,,,,2015-08-04,,,2010-02-11
,2010-11-04,,,,2015-04-28,,,
,2010-07-29,,,,2015-02-26,,,
,2010-04-29,,,,2014-10-30,,,
,2010-02-11,,,,2018-09-10,,,
,2009-11-02,,,,2018-10-01,,,
,2009-07-29,,,,2018-08-20,,,
,2009-04-30,,,,,,,
,2009-02-27,,,,,,,
,2009-06-05,,,,,,,
,2016-06-06,,,,,,,
