1656239,1577095,1636519,701374,1564902
2018-05-09,2016-10-13,2018-12-21,2019-10-18,2019-09-16
2017-05-10,2016-04-27,2015-12-18,2019-10-22,2019-11-07
2017-12-20,2016-02-24,2017-05-26,2019-07-24,2019-08-06
,2014-04-30,2017-01-13,2019-04-23,2019-05-07
,2013-11-04,2018-06-29,2019-02-14,2019-02-28
,,2015-09-21,2018-05-22,2018-11-05
,,,2018-10-24,2019-11-07
,,,2018-03-26,2018-08-06
,,,2018-07-25,2018-05-08
,,,2017-12-22,2017-10-18
,,,2018-04-24,2018-02-27
,,,2018-02-20,2017-11-07
,,,2017-10-25,2017-08-08
,,,2017-07-26,2017-05-08
,,,2017-04-28,2017-05-09
,,,2017-04-26,2017-02-21
,,,2017-06-21,2017-02-28
,,,2017-02-22,2016-12-06
,,,2017-03-30,2016-12-12
,,,2016-10-26,2016-11-08
,,,2016-12-21,2016-08-04
,,,2016-10-28,2016-05-05
,,,2017-07-21,2016-02-25
,,,2016-07-27,2015-11-05
,,,2016-04-27,2015-08-06
,,,2016-02-18,2014-08-13
,,,2015-10-19,2014-05-14
,,,2015-07-22,2013-11-13
,,,2015-04-22,2014-03-13
,,,2015-02-18,2013-08-13
,,,2014-07-21,
,,,2014-04-23,
,,,2014-10-21,
,,,2013-12-23,
,,,2013-12-05,
,,,2014-02-19,
,,,2013-10-23,
,,,2013-07-22,
,,,2013-04-22,
,,,2013-02-20,
,,,2012-10-24,
,,,2012-07-24,
,,,2012-04-25,
,,,2012-02-15,
,,,2011-08-29,
,,,2011-11-01,
,,,2011-10-27,
,,,2011-07-25,
,,,2011-05-03,
,,,2011-02-22,
,,,2010-11-03,
,,,2017-04-13,
,,,2010-08-16,
,,,2010-05-17,
,,,2010-03-19,
,,,2010-04-08,
,,,2010-03-12,
,,,2010-03-05,
,,,2009-11-02,
,,,2009-11-09,
,,,2009-08-03,
,,,2009-06-01,
,,,2010-05-14,
,,,2009-05-29,
,,,2009-05-15,
,,,2009-06-26,
,,,2009-06-15,
,,,2009-05-05,
,,,2009-04-20,
,,,2010-04-15,
,,,2019-04-17,
,,,2010-01-07,
,,,2011-12-20,
,,,2009-04-20,
,,,2009-07-23,
,,,2009-05-07,
,,,2010-05-04,
