1357615,1124198,1498828,1633931
2017-02-24,2019-10-31,2014-05-08,2017-11-07
2006-11-27,2019-10-31,,
2018-10-30,2019-08-01,,
,2018-10-10,,
,2019-05-02,,
,2019-02-21,,
,2018-11-01,,
,2018-08-02,,
,2018-05-03,,
,2018-02-20,,
,2017-11-02,,
,2017-08-03,,
,2017-05-04,,
,2017-02-17,,
,2016-11-03,,
,2016-08-04,,
,2016-02-18,,
,2015-10-29,,
,2015-07-30,,
,2015-04-30,,
,2015-02-18,,
,2014-11-18,,
,2014-10-30,,
,2014-07-31,,
,2014-05-01,,
,2014-02-18,,
,2013-10-31,,
,2013-08-01,,
,2013-05-02,,
,2013-02-20,,
,2012-11-01,,
,2012-08-02,,
,2012-05-03,,
,2012-02-22,,
,2011-11-03,,
,2011-08-04,,
,2011-05-05,,
,2011-02-23,,
,2000-12-07,,
,2018-08-03,,
