CIK,day -1,day 0,R,MKT,R - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1045829,2012-03-26,2012-03-27,0.9620133306102722,0.9918156,-0.029802269389727853,0.2796301096309493,,-0.09036394871034903,-0.14131595352684878,-0.17520024647557408,-0.11838378086202317,-0.023884008828501946,Hlth,-0.10277442861083852,-0.1493770428346194,-0.2184083672707242,-0.16753266112506326,-0.13492177246970272
1411574,2016-06-07,2016-06-08,1.0144676775874966,1.00099001,0.013477667587496578,0.37352047795881366,,0.026645145519428426,0.07702109671421242,-0.13396704872888454,-0.010578198190082766,-0.13998624116565028,Hlth,0.023285571008759387,0.08402940005801951,-0.02636896658955179,0.06736315646437963,0.03216321574249137
1411574,2016-08-01,2016-08-02,0.9609113792097573,0.9974685,-0.03655712079024265,0.5713736379256904,0.0,-0.1087566220174846,-0.1946982893046887,-0.08797164660326251,-0.1716607964962571,0.03412733085163766,Hlth,-0.06438693152581554,-0.14739951725438893,-0.008242302353126507,-0.03342729666805777,0.15316618235905788
1411574,2016-03-14,2016-03-15,0.9881964118792337,1.0026773199999999,-0.01448090812076619,1.148034799650743,,0.04999479126405615,0.1093739943027221,0.04935541127563048,0.12056175578716766,-0.0919096458548454,Hlth,0.035551697537508975,0.03935401826361806,-0.011099180684745802,0.07930034292812183,-0.03623031538416033
1411574,2016-05-02,2016-05-03,0.9322766407673482,0.9829693,-0.05069265923265187,1.304796617071308,0.0,-0.09652938124609167,-0.0573471874380197,0.0132232702254107,-0.15903364653655438,-0.08354519438058206,Hlth,-0.09022728746881015,-0.038956495522681656,0.055620150377641675,-0.0648772547331199,0.008602539929371877
1411574,2016-02-15,2016-02-16,0.9635714576357881,1.0123107500000001,-0.04873929236421204,6.764707325048757,0.0,-0.05816405637891453,0.006473201289644015,-0.06967433005745605,-0.010288900271436807,-0.06002066848737431,Hlth,-0.08855152062388072,-0.05343008951965489,-0.18848895906023033,-0.15323697033446226,-0.09582483267317143
1411574,2015-11-03,2015-11-04,1.1234529123688028,0.99660208,0.1268508323688029,1.1398780452539228,0.0,0.17272151257363388,0.3087633494523654,0.46655616384203236,0.37065726534585075,0.550898362536618,Hlth,0.1569233436467432,0.3274978666248025,0.4428138782743134,0.39974922316939343,0.49657888591714805
1411574,2015-08-03,2015-08-04,1.03430712227776,1.0021949600000002,0.032112162277759815,0.4519407077593323,0.0,0.014957573826460124,0.056305996494531385,-0.21125286346545025,0.006790715872154518,0.22117950672421516,Hlth,0.02286894385880822,0.07887929554226858,-0.027908447415138093,0.1794929802378029,0.37089428220109555
1411574,2015-05-08,2015-05-11,0.9397023938792785,0.9934105299999999,-0.05370813612072145,0.888965390886999,0.0,-0.024905949139246264,0.037470666006039544,0.009146592632885975,0.049458872632756834,-0.21258125285592833,Hlth,-0.06673354646413454,-0.011345647565441652,-0.11224978199552038,-0.05486660437565671,-0.1267466782714327
1411574,2015-03-09,2015-03-10,1.0169243655853528,0.9833065200000001,0.033617845585352746,1.1152397108056833,0.0,0.05558004359140889,0.11459320354700542,0.09833779436854284,0.10775661794737834,0.108559193241625,Hlth,-0.00032322833280873375,0.06202204742064499,0.04358813425324026,-0.009501188300915953,-0.02651174845844828
1411574,2014-11-11,2014-11-12,1.0512328630250065,1.00039979,0.050833073025006614,0.539963739575636,0.0,0.026259729065295057,0.04030431913713617,0.03700115898912948,0.12135283645225647,0.18263977098400974,Hlth,0.010802272975133365,-0.021471505500050947,-0.0020211697353222924,0.00024891139538762985,0.0923333819477068
1411574,2014-08-12,2014-08-13,0.9381782581321984,1.0113303599999999,-0.07315210186780152,0.5433576939116571,0.0,-0.059994308746516234,-0.1367255085853104,-0.013186870175941223,-0.01584075237829019,0.03158177882073665,Hlth,-0.06804871303098481,-0.14782211929756472,0.006482113107776799,-0.02185990538266247,0.0358402178750461
1411574,2014-05-12,2014-05-13,0.98636522939819,0.993503,-0.0071377706018099785,1.0856678085802447,-1.0,0.03694776352076068,0.022592738514829236,0.057422782022408914,-0.06110520236697892,0.032688385024248534,Hlth,0.01801338020301735,-0.007549132513868129,-0.07354559296063656,-0.18858651893075473,-0.09382102476352183
1411574,2014-03-13,2014-03-14,1.0426293977482977,1.0073855999999999,0.03524379774829778,0.5533039214341943,-1.0,-0.010674962433695145,-0.026149747395219802,-0.07170641728043758,-0.13295957250608614,-0.13485520159892528,Hlth,-0.04702291851475071,-0.07705757792472634,-0.13898791109117647,-0.2192633877583252,-0.2694719506394345
1411574,2013-11-13,2013-11-14,1.0378815284687746,1.00861849,0.02926303846877465,0.13637211632654794,,0.10371146267758014,0.24731933483548985,0.10887450819218558,0.10254322693958273,-0.04874163758918426,Hlth,0.10912581270605881,0.2945003295904073,0.12702703031966078,0.10350453680490657,-0.04331473421901788
1320414,2014-05-01,2014-05-02,0.9880028175456184,1.0005990900000001,-0.012596272454381774,0.7425455598742163,-1.0,-0.0073095739699883255,0.06620675551014354,0.08688058462435944,-0.12199533994720169,-0.13234469374898206,Hlth,-0.003262746982857001,0.0444816944014641,-0.00611916063214446,-0.23245782967591377,-0.2613866157374223
1035688,2003-10-29,2003-10-30,0.9591428484235485,1.0016969199999999,-0.04255407157645141,0.8180730579039719,,-0.03829543171330785,-0.04649570096717648,-0.10681822772541116,-0.1479123743401498,-0.04316150404392238,Hlth,-0.06973648366344831,-0.07936425908723987,-0.15549207325211267,-0.13655851585327006,-0.049450160790274866
1035688,2003-04-28,2003-04-29,1.2085714340209928,1.00370102,0.2048704140209927,2.6492571842404367,,0.37081484453763913,0.6077962938246866,0.7033734878782021,1.0219596219620106,1.1215047746452746,Hlth,0.32146145311549623,0.5814316679429636,0.673084710981041,0.9066454843644871,1.017250471178021
1035688,2003-07-28,2003-07-29,1.1439394393680962,0.99251026,0.1514291793680962,1.1676482503925778,,0.10717353358793325,0.09142859810646375,0.19418891488426815,0.23574755881650833,0.07818303971327922,Hlth,0.06624427879346229,0.0521636852770484,0.18626821439775942,0.12314506616608911,-0.037826500188151924
860730,2019-01-16,2019-01-17,1.01685432521115,1.02049675,-0.0036424247888500183,0.7935858009640007,,0.022133443750457227,-0.040773952994635154,-0.14646066447183692,-0.13574342897545721,-0.0879841629613285,Hlth,0.0204934638142662,-0.005418948749387864,-0.05314723639629593,-0.04844779516256981,-0.032019378498076234
860730,2013-02-08,2013-02-11,0.9793121861227857,1.00079872,-0.02148653387721422,2.5543642626093352,,-0.028572979488951877,0.04510771977879213,0.007709367983028015,-0.045755801270476404,-0.1007041206561543,Hlth,-0.018795898279607925,0.030813436773489578,0.005087506919094986,-0.06133767852258587,-0.05511580546637562
860730,2003-04-15,2003-04-16,0.9999999999999999,1.0039312800000002,-0.0039312800000003145,4.702235055579171,,0.10021999063339893,0.047109490626792816,-0.036709151224375125,0.12617869559898587,0.09495926449930447,Hlth,0.07990223649672523,-0.008363864216824668,-0.04572954049401723,0.03094236320904975,0.005086684714814105
860730,2003-04-21,2003-04-22,1.0442881647713185,1.0297842299999997,0.014503934771318727,2.2736847199303893,0.0,0.07858832120910098,0.033774553869089674,0.0555575752570201,0.1731237172463278,0.11934465866603605,Hlth,0.02018557507373142,-0.015681666134822247,-0.012527836485616728,0.023917271570910836,-0.006978478122001697
