1108827,1599222,1655020,1509991,1701605,1539838,831259,1588238,1588216,916076,1037676,1335793,1090012,1358071,1518832,1070412,1688476,1685715,1168054,1433270,833320,1022345,1681714,1594466,732834,1679268,949039,821189,773910,1621563,1528129,77159,1486159,1524741
2019-04-24,2016-05-10,2019-05-02,2018-10-05,2019-10-30,2019-11-22,2019-04-25,2017-06-19,2017-05-09,2019-10-29,2019-09-17,2010-01-28,2019-04-30,2014-05-12,2019-05-01,2019-07-30,2019-11-07,2019-10-15,2016-05-04,2019-05-01,2006-01-26,2009-08-07,2017-11-08,2018-01-29,2018-07-25,2019-11-07,2015-11-02,2019-10-10,2019-04-12,2019-08-01,2018-05-02,2019-11-07,2019-08-06,2019-12-10
2018-04-25,2016-05-17,,,2019-07-31,2018-12-12,2015-10-23,2014-03-13,2016-11-28,2019-07-30,2019-05-23,2009-10-22,2018-02-20,2014-02-20,2018-05-02,2019-10-29,2019-12-16,,2016-02-17,2018-04-25,2006-01-26,2007-02-20,,2018-05-03,2018-05-03,2019-08-01,2014-10-23,2019-07-11,2009-11-03,2019-10-30,2018-02-14,2019-08-08,2019-11-05,2019-11-13
2019-08-07,2015-04-17,,,2019-04-30,2018-09-24,2010-01-21,2016-09-30,2016-12-12,2019-04-30,2019-10-22,2009-01-20,2015-02-20,2014-02-06,2019-09-24,2019-01-31,2019-11-07,,2014-11-05,2018-02-13,2005-07-29,2007-04-26,,2017-01-12,2017-11-08,2019-05-01,2013-02-05,2019-04-23,2006-02-07,2019-05-08,2015-05-07,2019-04-18,2019-05-07,2019-09-04
2018-07-25,2016-07-28,,,2019-01-31,2017-08-15,2009-10-21,,2018-03-28,2019-02-12,2019-02-26,,2018-06-07,2013-08-08,2017-01-12,2018-06-29,2019-10-22,,2015-02-18,2015-10-13,2005-04-29,2003-07-02,,2016-12-07,2017-01-26,2019-03-14,2012-10-18,2019-01-22,2003-06-06,2018-11-06,2014-02-27,2019-05-10,2019-02-27,2019-05-29
2019-10-23,,,,2018-10-30,2018-01-30,2009-04-23,,2015-01-20,2018-11-06,2018-08-08,,2011-08-03,2013-11-06,2018-05-23,2018-10-30,2019-10-15,,2014-02-19,2014-02-27,2004-10-21,2009-06-09,,2016-04-06,2017-02-23,2018-10-31,2012-07-19,2018-10-09,2004-01-30,2019-02-06,2013-12-18,2019-03-22,2018-05-08,2019-10-29
2018-11-07,,,,2018-07-20,2016-10-26,2009-07-21,,2014-05-13,2018-07-26,2018-05-16,,2011-05-04,2013-05-02,2017-08-22,2018-08-02,2019-07-29,,2013-12-11,,,2006-04-04,,2015-05-13,2014-02-07,2018-08-06,2011-07-21,2018-07-16,2006-09-08,2018-08-01,2013-12-04,2018-11-08,2018-08-06,2019-07-30
2019-02-20,,,,2018-04-20,2018-08-15,2009-01-26,,2014-03-31,2018-05-08,2018-10-23,,2014-02-18,2013-02-08,2017-01-18,2018-04-30,2019-03-18,,2012-03-22,,,2006-04-25,,2019-10-15,2014-05-08,2018-05-02,2011-04-21,2018-04-12,2019-05-15,2018-05-08,,2019-02-27,2018-04-30,2019-05-01
2018-02-28,,,,2018-01-24,2016-07-18,2008-04-24,,2016-10-13,2018-02-13,2018-03-13,,2011-02-16,2013-02-21,2016-06-09,2018-05-03,2019-05-06,,2012-04-05,,,,,2016-08-19,2014-02-27,2018-02-22,2011-03-17,2018-02-13,,2018-02-14,,2018-08-08,2018-01-30,2019-02-19
2017-09-25,,,,2017-09-06,2016-12-20,2008-10-21,,,2017-11-02,2018-04-26,,2011-02-16,2012-11-08,2019-12-16,2017-12-18,2019-10-11,,2012-03-22,,,,,2015-12-11,2013-08-08,2018-01-31,2011-02-02,2019-08-01,,2017-10-30,,2018-05-09,2018-11-06,2018-10-23
2017-10-25,,,,2017-09-05,2016-01-19,2008-07-23,,,2017-08-01,2017-11-07,,2010-08-04,2012-08-07,2014-09-08,2018-01-30,2018-12-12,,2011-02-16,,,,,2015-09-18,2013-05-09,2017-11-02,2011-01-14,2019-11-06,,2017-05-03,,2018-01-04,2018-02-28,2018-05-14
2017-04-26,,,,2017-10-20,2015-08-18,2008-01-24,,,2017-05-02,2019-02-14,,2014-05-19,2012-03-05,2015-07-22,2017-10-16,2019-02-25,,2012-03-26,,,,,2017-10-11,2011-08-04,2018-05-31,2010-12-15,2019-05-02,,2017-02-22,,2017-11-09,2018-11-08,2018-07-31
2017-07-26,,,,2017-07-28,2015-05-13,2007-10-24,,,2017-02-14,2018-02-13,,2009-11-16,2012-05-02,2018-05-07,2017-07-11,2018-10-31,,2006-07-25,,,,,2014-05-28,2011-02-24,2017-08-03,2010-11-12,2017-12-14,,2016-11-02,,2018-03-02,2017-11-08,2018-03-23
2017-02-22,,,,2017-07-28,2015-01-26,2007-07-26,,,2016-11-01,2017-08-08,,2009-08-05,2012-02-06,2012-05-15,2017-08-01,2018-09-04,,2006-04-25,,,,,2017-02-13,2007-08-08,2017-06-09,2010-10-21,2018-11-01,,2016-08-03,,2017-08-09,2017-08-02,2017-11-07
2016-10-26,,,,,2016-12-14,2007-03-02,,,2016-05-05,2017-10-31,,2009-02-04,2012-02-23,2016-05-25,2017-10-31,2018-05-17,,2005-02-16,,,,,2016-05-27,,2017-05-31,2010-09-15,2017-10-06,,2016-02-11,,2017-05-10,2017-05-09,2017-08-01
2016-06-21,,,,,2014-09-24,2007-03-09,,,2016-08-02,2017-05-08,,2008-11-05,2011-11-03,,2017-05-02,2018-07-30,,2004-02-03,,,,,,,2017-05-04,2010-08-13,2018-05-03,,2015-11-03,,2017-03-16,2016-11-08,2017-04-25
2016-07-27,,,,,2014-07-25,2007-04-25,,,2014-12-22,2017-02-28,,2008-08-06,2011-08-03,,2017-01-31,2018-05-02,,2003-02-20,,,,,,,2017-02-23,2010-07-22,2019-02-26,,2015-11-04,,2016-11-15,2017-02-23,2017-02-23
2016-04-27,,,,,2014-11-18,2006-11-01,,,2016-02-09,2017-02-08,,2013-12-20,2011-05-05,,2018-01-03,2018-02-27,,2009-07-17,,,,,,,2016-11-09,2010-03-02,2018-08-02,,2015-05-05,,2015-11-10,2016-08-03,2016-11-04
2016-02-24,,,,,2014-06-27,2006-08-01,,,2015-11-03,2016-11-30,,2008-02-06,2018-03-28,,2016-11-01,2017-12-14,,2018-11-20,,,,,,,2017-03-29,2010-05-17,2017-07-19,,2015-06-23,,2015-07-30,2016-05-10,2016-08-24
2015-10-28,,,,,2014-06-23,2007-01-16,,,2014-11-19,2016-11-30,,2007-11-07,2016-08-16,,2016-07-26,2017-09-05,,,,,,,,,2017-03-24,2010-07-02,2017-04-20,,,,2015-05-12,2016-07-29,2018-02-21
2015-08-04,,,,,2013-09-09,2006-05-03,,,2015-08-04,2016-09-30,,2007-08-01,2008-11-14,,2018-08-31,2017-11-02,,,,,,,,,,2010-04-19,2017-01-26,,,,2015-02-26,2015-11-03,2018-04-25
