1020265,868857,1571123,1336920,1470215,70866,1124610,894253,1443646,857323,1125914
2003-02-26,2014-08-05,2019-01-07,2009-10-14,2015-06-30,2015-11-12,2009-08-10,2002-07-02,2019-04-08,2005-12-16,2012-09-25
2001-07-16,2019-10-17,2015-03-02,,,,,,2018-11-01,,
,2013-06-13,2015-05-04,,,,,,2017-04-11,,
,2011-10-06,,,,,,,2014-01-31,,
,2010-08-04,,,,,,,2017-05-31,,
,2014-01-31,,,,,,,2012-08-01,,
,2010-09-22,,,,,,,,,
,2011-07-26,,,,,,,,,
,2018-03-14,,,,,,,,,
,2016-09-30,,,,,,,,,
,2014-07-14,,,,,,,,,
,2014-10-17,,,,,,,,,
,2015-07-06,,,,,,,,,
