1398987,1590364,1545654,1657853,1617406,1579877
2019-01-08,2019-11-20,2019-05-02,2017-05-09,2018-11-01,2019-06-14
2018-11-02,2016-06-14,2019-08-01,2017-05-30,2016-12-30,2014-07-16
2017-11-03,,2019-10-30,2016-11-08,2019-09-04,2017-12-13
2014-02-25,,2019-02-27,2016-07-07,,2014-09-16
,,2018-05-08,,,2014-10-02
,,2018-05-08,,,2019-11-18
,,2018-11-01,,,2014-04-02
,,2018-08-02,,,2017-03-20
,,2018-02-28,,,
,,2017-11-07,,,
,,2017-08-02,,,
,,2017-09-11,,,
,,2017-08-02,,,
,,2017-05-04,,,
,,2017-02-28,,,
,,2017-03-01,,,
,,2016-10-27,,,
,,2016-07-27,,,
,,2016-01-07,,,
,,2016-02-25,,,
,,2015-11-05,,,
,,2016-11-02,,,
,,2015-08-06,,,
,,2014-12-31,,,
,,2015-05-07,,,
,,2015-03-02,,,
,,2014-08-07,,,
,,2014-11-05,,,
,,2014-05-08,,,
,,2014-02-20,,,
