702165,1492691,1614436,1506307,1043277,1633651,1389170,277948,737874,1135017,1090727,27904,1066107,1498710,1158463,887637
2019-02-11,2019-04-24,2015-04-30,2019-07-17,2017-05-03,2019-01-31,2019-08-08,2019-10-16,2007-04-09,2014-11-21,2019-04-25,2019-11-07,2012-05-24,2019-10-23,2019-12-11,2011-10-26
2016-07-27,2017-11-06,,2019-01-16,2016-04-26,2018-02-13,2019-11-07,2019-07-16,2005-04-07,2014-11-14,2018-04-26,2019-09-04,2012-05-10,2019-07-24,2019-11-12,2011-07-28
2016-05-17,2017-04-10,,2018-07-18,2015-04-27,2017-02-15,2019-05-07,2019-04-16,2004-04-08,2014-10-22,2017-04-27,2019-10-02,2012-04-19,2019-04-24,2019-10-10,2011-05-16
2015-12-02,2018-01-30,,2018-04-18,2014-04-29,2018-03-27,2019-01-10,2019-01-16,,2014-08-29,2014-04-24,2019-09-26,2012-04-16,2018-03-06,2019-09-12,2011-04-28
2016-02-11,2017-08-25,,2018-01-17,2014-02-04,2019-12-17,2019-02-20,2018-10-16,,2014-08-11,2014-01-17,2019-10-10,2012-05-03,2016-11-08,2019-09-04,2006-10-31
2015-04-29,2017-03-08,,2017-10-18,2013-11-05,,2018-11-08,2018-02-13,,2014-08-12,2014-01-31,2019-06-04,2012-03-09,2015-06-08,2019-08-12,2006-06-22
2015-04-13,2016-12-09,,2017-07-19,2013-08-06,,2018-05-03,2018-07-17,,2009-09-18,2011-04-26,2019-07-02,2012-03-05,2015-07-13,2019-07-11,2006-07-27
2014-10-22,2016-09-09,,2017-04-19,2013-05-07,,2018-08-09,2018-04-17,,2012-05-04,2011-02-01,2019-12-12,2012-03-28,2015-04-29,2019-06-12,2006-02-15
2014-04-23,2017-04-24,,2016-04-20,2012-04-24,,2018-02-15,2017-12-22,,,2009-07-23,2019-04-02,2012-03-01,2013-04-11,2019-05-10,2006-04-27
2016-01-28,2016-06-07,,2015-04-15,2008-01-29,,2017-11-02,2017-12-15,,,2008-04-24,2019-01-03,2012-02-27,2012-11-14,2019-04-10,2006-01-30
2013-04-23,2017-01-26,,2014-11-25,2007-07-24,,2017-08-03,2017-10-25,,,2005-01-12,2019-03-05,2012-02-16,2011-09-06,2019-03-12,2006-05-04
2012-08-16,2015-09-25,,2014-11-21,2007-04-24,,2017-05-04,2018-01-16,,,2003-04-24,2019-07-11,2012-02-27,2011-06-29,2019-10-22,2006-02-15
2012-08-03,2015-08-20,,2015-01-21,2012-11-01,,2017-02-15,2017-10-17,,,,2019-04-10,2011-12-19,2015-08-11,2019-02-12,2005-09-15
2011-08-26,2016-11-01,,2014-11-14,,,2016-11-02,2017-07-18,,,,2018-12-04,2011-12-07,2017-11-28,2019-01-11,2005-10-31
2011-09-12,2016-10-24,,2014-10-22,,,2016-08-03,2017-04-19,,,,2018-10-02,2011-11-02,,2019-03-05,2005-07-28
2010-10-15,2014-06-10,,2014-04-16,,,2017-05-30,2018-01-12,,,,2018-12-12,2012-03-01,,2019-07-23,2005-06-02
2010-09-30,2014-09-25,,2014-08-11,,,2016-04-29,2017-02-21,,,,2019-01-15,2011-08-04,,2018-12-12,2005-04-28
2010-09-17,2016-07-21,,2012-05-24,,,2017-01-24,2017-04-03,,,,2018-10-11,2011-05-05,,2018-11-13,2005-05-17
2009-06-04,2014-05-28,,2012-04-16,,,2016-02-12,2017-02-15,,,,2018-10-11,2011-02-24,,2018-10-10,2005-02-17
2010-07-29,2014-04-08,,2012-04-18,,,2016-02-09,2016-10-12,,,,2018-09-05,2010-11-03,,2018-09-13,2005-02-16
2007-09-14,2016-04-21,,2012-03-02,,,2015-11-03,2017-01-17,,,,2018-12-13,2011-05-24,,2018-09-05,2005-01-31
2007-04-25,2013-12-20,,2012-03-15,,,2016-02-25,2017-02-27,,,,2018-07-12,2010-08-04,,2019-04-23,2005-01-20
2007-04-05,2016-01-25,,2012-02-27,,,2015-11-03,2016-07-13,,,,2018-07-03,2010-05-06,,2018-08-10,2004-09-09
2006-11-14,2015-10-26,,2012-02-16,,,2015-08-04,2016-04-12,,,,2018-06-06,2010-03-01,,2018-07-31,2004-08-04
2007-02-23,2015-04-27,,2012-02-28,,,2015-02-20,2016-01-12,,,,2018-04-03,2009-10-15,,2018-07-12,2004-06-15
2016-04-08,2015-07-27,,2011-12-07,,,2015-05-05,2015-09-11,,,,2017-12-18,2009-11-03,,2019-01-24,2004-03-31
2006-02-15,2013-09-17,,2011-10-17,,,2015-02-13,2015-10-13,,,,2018-03-13,2009-08-06,,2018-10-02,2004-01-20
2005-02-17,2015-01-28,,2011-10-19,,,2014-11-04,2017-03-07,,,,2018-01-03,2009-06-05,,2018-06-12,2004-02-12
2007-06-12,2014-10-23,,2014-09-25,,,2014-10-14,2015-07-14,,,,2018-04-12,2009-05-08,,2018-10-23,2003-10-30
2004-02-12,2012-09-19,,2014-08-12,,,2015-03-16,2015-02-11,,,,2017-12-13,2009-02-26,,2018-05-10,2003-05-23
2003-02-12,2014-07-24,,2012-05-07,,,2014-08-01,2015-04-14,,,,2018-01-11,2009-02-04,,2018-07-10,2003-08-01
2007-04-25,2017-04-10,,,,,2014-05-01,2015-01-14,,,,2017-09-05,2008-11-06,,2018-07-11,2003-05-02
,2014-04-24,,,,,2015-11-06,2015-01-13,,,,2017-10-03,2008-08-06,,2018-04-11,2003-05-15
,2013-10-23,,,,,2014-02-13,2014-10-14,,,,2017-06-02,2007-12-11,,2018-03-12,2004-01-21
,2013-07-24,,,,,2013-08-01,2014-07-15,,,,2017-10-11,2008-04-16,,2018-04-13,
,2014-01-27,,,,,2013-11-04,2014-04-15,,,,2017-05-02,2008-01-24,,2018-01-11,
,2013-04-22,,,,,2013-05-03,2014-01-15,,,,2017-07-05,2008-05-08,,2017-12-12,
,2012-10-22,,,,,2012-10-17,2013-10-15,,,,2017-03-02,2008-02-26,,2017-11-13,
,2011-04-26,,,,,2013-02-14,2013-07-16,,,,2017-02-02,2007-09-04,,2018-07-24,
,2012-07-19,,,,,2012-11-01,2013-01-23,,,,2017-12-14,2007-11-06,,2018-04-24,
,2013-01-23,,,,,2012-08-06,2013-04-16,,,,2017-07-13,2007-08-07,,2017-09-13,
,2011-10-19,,,,,2012-05-03,2013-01-22,,,,2017-04-04,2007-05-08,,2017-10-11,
,2012-04-19,,,,,2011-10-19,2012-10-16,,,,2017-06-07,2007-02-16,,2017-09-05,
,2011-01-25,,,,,2012-02-23,2012-07-17,,,,2017-04-12,2006-11-13,,2018-05-18,
,2012-01-25,,,,,2011-11-07,2012-01-23,,,,2016-11-02,2007-02-27,,2018-01-25,
,2017-04-13,,,,,2016-05-23,2012-04-17,,,,2016-12-02,2006-10-16,,2018-01-25,
,,,,,,2011-05-05,2011-07-13,,,,2017-05-11,2006-10-04,,2017-05-23,
,,,,,,2011-08-08,2011-05-18,,,,2017-01-04,2007-02-21,,2017-10-24,
,,,,,,2011-02-24,2011-05-16,,,,2017-03-06,2006-08-02,,2017-03-15,
,,,,,,2016-10-12,2012-01-23,,,,2016-09-02,2006-11-06,,2017-01-26,
,,,,,,2010-12-16,2011-10-18,,,,2016-08-02,2006-07-06,,2017-02-06,
