1410636,73088,1634997,1561660,916457,1379895,1599947,1013871,1592000,1373835,874761,715957,1587732,1317630,1010775,784977,1126294,1032208,1567683,1582966,1035675
2019-05-01,2019-12-23,2019-10-29,2019-11-04,2019-05-10,2018-02-21,2019-11-12,2019-11-07,2018-10-22,2017-02-23,2016-05-09,2019-11-01,2019-10-28,2019-11-19,2010-11-05,2019-11-01,2018-10-02,2019-07-19,2019-11-06,2018-08-27,2012-01-26
2018-04-12,2019-11-08,2019-07-23,2019-05-10,2017-11-01,2017-11-01,2019-08-09,2019-08-07,,2017-02-16,2014-05-08,2019-07-31,2019-09-18,2018-11-20,2010-10-08,2019-08-02,2018-05-24,2019-11-01,2019-08-06,2017-06-09,2011-11-04
2019-07-31,2019-12-10,2019-04-24,2019-03-01,2017-04-28,2017-08-03,2019-05-10,2019-05-02,,2017-01-19,2014-08-07,2019-05-03,2019-07-29,2018-03-05,2010-09-16,2019-04-26,2018-01-02,2019-07-12,2019-05-07,2017-04-19,2011-07-28
2018-08-01,2019-10-02,2019-02-19,2018-08-09,2016-07-29,2017-05-04,2018-06-20,2019-02-28,,2016-12-21,2013-08-08,2019-02-01,2019-04-29,2017-03-03,2010-09-21,2019-02-15,2012-11-15,2019-08-02,2019-02-28,2014-04-07,2011-04-28
2019-10-30,2019-10-30,2018-03-16,2018-05-10,2016-04-29,2017-04-11,2019-03-15,2018-11-08,,2016-12-14,2012-02-27,2018-11-01,2019-01-17,2016-02-08,2010-09-08,2018-09-11,2012-11-09,2019-05-20,2019-02-14,,2011-01-27
2019-02-19,2019-09-04,2018-10-23,2018-03-01,2016-02-12,2017-04-24,2018-05-21,2018-08-02,,2016-12-15,2010-11-04,2018-08-01,2019-02-20,2016-02-09,2010-08-06,2018-10-26,2012-10-25,2019-03-11,2018-11-06,,2010-10-29
2018-10-31,2019-05-21,2018-02-20,2017-04-28,2015-07-30,2017-07-13,2018-11-09,2018-05-03,,2017-02-17,2008-11-07,2018-04-27,2018-10-29,2015-04-30,2010-05-07,2018-07-27,2012-12-14,2019-05-07,2018-04-05,,2010-07-22
2018-05-02,2019-07-24,2018-07-24,2016-02-29,2015-02-13,2017-02-23,2018-08-14,2018-03-01,,2016-11-02,2011-04-20,2018-03-27,2018-09-20,2014-05-01,2009-11-06,2018-04-27,2012-08-09,2019-02-26,2019-12-09,,2010-04-29
2018-02-20,2019-03-20,2018-02-20,2015-06-24,2014-11-06,2017-08-21,2017-11-27,2017-11-02,,2016-11-02,2008-08-08,2019-11-18,2018-07-30,2013-07-25,2010-02-26,2018-02-16,2010-11-24,2018-11-07,2018-08-02,,2010-01-28
2018-01-16,2019-03-05,2017-12-28,2015-04-07,2014-08-01,2016-11-01,2018-03-08,2017-08-03,,2016-08-03,2008-03-17,2018-02-27,2018-04-30,2013-04-24,2009-08-07,2017-10-27,2010-11-03,2019-06-17,2018-04-02,,2009-10-22
