1412232,1577916,1650729,1489136,1402057,1600438,1599617,1378718,1617898,1281949,1604416,1279529,1573097,927653,1618673,1439095,1665918,1328581,1494319
2017-11-07,2017-05-31,2019-10-30,2019-11-07,2017-08-25,2019-12-05,2014-05-30,2017-02-07,2017-03-07,2006-11-08,2018-05-09,2008-04-18,2019-07-23,2008-10-28,2019-12-20,2019-09-05,2019-11-05,2019-05-07,2019-08-05
,2014-02-19,2019-07-31,2019-08-08,,2019-08-29,,2019-08-09,2014-12-19,2006-10-31,2016-06-09,2008-01-16,2019-09-10,,2019-12-30,2019-11-01,2019-08-06,2015-07-23,2019-05-09
,,2019-05-31,2019-05-07,,2019-06-27,,,,2006-10-30,2016-03-21,2007-10-04,2019-06-11,,2019-10-02,2019-10-31,2019-05-07,2014-07-24,2019-02-08
,,2019-05-01,2019-02-27,,2019-03-05,,,,2006-07-28,2016-03-22,2007-07-02,2019-03-19,,2019-11-06,2019-05-02,2019-02-12,2014-04-23,2018-08-01
,,2019-02-19,2018-11-07,,2018-09-06,,,,2006-07-27,2016-06-15,2007-04-25,2018-06-05,,2019-08-14,2019-08-01,2018-11-06,2013-07-22,2018-02-28
,,2018-10-31,2018-08-08,,2018-12-04,,,,2006-05-12,,2007-10-16,2018-03-13,,2019-05-08,2018-11-01,2018-07-30,,2015-07-29
,,2018-08-01,2018-05-08,,2018-08-30,,,,2006-06-01,,2007-01-04,2017-03-14,,2019-02-19,2019-02-14,2018-05-08,,2018-11-01
,,2018-05-02,2018-02-26,,2018-08-08,,,,2006-05-01,,2006-10-05,2016-12-06,,2019-07-01,2018-08-01,2018-02-15,,
,,2018-02-20,2017-11-09,,2018-06-28,,,,2006-05-02,,2006-07-12,2016-06-07,,2019-02-06,2018-05-02,2017-11-07,,
,,2017-07-19,2017-11-09,,2018-03-06,,,,2006-02-13,,2006-07-06,2016-03-15,,2018-11-07,2017-11-02,2017-08-09,,
,,2017-11-08,2019-09-16,,2017-12-07,,,,2006-02-14,,2006-05-17,2015-08-03,,2018-08-15,2018-02-15,2017-05-09,,
,,2017-08-09,2017-08-07,,2017-11-07,,,,2005-10-28,,2006-05-11,2015-07-16,,2017-12-15,2017-05-18,2017-02-15,,
,,2017-04-17,2017-05-04,,2017-09-13,,,,2005-10-27,,2006-05-04,2015-09-09,,2018-05-09,2017-08-03,2016-08-09,,
,,2017-05-10,2017-02-23,,2017-08-08,,,,2005-07-29,,2006-04-05,2015-03-04,,2017-09-18,2017-05-04,2016-11-08,,
,,2017-03-15,2016-11-07,,2017-06-29,,,,2005-05-03,,2006-05-08,2015-06-09,,2018-02-07,2017-02-16,2016-06-01,,
,,2016-11-07,2016-08-30,,2017-09-06,,,,2005-04-13,,2006-05-03,2015-03-24,,2017-09-12,2016-08-02,,,
,,2016-08-17,2016-08-04,,2017-05-22,,,,2005-07-29,,2006-01-05,2014-06-10,,2017-11-08,2016-05-02,,,
,,2016-06-22,2016-05-05,,2017-06-09,,,,2005-04-29,,2005-10-20,2014-03-25,,2017-08-16,2015-09-01,,,
,,,2016-02-25,,2017-02-21,,,,2005-04-28,,2005-09-21,2013-10-02,,2017-05-10,2016-02-23,,,
,,,2017-06-06,,2017-03-22,,,,2005-02-11,,2005-07-19,2013-09-17,,2016-09-08,2015-11-05,,,
,,,2016-09-30,,2017-01-25,,,,2004-10-21,,2005-10-19,2013-09-09,,2017-02-08,2015-08-03,,,
,,,2017-07-17,,2017-03-09,,,,2005-02-11,,2005-10-06,,,2016-11-08,2015-04-30,,,
,,,,,2016-12-13,,,,2004-10-22,,2005-07-07,,,2016-06-22,2015-02-19,,,
,,,,,2016-09-22,,,,2005-07-29,,2005-05-12,,,2015-11-04,2014-11-06,,,
,,,,,2016-08-09,,,,,,2005-06-06,,,2016-08-17,2014-07-31,,,
,,,,,2016-11-21,,,,,,2005-05-03,,,2016-02-03,2014-05-01,,,
,,,,,2016-09-13,,,,,,2005-03-10,,,2016-05-04,2014-02-20,,,
,,,,,2016-11-08,,,,,,2005-05-03,,,2019-07-01,2013-12-09,,,
,,,,,2016-09-29,,,,,,2005-01-10,,,2016-05-17,2013-10-31,,,
,,,,,2016-07-12,,,,,,2006-06-07,,,,2013-08-01,,,
,,,,,2018-04-05,,,,,,,,,,2013-05-29,,,
,,,,,2018-06-04,,,,,,,,,,2013-05-02,,,
,,,,,,,,,,,,,,,2013-02-21,,,
,,,,,,,,,,,,,,,2012-12-03,,,
,,,,,,,,,,,,,,,2012-10-26,,,
,,,,,,,,,,,,,,,2012-10-25,,,
,,,,,,,,,,,,,,,2012-10-04,,,
,,,,,,,,,,,,,,,2012-10-09,,,
,,,,,,,,,,,,,,,2012-08-07,,,
,,,,,,,,,,,,,,,2012-05-04,,,
,,,,,,,,,,,,,,,2012-03-28,,,
,,,,,,,,,,,,,,,2012-03-01,,,
,,,,,,,,,,,,,,,2011-11-10,,,
,,,,,,,,,,,,,,,2015-05-19,,,
