1137774,1171825,40729,1156039,1580608,1472787,927628,1267238,4962,1409970,1575879,750556,1535929,36377,1178970,895421,1099219,1569391,1120193,1442145,1601712,1141391,1365135,759944,820027,1368007,1430723
2019-06-05,2018-06-13,2017-11-02,2019-10-01,2019-12-26,2019-02-14,2018-03-01,2019-03-14,2019-10-18,2017-12-07,2016-08-01,2017-11-02,2018-11-13,2016-08-10,2019-04-25,2017-01-17,2014-09-16,2017-01-19,2017-10-25,2016-05-24,2019-11-08,2017-10-31,2019-09-24,2019-07-19,2018-10-23,2012-08-03,2019-10-21
,2018-02-14,,,,,,,2019-07-19,2018-03-28,,2017-09-12,,,,,,,2017-01-31,,2019-08-07,,2016-03-10,2019-04-18,2018-07-24,2012-04-05,
,2014-09-09,,,,,,,2019-04-18,,,,,,,,,,,,2019-05-09,,2012-05-09,2017-11-15,,,
,,,,,,,,2019-01-17,,,,,,,,,,,,2019-06-20,,,,,,
,,,,,,,,2018-10-18,,,,,,,,,,,,2019-02-04,,,,,,
,,,,,,,,2018-07-18,,,,,,,,,,,,2018-10-29,,,,,,
,,,,,,,,2018-04-18,,,,,,,,,,,,2019-01-23,,,,,,
,,,,,,,,,,,,,,,,,,,,2018-05-11,,,,,,
,,,,,,,,,,,,,,,,,,,,2018-01-30,,,,,,
,,,,,,,,,,,,,,,,,,,,2017-11-13,,,,,,
,,,,,,,,,,,,,,,,,,,,2018-01-19,,,,,,
,,,,,,,,,,,,,,,,,,,,2017-08-08,,,,,,
,,,,,,,,,,,,,,,,,,,,2017-05-24,,,,,,
,,,,,,,,,,,,,,,,,,,,2016-11-03,,,,,,
,,,,,,,,,,,,,,,,,,,,2017-01-30,,,,,,
,,,,,,,,,,,,,,,,,,,,2014-08-11,,,,,,
