1370637,794323,732712,789019,1265888,1373715,1107694,1085280,1327811,1289419,1327567,1208208,1136893,1353283,859014,1326801,1609711,1122897,1348334,1131096,101830,1490660,1533932,1591698,1402436,1364962,1677703,1439404,1301031,816761,1448056,1627014,1087423,883980,1459200,1091667,1619954,1283699,1286225,1528396,1564708,1377013,1418091,1108524,1459417,1463172,1065088,1652044,1385867,1014473,1469433,1101215,1271024,1166691,1401680,1230276,1576169,1305294
2019-08-01,2017-03-17,2019-02-21,2019-10-23,2016-07-13,2017-10-25,2016-10-13,2014-06-19,2019-12-03,2018-03-12,2019-11-25,2017-07-20,2019-05-13,2019-08-21,2014-07-24,2016-04-27,2019-08-02,2016-02-25,2017-07-10,2018-02-15,2019-08-02,2013-12-12,2018-11-08,2016-11-09,2012-03-14,2015-10-29,2018-06-08,2014-04-23,2013-02-14,2018-11-19,2017-02-07,2018-11-19,2016-06-22,2017-08-07,2018-11-07,2016-04-27,2019-01-07,2019-07-26,2015-07-17,2017-10-06,2018-08-29,2016-05-24,2019-02-07,2019-12-12,2019-07-30,2019-07-30,2018-04-25,2019-12-04,2019-03-11,2013-04-08,2012-04-30,2015-06-30,2014-03-03,2015-07-23,2019-11-05,2017-01-12,2019-05-01,2015-08-24
2018-02-27,2016-10-31,2013-09-03,2019-04-24,,,2015-05-11,2013-09-19,2019-11-04,2014-05-02,2019-07-11,2017-05-02,2016-05-10,2019-05-02,2014-08-01,,2019-08-01,2015-05-11,,2017-06-08,2019-05-07,2016-07-22,2018-04-03,2014-09-08,,2014-10-30,,,2012-11-06,2018-06-15,2016-11-07,,2014-12-18,2014-07-30,2017-03-15,2015-04-06,2019-07-31,,,,2015-09-16,,2019-04-23,2019-08-01,2019-04-08,2018-04-04,2016-07-20,2019-10-28,2017-03-13,,,2014-07-17,,2015-05-04,2019-08-06,2014-10-23,2017-11-20,2013-04-25
2017-08-03,,,2019-01-30,,,2015-02-17,2013-06-20,2019-05-28,2014-04-02,2019-05-29,2014-10-30,2016-06-02,2019-08-21,2014-05-29,,,,,2018-02-01,2019-11-04,,,,,2015-02-05,,,,2019-01-15,,,2013-03-27,,,2015-04-01,2019-05-01,,,,,,2019-07-26,2019-08-07,,2019-04-30,,2017-04-27,,,,,,2014-10-23,2019-05-07,,2017-03-06,2012-10-25
2017-05-02,,,2018-10-24,,,2014-12-23,2014-06-24,2019-08-29,,2019-02-26,2017-02-24,2015-05-08,2019-05-23,2013-10-29,,,,,2016-12-15,2019-01-31,,,,,2017-07-27,,,,2018-02-05,,,2011-12-19,,,2016-05-24,2019-10-30,,,,,,2019-02-07,2017-02-28,,2019-02-05,,2016-05-03,,,,,,,2019-08-05,,2016-11-03,2011-10-27
2017-02-28,,,2019-07-18,,,2014-09-22,2012-06-28,2018-11-29,,2019-09-04,2014-02-26,2018-05-10,2018-09-17,2013-05-23,,,,,2017-02-02,2018-10-31,,,,,2018-07-26,,,,2018-08-02,,,2011-09-21,,,2015-04-22,2019-02-20,,,,,,2018-10-25,2016-08-31,,2019-10-30,,,,,,,,,2017-08-03,,2016-02-29,
2016-11-01,,,2018-07-19,,,2015-02-17,2012-03-29,2018-09-04,,2018-10-15,2013-02-26,2005-06-08,2019-02-28,2013-01-28,,,,,2013-10-24,2018-08-01,,,,,,,,,2017-11-02,,,,,,,2018-08-01,,,,,,2018-07-27,2014-07-11,,2018-05-01,,,,,,,,,2017-05-02,,2014-03-06,
,,,2013-11-26,,,2014-05-12,,2018-02-27,,2017-02-28,2017-02-24,2004-02-25,2018-11-29,2012-10-26,,,,,2013-12-12,2019-07-26,,,,,,,,,2018-05-03,,,,,,,2018-05-08,,,,,,2018-04-25,2010-02-24,,2017-11-01,,,,,,,,,2017-02-13,,2014-03-10,
,,,,,,2013-11-12,,2014-11-24,,2014-03-24,,,2018-08-23,2012-07-27,,,,,2014-04-17,,,,,,,,,,2017-02-09,,,,,,,2017-11-01,,,,,,2018-02-08,2009-11-17,,2017-05-04,,,,,,,,,2016-11-03,,,
,,,,,,2013-05-08,,2014-02-26,,2013-02-28,,,2018-02-27,2012-05-25,,,,,,,,,,,,,,,2016-08-02,,,,,,,2016-12-12,,,,,,2017-10-26,2009-08-20,,2017-08-03,,,,,,,,,2016-08-04,,,
,,,,,,2013-02-12,,2013-11-25,,,,,2018-05-24,2010-02-02,,,,,,,,,,,,,,,2016-05-05,,,,,,,2016-10-03,,,,,,2017-07-27,2009-05-21,,2016-08-02,,,,,,,,,2015-11-05,,,
