1627223,1045810,1037646,1318605,1660690,1009626,1443669,1596532,1521332,1047122,1730168,1138639,1034670,1439222,1383729,1262039,1163302,1411207,1587523,1357326,1606498,1012100,1645590,1452751,1517228,1043604,1388658,1601046,1390844,1038074
2019-05-13,2019-01-28,2018-02-08,2018-02-07,2018-12-11,2016-02-17,2017-11-21,2019-02-14,2015-06-05,2019-06-10,2019-08-09,2014-05-13,2017-06-27,2019-05-02,2014-04-23,2018-11-01,2019-10-01,2019-04-23,2019-09-17,2013-07-30,2018-06-21,2015-09-18,2019-09-25,2016-11-22,2015-01-28,2019-05-15,2019-02-12,2017-01-30,2017-10-19,2019-01-30
,2019-08-15,,,2018-05-14,2015-08-20,,,,,,,2017-10-26,,2014-01-22,,,,,,2017-10-31,,2019-06-24,2016-05-24,,,2017-08-02,,2017-02-17,
,2019-02-14,,,2018-02-06,2014-11-24,,,,,,,2018-07-02,,2013-10-23,,,,,,2016-11-01,,2018-06-20,2015-05-26,,,,,,
,2018-11-15,,,2016-12-12,2014-02-13,,,,,,,,,2013-08-07,,,,,,,,2017-11-21,2014-08-26,,,,,,
,2017-08-10,,,2016-09-15,2012-02-21,,,,,,,,,2013-01-30,,,,,,,,2017-04-03,2014-02-27,,,,,,
,2017-11-09,,,2016-09-19,2012-05-17,,,,,,,,,2012-10-24,,,,,,,,2017-09-05,,,,,,,
,2017-02-09,,,,2011-11-21,,,,,,,,,2012-08-09,,,,,,,,2017-02-23,,,,,,,
,2016-08-11,,,,,,,,,,,,,2012-04-26,,,,,,,,2017-05-31,,,,,,,
,2016-05-12,,,,,,,,,,,,,2014-06-16,,,,,,,,2017-02-23,,,,,,,
,2016-02-17,,,,,,,,,,,,,2013-04-24,,,,,,,,2016-08-11,,,,,,,
,2014-11-06,,,,,,,,,,,,,,,,,,,,,2019-05-17,,,,,,,
,2015-02-11,,,,,,,,,,,,,,,,,,,,,2017-03-07,,,,,,,
,2014-02-12,,,,,,,,,,,,,,,,,,,,,2016-05-26,,,,,,,
,2019-03-11,,,,,,,,,,,,,,,,,,,,,2016-09-07,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2015-11-05,,,,,,,
