316206,1546417,1070794,1524358,940944,1468174,1174922,1357204,1584509,1618756,1525769,1002579,745308,1636222,858339,1048286,1058090,1704720,1585689,1300514,7032,1566897,905036,1673358,1620533,1653653,1041061
2015-12-22,2019-02-14,2003-10-23,2016-12-09,2014-09-09,2016-11-22,2019-12-09,2018-02-15,2019-08-26,2017-02-22,2015-05-26,2004-03-08,2014-04-09,2017-02-01,2019-11-05,2019-08-14,2019-04-24,2019-11-18,2018-04-09,2019-10-23,2013-06-26,2016-08-04,2001-05-04,2017-01-09,2019-11-04,2019-08-06,2019-09-16
2016-09-23,2018-02-28,2004-01-07,2019-10-01,2014-08-04,,2019-11-06,2015-02-06,2019-10-07,2019-09-24,2015-02-02,2001-06-28,2011-03-04,2016-12-23,2019-08-05,2017-02-14,2017-07-25,2019-02-14,2019-06-24,2019-07-24,2011-06-22,2016-08-01,,2016-11-01,2019-08-05,2019-11-05,2018-12-03
2014-07-24,,2004-07-16,2018-05-01,2014-03-03,,2019-09-11,2012-08-09,2018-10-04,2017-08-28,,,2011-02-17,2018-11-14,2019-05-01,2016-11-17,2007-03-21,2019-04-23,2016-10-24,2019-04-17,2007-11-16,2016-08-08,,,2019-05-02,2019-04-30,2016-05-04
2014-02-13,,,2018-08-23,2014-08-05,,2019-08-06,2019-05-01,2018-01-24,2017-05-17,,,2011-02-09,,2019-05-02,2014-06-18,,2019-08-27,2013-12-17,2019-01-23,2009-11-04,2016-05-04,,,2019-02-25,2018-11-07,2017-06-16
2014-08-27,,,2016-04-07,2013-06-21,,2019-05-09,2017-10-24,2018-06-18,2014-12-15,,,2007-10-09,,2019-02-21,2016-03-25,,2018-11-08,2018-04-13,2018-10-24,2011-04-18,2016-02-24,,,2018-11-01,2018-07-31,2016-09-02
2013-02-07,,,2014-09-16,2012-06-20,,2019-01-30,2015-01-26,2018-05-31,2014-12-12,,,2013-11-07,,2019-08-06,2015-11-16,,2017-11-20,2018-04-19,2019-05-20,2013-03-07,2015-10-21,,,2018-08-02,2018-05-01,2016-11-03
2016-03-25,,,2017-08-21,2012-07-12,,2018-11-07,,2017-10-16,2019-11-20,,,2006-05-10,,2019-11-06,2006-08-22,,,2017-03-22,2018-07-25,2013-02-28,2015-10-28,,,2018-05-03,2018-02-27,2006-04-24
2012-02-02,,,2012-11-30,2014-05-23,,2018-08-01,,2017-12-12,2015-05-26,,,2007-02-06,,2018-11-01,2008-11-12,,,2016-08-18,2018-04-25,2012-03-01,2015-07-29,,,2018-02-26,2017-11-07,2016-06-21
2011-10-27,,,2018-09-05,2014-05-21,,2018-04-24,,2017-09-26,,,,2006-10-31,,2018-08-01,,,,,2018-01-24,2010-03-31,2015-10-05,,,2018-02-15,2017-08-08,2005-11-23
2011-04-28,,,2012-09-13,2007-08-17,,2018-01-22,,2017-03-29,,,,2006-08-01,,2018-05-02,,,,,2017-10-25,,2015-04-29,,,2017-11-01,2017-05-04,2003-06-06
2011-07-28,,,2014-09-11,,,2017-10-26,,2015-12-17,,,,2006-05-02,,2018-11-02,,,,,2017-07-26,,2015-07-02,,,2017-08-03,2019-02-12,2001-10-18
2010-10-28,,,2011-11-22,,,2019-09-05,,2016-06-06,,,,2006-02-08,,2018-08-01,,,,,2017-04-26,,2015-02-18,,,2017-05-04,2017-03-07,2002-05-20
2009-11-02,,,,,,2017-07-25,,2013-12-16,,,,2005-07-26,,2018-03-07,,,,,2017-02-17,,2014-10-29,,,2017-03-01,2016-11-07,2016-05-16
2009-11-25,,,,,,2017-04-25,,2017-03-28,,,,2005-10-25,,2018-05-02,,,,,2017-01-25,,2014-07-30,,,,2016-10-03,
2010-02-04,,,,,,2017-01-26,,,,,,2005-04-20,,2017-11-01,,,,,2016-11-03,,2014-05-01,,,,2016-08-15,
2015-11-16,,,,,,2016-11-02,,,,,,2004-06-16,,2017-09-29,,,,,2019-08-12,,2016-06-29,,,,2016-05-10,
2009-10-22,,,,,,2018-03-27,,,,,,2005-02-02,,2017-10-24,,,,,2016-08-12,,2014-02-19,,,,2016-05-12,
2005-11-14,,,,,,2016-07-28,,,,,,2004-10-20,,2017-09-14,,,,,2016-07-25,,2013-10-31,,,,2017-09-21,
2015-11-03,,,,,,2016-05-05,,,,,,2004-07-21,,2017-08-03,,,,,2016-04-20,,2013-08-13,,,,2016-05-02,
2016-04-19,,,,,,2016-04-05,,,,,,2004-04-20,,2017-06-27,,,,,2018-08-10,,2016-05-17,,,,2016-06-08,
,,,,,,2016-02-11,,,,,,2004-02-03,,2019-02-22,,,,,2016-08-25,,2015-08-03,,,,,
,,,,,,2016-01-15,,,,,,2004-02-03,,2017-05-09,,,,,2015-10-21,,2015-11-19,,,,,
,,,,,,2016-08-18,,,,,,2004-02-03,,2017-05-02,,,,,2016-01-27,,2014-11-21,,,,,
,,,,,,2015-10-15,,,,,,2003-10-21,,2017-05-18,,,,,2015-08-14,,2015-02-09,,,,,
,,,,,,2015-07-29,,,,,,2003-04-23,,2017-02-28,,,,,2015-07-22,,2013-09-26,,,,,
,,,,,,2015-04-28,,,,,,2005-08-30,,2017-02-15,,,,,2015-04-22,,2013-11-26,,,,,
,,,,,,2019-04-23,,,,,,2008-09-24,,2018-03-15,,,,,2015-01-28,,2014-05-15,,,,,
,,,,,,2016-09-08,,,,,,2005-07-28,,2017-02-21,,,,,2015-08-20,,,,,,,
,,,,,,2015-02-03,,,,,,2006-07-31,,2016-11-07,,,,,2014-10-15,,,,,,,
,,,,,,2014-10-28,,,,,,,,2019-06-25,,,,,2014-08-15,,,,,,,
,,,,,,2014-07-29,,,,,,,,2016-08-02,,,,,2014-07-16,,,,,,,
,,,,,,2014-05-01,,,,,,,,2016-08-01,,,,,2019-09-04,,,,,,,
,,,,,,2014-01-30,,,,,,,,2016-05-27,,,,,2019-07-31,,,,,,,
,,,,,,2018-04-18,,,,,,,,2016-06-21,,,,,2014-04-24,,,,,,,
,,,,,,2013-10-24,,,,,,,,2016-08-01,,,,,2014-01-29,,,,,,,
,,,,,,2013-07-29,,,,,,,,2017-10-16,,,,,2014-08-28,,,,,,,
,,,,,,2013-04-25,,,,,,,,2016-05-05,,,,,2013-10-17,,,,,,,
,,,,,,2017-05-11,,,,,,,,2016-02-23,,,,,2013-07-24,,,,,,,
,,,,,,2013-01-31,,,,,,,,2015-11-09,,,,,2013-05-01,,,,,,,
,,,,,,2017-04-24,,,,,,,,2016-06-08,,,,,2017-03-30,,,,,,,
,,,,,,2013-09-12,,,,,,,,2015-08-04,,,,,2013-01-30,,,,,,,
,,,,,,2012-10-24,,,,,,,,2016-07-11,,,,,2012-11-01,,,,,,,
,,,,,,2012-07-17,,,,,,,,2015-05-06,,,,,2012-07-25,,,,,,,
,,,,,,2012-05-07,,,,,,,,2015-04-20,,,,,2012-04-25,,,,,,,
,,,,,,2013-01-31,,,,,,,,2015-03-02,,,,,2012-02-01,,,,,,,
,,,,,,2016-04-21,,,,,,,,2015-01-30,,,,,2011-10-27,,,,,,,
,,,,,,2012-12-14,,,,,,,,2017-12-22,,,,,2011-07-26,,,,,,,
,,,,,,2012-02-02,,,,,,,,2017-05-12,,,,,2015-03-26,,,,,,,
,,,,,,2011-10-19,,,,,,,,2015-07-21,,,,,2011-05-03,,,,,,,
,,,,,,2015-04-20,,,,,,,,2015-01-12,,,,,2016-03-23,,,,,,,
,,,,,,2011-07-18,,,,,,,,2015-08-24,,,,,2011-02-03,,,,,,,
,,,,,,2011-04-19,,,,,,,,2015-01-07,,,,,2010-10-27,,,,,,,
,,,,,,2011-02-10,,,,,,,,2015-01-14,,,,,2010-07-28,,,,,,,
,,,,,,2015-02-18,,,,,,,,2015-01-12,,,,,2010-05-06,,,,,,,
,,,,,,2010-11-02,,,,,,,,2015-01-12,,,,,2010-02-17,,,,,,,
,,,,,,2010-07-29,,,,,,,,2016-10-06,,,,,2014-03-27,,,,,,,
,,,,,,2010-07-21,,,,,,,,2014-11-10,,,,,2009-10-29,,,,,,,
,,,,,,2014-04-22,,,,,,,,2016-11-15,,,,,2010-09-14,,,,,,,
