1024657,1395942,1060391,1082754,1546640,1585790,1669600,1428875,1657197,19411,1062047,1324424,1552033
2015-01-05,2014-11-04,2012-08-21,2017-02-06,2016-04-22,2018-05-10,2019-04-16,2019-10-22,2018-08-27,2019-03-07,2018-09-25,2017-10-26,2019-03-12
2013-03-27,2013-12-17,2010-11-05,2017-01-06,2016-04-11,2018-03-13,,2019-11-05,2018-06-22,2017-11-01,2014-01-07,2017-07-27,2019-10-22
2008-02-19,2019-06-14,2018-06-11,2015-10-23,2016-03-28,2017-11-21,,2019-08-06,2016-06-03,2019-10-31,2018-06-28,2015-10-29,2019-04-23
2015-01-07,2009-10-28,2011-05-09,2016-03-23,2016-03-25,2017-05-23,,2019-05-07,,2018-03-09,2016-07-07,2015-05-22,2019-07-23
2009-01-07,2019-09-20,2008-12-19,2015-05-05,2016-03-09,2014-11-12,,2019-02-26,,2019-12-05,2011-06-03,2014-07-31,2018-05-11
2017-05-11,2016-02-18,2012-05-08,2015-02-10,2016-04-25,2015-03-09,,2018-11-06,,2014-10-24,2015-06-12,2013-10-30,2019-02-14
2003-04-02,2017-05-31,2010-03-04,2014-11-04,2016-02-02,2014-08-12,,2018-07-17,,2017-03-08,2012-03-27,2013-03-12,2018-10-23
2015-11-24,2014-03-12,2008-12-10,2014-07-29,2015-11-10,2014-05-13,,2018-07-31,,2016-03-07,2008-07-16,2015-11-05,2018-07-24
2010-11-24,,2011-04-21,2014-04-29,2013-12-06,2014-03-21,,2018-05-01,,2015-03-09,2010-03-09,2015-06-03,2018-04-20
2000-12-29,,2016-05-04,2014-12-23,2016-04-11,2013-11-12,,2018-02-27,,2014-03-07,,2012-07-26,2018-02-13
2012-08-16,,2001-04-30,2014-02-11,2013-11-25,2019-04-15,,2017-10-31,,2011-09-02,,2011-04-28,2017-10-27
2006-06-05,,2009-11-25,2013-11-05,2013-02-04,2016-10-12,,2017-07-31,,2013-03-08,,2011-07-28,2018-11-14
2014-01-27,,2014-07-02,2013-07-30,2016-02-16,2016-08-05,,2017-07-26,,2013-02-07,,2015-02-13,2017-07-25
2013-02-21,,2008-06-23,2013-04-30,2012-09-17,2016-11-14,,2017-01-18,,2012-03-07,,2012-12-21,2017-04-25
2002-08-02,,2007-05-02,2015-11-05,2012-10-01,,,2017-04-27,,2011-03-08,,2019-04-16,2017-02-14
2003-04-01,,2005-07-05,2013-02-05,,,,2017-02-23,,2010-03-05,,2006-03-06,2016-10-25
2014-07-03,,2009-09-10,2012-10-31,,,,2016-10-14,,2009-03-10,,2005-07-15,2016-07-26
2010-10-06,,,2012-11-05,,,,2016-10-25,,2014-04-01,,2005-11-03,2016-04-26
2016-06-21,,,2012-07-31,,,,2016-07-28,,2008-05-27,,2005-08-02,2016-02-16
,,,2012-05-01,,,,2016-05-04,,2004-04-14,,2009-06-22,2015-10-07
,,,2012-02-07,,,,2016-02-25,,2006-05-22,,,2015-10-27
,,,2011-11-01,,,,2015-11-03,,2005-03-17,,,2015-07-28
,,,2011-08-02,,,,2015-08-04,,2003-05-29,,,2014-02-27
,,,2011-05-03,,,,2015-04-28,,2006-02-06,,,2013-11-13
,,,2010-12-01,,,,2015-02-26,,2017-09-25,,,2018-04-25
,,,2013-04-18,,,,2014-10-30,,2002-12-06,,,2013-05-07
,,,2010-11-02,,,,2014-08-05,,2004-01-07,,,2013-08-07
,,,2011-02-08,,,,2019-03-18,,2003-03-27,,,2013-05-16
,,,2010-11-09,,,,2018-08-07,,2003-07-29,,,2013-02-25
,,,2010-05-11,,,,2018-09-10,,2003-09-29,,,2012-11-07
,,,2010-01-13,,,,2019-11-12,,2004-01-06,,,2015-06-29
,,,2010-08-10,,,,2018-08-20,,,,,2012-11-06
,,,2010-02-10,,,,2016-11-10,,,,,2015-07-02
,,,2016-10-31,,,,2014-07-02,,,,,2016-06-01
,,,2015-08-04,,,,,,,,,2014-04-09
,,,2009-12-18,,,,,,,,,
,,,2014-10-02,,,,,,,,,
,,,2011-06-30,,,,,,,,,
,,,2015-11-23,,,,,,,,,
