1045829,1411574,1437578,1320414,1035688,1578318,854694,860730
2012-10-31,2014-01-13,2013-04-11,2018-11-01,2018-11-01,2015-04-30,2000-10-20,2019-10-10
2013-08-20,2017-01-09,2013-02-04,2019-09-24,2017-10-23,2014-07-08,,2019-01-17
2013-01-31,2015-03-17,,2017-10-23,2015-03-24,2014-06-10,,2019-06-07
2013-05-01,,,2018-03-23,2010-09-15,2015-07-30,,2018-03-13
2011-07-12,,,2015-03-24,2018-03-23,2014-06-19,,2019-01-22
2012-08-23,,,2017-03-07,2017-03-07,2016-06-16,,2018-08-13
2012-05-01,,,2016-09-28,2016-09-28,,,2019-01-30
2012-02-01,,,2010-09-15,2005-08-16,,,2017-03-20
2011-06-22,,,2019-08-01,2007-10-03,,,2017-02-15
2011-11-01,,,2019-12-11,2010-06-23,,,2016-12-09
2011-08-25,,,2010-06-23,2007-03-28,,,2016-03-18
2011-05-10,,,2013-05-28,2004-10-20,,,2017-06-09
2013-10-01,,,2018-10-31,2019-08-01,,,2015-06-15
2011-02-07,,,2018-02-02,2018-10-31,,,2016-08-09
2010-11-08,,,,2018-02-02,,,2018-08-23
2010-08-26,,,,,,,2016-03-04
2010-05-11,,,,,,,2014-10-31
2010-02-09,,,,,,,2015-12-08
2009-11-10,,,,,,,2014-10-07
2009-09-01,,,,,,,2019-07-22
2009-05-11,,,,,,,2019-11-21
2012-03-27,,,,,,,2015-05-11
2009-02-11,,,,,,,2014-10-10
2010-01-19,,,,,,,2013-05-28
2013-06-24,,,,,,,2015-11-13
2013-03-19,,,,,,,2013-05-09
2007-09-07,,,,,,,2013-05-01
2006-09-08,,,,,,,2017-06-22
2011-01-28,,,,,,,2014-03-05
2010-02-03,,,,,,,2012-12-03
,,,,,,,2016-08-15
,,,,,,,2016-03-15
,,,,,,,2012-10-16
,,,,,,,2015-01-16
,,,,,,,2012-04-26
,,,,,,,2013-02-11
,,,,,,,2012-10-22
,,,,,,,2011-05-04
,,,,,,,2012-02-13
,,,,,,,2010-04-08
,,,,,,,2014-03-11
,,,,,,,2019-06-12
,,,,,,,2014-02-28
,,,,,,,2009-06-22
,,,,,,,2011-07-26
,,,,,,,2017-06-30
,,,,,,,2012-12-06
,,,,,,,2014-10-17
,,,,,,,2012-02-16
,,,,,,,2014-03-21
,,,,,,,2010-11-24
,,,,,,,2012-10-23
,,,,,,,2006-07-25
,,,,,,,2009-02-25
,,,,,,,2010-03-12
,,,,,,,2009-08-17
,,,,,,,2011-10-03
,,,,,,,2011-08-01
,,,,,,,2007-06-26
,,,,,,,2009-04-28
,,,,,,,2011-05-09
,,,,,,,2006-11-24
