1020265,1370880,1289434,1100682,868857,1668397,1383312,1610950,1646383,1571123,1478242,1125011,1006240,1007456,1019878,1336920,1470215,1163842,70866,1124610,894253,1169264,1595262,1443646,1613859,1223862,1125914,857323
2007-03-28,2016-08-04,2010-08-31,2019-02-15,2019-11-12,2016-12-08,2019-11-20,2016-07-28,2017-10-17,2018-12-31,2019-05-10,2006-04-27,2006-10-31,2008-07-29,2000-12-20,2015-07-23,2015-11-19,2005-12-15,2018-07-26,2019-05-30,2007-10-30,2013-02-05,2016-05-05,2019-11-06,2019-10-30,2015-12-04,2012-11-01,2006-08-29
2007-03-14,2015-05-29,,2017-11-09,2019-08-06,,2018-06-07,2014-11-14,2018-02-28,2018-09-11,2019-08-13,2005-02-15,2006-07-27,2004-04-28,,2013-09-10,2010-09-30,2005-12-14,2015-11-18,2018-11-29,2005-10-04,2009-05-07,2016-05-03,2019-08-02,2016-12-07,2016-09-19,2009-09-23,2005-09-23
2006-12-13,2016-01-20,,2017-02-14,2019-06-17,,2018-09-28,2017-08-09,2018-04-03,2019-01-08,2017-05-24,2006-10-26,2006-04-28,2003-02-06,,2016-07-29,2010-03-08,2003-05-29,2013-11-19,2018-03-01,2006-03-28,2013-09-11,2016-05-03,2019-05-28,,,2014-06-13,2005-06-22
2007-03-19,2018-05-25,,2014-02-12,2019-05-08,,2017-11-22,2015-05-15,2017-06-05,2017-01-20,2013-11-26,2006-02-14,2005-12-22,2004-05-12,,2019-12-18,2010-01-27,,2014-03-20,2013-04-23,2002-07-01,2010-11-01,,2019-11-01,,,2010-09-16,2005-04-14
2005-09-28,,,2014-08-07,2019-02-05,,2018-02-13,2017-05-10,2016-12-21,2016-08-25,2017-02-28,2006-03-15,2006-05-05,2000-11-01,,2012-08-30,2010-07-19,,2015-12-07,2014-01-23,2009-09-21,2009-10-29,,2019-07-29,,,2012-09-25,2004-12-21
2006-10-12,,,2019-05-01,2018-08-07,,2018-11-13,2017-08-01,2018-02-12,2018-09-10,2018-06-12,,2006-04-03,2008-05-16,,2012-02-24,2015-11-24,,2013-11-12,2019-08-22,2002-07-02,2017-01-13,,2019-05-28,,,2013-01-16,2004-09-21
2005-06-30,,,2010-06-25,2018-05-08,,2017-07-11,,2016-11-30,2013-10-01,2016-05-03,,2004-06-17,2001-07-02,,2012-03-14,2012-06-01,,2018-10-22,2012-10-23,2002-06-24,2006-06-21,,2019-02-06,,,,2004-06-22
2006-08-03,,,2010-07-30,2018-02-06,,2017-11-13,,2015-12-02,,2017-03-08,,2006-08-15,,,2010-10-13,2015-06-30,,2019-08-29,2012-04-18,,2005-08-24,,2018-11-07,,,,2003-12-16
2007-02-01,,,2018-04-03,2017-08-08,,2017-05-12,,,,2017-09-19,,2001-12-13,,,2009-12-08,2011-11-08,,2012-04-19,2012-01-23,,2005-02-18,,2019-02-01,,,,2003-06-19
2005-11-03,,,2014-04-04,2017-11-13,,2017-02-09,,,,2015-05-13,,2003-04-11,,,2009-10-14,2010-01-04,,2012-05-16,2012-07-23,,2012-04-26,,2018-10-29,,,,2002-01-18
2006-11-02,,,2010-04-26,2017-05-09,,2016-06-14,,,,2016-10-03,,2002-06-17,,,2008-06-03,,,2015-11-12,2011-10-17,,2018-03-13,,2018-08-07,,,,2003-04-21
2006-05-04,,,2004-07-01,2018-11-13,,2016-11-14,,,,,,2001-11-30,,,2015-03-25,,,2012-02-06,2011-07-19,,,,2018-07-09,,,,2003-04-10
2005-07-28,,,,2017-02-07,,2016-08-09,,,,,,2004-10-07,,,2008-10-15,,,2012-02-06,2011-04-19,,,,2018-06-06,,,,2006-01-10
2006-02-02,,,,2016-11-14,,2016-05-05,,,,,,2003-05-28,,,2007-10-09,,,2013-02-07,2011-01-24,,,,2018-07-30,,,,2004-11-22
2004-12-09,,,,2016-08-09,,2016-08-10,,,,,,2001-02-27,,,2016-01-28,,,2012-09-07,2010-10-18,,,,2018-05-29,,,,2003-03-18
2006-12-15,,,,2016-05-10,,2016-02-04,,,,,,,,,2013-10-01,,,2012-11-28,2010-04-20,,,,2015-10-23,,,,2004-10-29
2005-05-05,,,,2016-02-09,,2015-11-05,,,,,,,,,,,,2010-11-16,2010-07-20,,,,2019-04-08,,,,
2005-02-03,,,,2015-11-10,,2016-05-06,,,,,,,,,,,,2010-07-22,2010-01-25,,,,2016-12-06,,,,
2004-07-22,,,,2015-08-11,,2015-10-02,,,,,,,,,,,,2011-04-29,2009-10-21,,,,2016-05-27,,,,
2004-10-28,,,,2015-05-12,,2016-02-05,,,,,,,,,,,,2009-10-22,2009-04-22,,,,2015-11-09,,,,
2004-04-22,,,,2015-02-10,,2015-11-06,,,,,,,,,,,,2013-12-03,2009-01-26,,,,2015-02-06,,,,
2005-07-28,,,,2014-05-06,,2015-08-07,,,,,,,,,,,,2012-09-18,2008-10-21,,,,2014-11-12,,,,
2004-01-22,,,,2014-02-04,,2015-08-10,,,,,,,,,,,,2007-07-31,2019-08-22,,,,2014-06-04,,,,
2005-05-18,,,,2014-11-13,,2015-05-08,,,,,,,,,,,,2011-07-12,,,,,2014-02-19,,,,
2002-10-22,,,,2013-08-06,,2015-02-05,,,,,,,,,,,,2004-10-28,,,,,2017-05-31,,,,
2002-10-23,,,,2013-11-12,,2015-05-13,,,,,,,,,,,,2002-04-23,,,,,2013-11-20,,,,
2006-12-18,,,,2013-05-07,,2015-02-09,,,,,,,,,,,,2011-08-01,,,,,2018-07-24,,,,
2005-07-20,,,,2013-02-05,,2014-11-06,,,,,,,,,,,,2007-08-31,,,,,2017-04-25,,,,
,,,,2012-11-13,,2014-11-06,,,,,,,,,,,,2011-08-26,,,,,2012-08-01,,,,
,,,,2012-08-07,,2014-08-07,,,,,,,,,,,,2016-04-04,,,,,2011-02-04,,,,
,,,,2012-05-03,,2014-08-08,,,,,,,,,,,,2012-08-22,,,,,,,,,
,,,,2011-11-10,,2014-05-09,,,,,,,,,,,,2013-03-26,,,,,,,,,
,,,,2011-05-05,,2014-02-06,,,,,,,,,,,,2013-12-03,,,,,,,,,
,,,,2011-02-08,,2014-05-09,,,,,,,,,,,,,,,,,,,,,
,,,,2010-11-12,,2014-08-08,,,,,,,,,,,,,,,,,,,,,
,,,,2010-08-05,,2014-02-07,,,,,,,,,,,,,,,,,,,,,
,,,,2014-08-05,,2013-11-07,,,,,,,,,,,,,,,,,,,,,
,,,,2019-10-17,,2013-11-08,,,,,,,,,,,,,,,,,,,,,
,,,,2010-05-06,,2013-08-08,,,,,,,,,,,,,,,,,,,,,
,,,,2010-02-09,,2016-06-14,,,,,,,,,,,,,,,,,,,,,
,,,,2009-11-12,,2014-12-16,,,,,,,,,,,,,,,,,,,,,
,,,,2013-06-13,,2013-08-09,,,,,,,,,,,,,,,,,,,,,
,,,,2009-08-06,,2013-05-07,,,,,,,,,,,,,,,,,,,,,
,,,,2009-05-07,,2013-05-09,,,,,,,,,,,,,,,,,,,,,
,,,,2011-10-06,,2012-11-19,,,,,,,,,,,,,,,,,,,,,
,,,,2009-02-10,,2013-02-08,,,,,,,,,,,,,,,,,,,,,
,,,,2010-08-04,,2013-02-07,,,,,,,,,,,,,,,,,,,,,
,,,,2008-11-12,,2012-11-06,,,,,,,,,,,,,,,,,,,,,
,,,,2008-08-07,,2013-11-15,,,,,,,,,,,,,,,,,,,,,
,,,,2014-01-31,,2012-10-10,,,,,,,,,,,,,,,,,,,,,
,,,,2010-09-22,,2012-11-08,,,,,,,,,,,,,,,,,,,,,
,,,,2008-05-08,,2012-08-09,,,,,,,,,,,,,,,,,,,,,
,,,,2008-02-12,,2012-05-09,,,,,,,,,,,,,,,,,,,,,
,,,,2007-11-27,,2012-05-08,,,,,,,,,,,,,,,,,,,,,
,,,,2007-08-08,,2012-08-10,,,,,,,,,,,,,,,,,,,,,
,,,,2010-07-14,,2012-02-07,,,,,,,,,,,,,,,,,,,,,
,,,,2014-10-08,,2012-02-07,,,,,,,,,,,,,,,,,,,,,
,,,,2010-07-01,,2011-11-03,,,,,,,,,,,,,,,,,,,,,
,,,,2011-07-26,,2011-10-11,,,,,,,,,,,,,,,,,,,,,
,,,,2018-03-14,,2011-11-18,,,,,,,,,,,,,,,,,,,,,
,,,,2014-07-14,,2011-05-11,,,,,,,,,,,,,,,,,,,,,
,,,,2015-07-06,,2011-08-11,,,,,,,,,,,,,,,,,,,,,
,,,,,,2011-05-10,,,,,,,,,,,,,,,,,,,,,
,,,,,,2011-03-22,,,,,,,,,,,,,,,,,,,,,
,,,,,,2011-02-14,,,,,,,,,,,,,,,,,,,,,
,,,,,,2011-02-08,,,,,,,,,,,,,,,,,,,,,
,,,,,,2010-11-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,2010-08-12,,,,,,,,,,,,,,,,,,,,,
,,,,,,2010-05-10,,,,,,,,,,,,,,,,,,,,,
,,,,,,2010-02-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,2009-11-03,,,,,,,,,,,,,,,,,,,,,
,,,,,,2009-08-11,,,,,,,,,,,,,,,,,,,,,
,,,,,,2009-05-11,,,,,,,,,,,,,,,,,,,,,
,,,,,,2010-11-19,,,,,,,,,,,,,,,,,,,,,
,,,,,,2009-02-03,,,,,,,,,,,,,,,,,,,,,
,,,,,,2008-11-06,,,,,,,,,,,,,,,,,,,,,
,,,,,,2009-11-20,,,,,,,,,,,,,,,,,,,,,
,,,,,,2008-08-14,,,,,,,,,,,,,,,,,,,,,
,,,,,,2008-05-08,,,,,,,,,,,,,,,,,,,,,
,,,,,,2011-06-24,,,,,,,,,,,,,,,,,,,,,
,,,,,,2008-02-07,,,,,,,,,,,,,,,,,,,,,
,,,,,,2007-11-07,,,,,,,,,,,,,,,,,,,,,
,,,,,,2007-08-22,,,,,,,,,,,,,,,,,,,,,
,,,,,,2007-05-15,,,,,,,,,,,,,,,,,,,,,
,,,,,,2008-11-14,,,,,,,,,,,,,,,,,,,,,
,,,,,,2007-03-21,,,,,,,,,,,,,,,,,,,,,
,,,,,,2007-05-30,,,,,,,,,,,,,,,,,,,,,
,,,,,,2007-04-02,,,,,,,,,,,,,,,,,,,,,
