1487712,1308547,1398987,1590364,1545654,1674168,1657853,1617406,1579877,1707178,1138118
2019-05-10,2019-11-14,2017-08-03,2019-02-28,2019-01-14,2019-01-16,2019-03-25,2019-05-06,2017-11-21,2019-11-13,2019-03-07
2019-08-09,2019-08-01,2013-11-04,2018-06-21,2019-10-30,2018-03-13,2018-08-31,2016-12-30,2019-06-14,2019-08-13,2018-03-08
2019-02-22,2019-05-01,2013-07-24,2018-11-02,2018-12-20,2018-03-08,2018-05-09,2019-09-04,2014-09-10,2019-03-21,2019-03-05
2018-11-09,2019-01-30,2014-07-15,2018-08-02,2016-11-02,2018-08-09,2019-11-26,,2014-07-16,2019-05-14,2016-02-03
2019-11-08,2018-10-24,2012-01-25,2018-05-04,2016-02-29,2018-05-16,2019-08-02,,2017-12-13,2018-06-04,2015-08-21
2018-08-10,2018-07-25,2019-11-07,2018-02-28,2015-03-06,2017-03-15,2017-03-07,,2014-09-16,,2015-05-05
2018-05-11,2018-04-24,2019-03-29,2017-11-03,2014-03-03,2019-04-25,2016-09-27,,2014-07-21,,2015-03-31
2018-02-23,2018-01-24,2016-06-03,2017-08-03,2017-11-08,2018-11-29,2016-07-07,,2014-10-02,,2013-02-21
2017-11-13,2017-07-25,2016-07-22,2017-05-05,,2017-01-04,,,2019-11-18,,2013-08-20
2017-05-04,2017-10-25,2018-02-09,2017-02-24,,,,,2017-03-20,,2011-11-16
2016-11-04,2017-04-26,2015-10-28,2016-11-02,,,,,,,2011-08-30
2017-05-05,2017-01-25,2013-03-08,2016-08-03,,,,,,,2011-11-04
2017-02-24,2019-11-18,,2016-05-03,,,,,,,2015-04-03
2016-08-05,2007-05-16,,2016-03-01,,,,,,,2013-11-13
2016-05-09,2007-11-20,,2015-11-04,,,,,,,2011-03-10
2016-02-29,2005-06-17,,2015-08-12,,,,,,,2017-11-01
2015-11-06,2007-11-13,,2018-09-18,,,,,,,2010-02-04
2015-08-07,,,2017-03-15,,,,,,,2009-12-08
2015-05-08,,,2017-06-22,,,,,,,2008-11-07
2015-02-27,,,2015-05-22,,,,,,,2008-07-30
2013-02-05,,,,,,,,,,2008-04-30
2012-09-26,,,,,,,,,,2009-06-10
2012-03-19,,,,,,,,,,2007-10-30
,,,,,,,,,,2006-10-31
,,,,,,,,,,2006-05-17
,,,,,,,,,,2005-08-02
,,,,,,,,,,2005-03-23
,,,,,,,,,,2005-11-09
,,,,,,,,,,2004-02-19
,,,,,,,,,,2004-05-12
,,,,,,,,,,2004-11-10
,,,,,,,,,,2004-08-11
,,,,,,,,,,2003-11-20
,,,,,,,,,,2003-07-09
,,,,,,,,,,2015-01-13
,,,,,,,,,,2002-11-15
,,,,,,,,,,2002-05-24
,,,,,,,,,,2002-08-19
,,,,,,,,,,2011-02-18
,,,,,,,,,,2009-03-26
,,,,,,,,,,2006-11-01
,,,,,,,,,,2006-06-30
,,,,,,,,,,2003-02-20
,,,,,,,,,,2003-04-30
,,,,,,,,,,2010-11-17
