702165,1492691,1506307,1614436,1043277,1633651,1389170,1514226,277948,1135017,737874,1090727,27904,1066107,1498710,1158463,887637
2019-10-23,2018-07-25,2019-09-12,2016-04-04,2019-08-12,2019-08-14,2018-05-03,2019-08-14,2019-02-12,2014-11-18,2007-02-09,2017-11-13,2019-12-12,2012-03-09,2019-10-23,2019-03-05,2005-10-31
2019-02-11,2017-11-06,2019-08-30,2014-11-19,2019-02-11,2019-08-13,2017-11-02,2019-05-14,2018-02-12,2014-11-10,2005-06-02,2009-04-27,2018-12-13,2012-03-01,2019-07-24,2018-07-10,2012-07-23
2019-04-24,2018-04-25,2019-07-19,,2018-08-24,2019-05-10,2014-10-14,2019-03-19,2019-09-05,2014-08-29,2003-07-07,2015-11-20,2017-12-14,2010-05-20,2019-04-24,2018-05-18,2005-05-17
2019-07-24,2018-01-30,2019-08-09,,2018-10-02,2019-10-30,2015-11-06,2018-11-13,2019-02-27,2014-08-18,2004-12-06,2016-10-25,2016-03-08,2009-02-04,2019-02-05,2014-11-19,2005-06-02
2018-08-03,2017-08-25,2019-12-16,,2018-02-08,2019-07-25,2018-07-03,2018-08-06,2018-11-14,2014-06-06,,2012-03-23,2009-07-22,2008-05-15,2012-08-06,2013-04-12,2006-11-15
2019-01-24,2018-11-15,2019-05-28,,2018-02-26,2019-05-07,2016-05-23,2018-05-14,2017-04-03,2014-05-30,,2005-07-21,2008-03-18,2008-04-16,2015-08-11,2011-10-26,2005-09-14
2018-10-24,2012-05-08,2019-05-10,,2017-12-07,2018-10-09,2016-03-17,2018-03-21,2017-02-15,2014-05-20,,2004-04-27,2007-03-27,2011-06-08,2017-11-28,2010-12-08,2011-08-31
2018-07-25,2017-09-11,2019-04-26,,2017-10-18,2018-09-11,2016-10-11,2017-11-13,2018-02-20,2014-05-09,,2007-10-23,2008-04-18,2009-05-06,,2012-04-05,2012-03-07
2018-04-25,2013-08-07,2019-03-01,,2017-08-10,2018-08-13,2016-10-12,2017-08-14,2017-05-01,2014-04-22,,2005-05-18,2006-12-19,2011-10-18,,2009-11-16,
2018-01-24,2017-04-13,2019-02-11,,2017-05-11,2018-07-24,2015-03-04,2017-05-15,2017-03-07,2014-03-10,,,2005-11-02,2006-12-29,,2009-10-22,
2017-12-06,2010-12-23,2019-01-18,,2017-10-31,2019-01-31,2012-10-09,2017-03-29,2014-04-15,2014-02-25,,,2006-01-10,2004-10-15,,2009-07-23,
2019-08-28,,2018-12-03,,2017-07-19,2018-10-31,2017-01-23,2016-11-14,2013-04-16,2014-02-24,,,2005-09-15,2005-05-31,,2009-04-23,
2017-11-15,,2018-11-08,,2017-02-09,2018-08-02,2016-05-24,2016-08-05,2015-10-20,2014-02-07,,,2005-09-07,,,2009-01-29,
2017-10-30,,2019-08-21,,2016-12-08,2018-05-03,2014-10-20,2016-05-09,2016-10-18,2014-01-27,,,2005-09-13,,,2008-01-23,
2017-08-14,,2018-08-31,,2017-01-26,2017-12-04,,2016-03-30,2009-10-13,2013-12-06,,,2005-05-23,,,2007-01-30,
2017-07-31,,2018-08-14,,2016-08-11,2017-08-14,,2015-08-03,2011-11-01,2013-11-19,,,2004-07-30,,,2006-10-24,
2019-10-28,,2018-09-06,,2017-04-26,2017-11-02,,2015-11-06,2011-05-24,2013-11-08,,,2011-08-17,,,2019-11-21,
2019-05-01,,2018-05-07,,2016-10-25,2017-05-30,,2015-05-08,2010-10-20,2013-09-09,,,2006-03-31,,,2006-02-01,
2018-02-15,,2018-02-26,,2017-01-31,2017-05-17,,2014-11-10,2007-11-16,2013-08-26,,,2004-02-03,,,2005-10-20,
2016-04-12,,2018-05-29,,2016-09-01,2017-08-02,,2015-03-31,2009-01-20,2013-08-16,,,2011-02-14,,,2005-07-21,
2016-04-11,,2018-02-12,,2018-04-11,2017-02-21,,2014-08-11,2007-11-16,2013-06-11,,,2011-04-05,,,2005-04-21,
2015-12-23,,2018-01-19,,2012-10-17,2017-01-17,,2014-05-12,2006-09-22,2013-06-03,,,2010-07-02,,,2005-01-27,
2015-12-14,,2017-12-04,,2013-08-26,2016-12-05,,2014-03-14,2008-03-27,2013-05-20,,,2010-11-22,,,2004-10-28,
