1577916,1412232,1650729,1402057,1489136,1599617,1378718,1600438,1617898,1281949,1604416,1279529,1573097,927653,1618673,1439095,1665918,1328581,1494319
2019-01-09,2017-05-05,2019-05-31,2019-09-26,2018-03-20,2016-01-21,2019-11-26,2018-04-05,2016-05-23,2006-05-25,2018-02-14,2007-06-20,2019-09-10,2018-11-01,2019-11-25,2019-11-04,2019-11-05,2019-11-07,2019-08-22
2019-05-08,2015-03-25,,2017-03-02,2019-09-16,2018-05-01,2018-02-08,,2015-12-01,2004-08-31,2016-04-05,2007-12-03,2019-06-11,2019-05-24,2019-07-01,2019-11-01,2019-08-06,2019-08-05,2018-09-18
2019-08-22,2015-09-30,,2016-08-18,2018-01-19,2014-05-30,2014-02-05,,2014-12-12,2006-12-22,2018-09-18,2006-06-07,2018-12-04,2019-02-05,2019-10-02,2019-08-05,2019-05-07,2019-05-07,2017-11-29
2018-01-09,,,2010-10-26,2016-11-08,,2012-06-13,,2018-05-01,2005-07-29,2017-12-19,2004-12-03,2019-03-19,2018-07-31,2016-05-17,2019-05-02,2019-02-12,2019-02-26,2017-01-20
2019-02-07,,,2011-05-23,2017-06-06,,2019-08-09,,,,2017-03-22,,2018-09-05,2017-05-18,2019-12-31,2019-10-31,2018-11-06,2018-08-06,2015-07-30
2016-12-02,,,2017-03-31,2016-06-21,,2014-01-31,,,,2014-06-16,,2018-06-05,2014-09-22,2019-05-17,2019-05-02,2018-07-30,2018-05-04,2018-11-01
2018-11-08,,,2015-03-03,2017-09-21,,2016-10-04,,,,2016-06-15,,2018-03-13,2014-01-30,,2019-02-14,2018-05-08,2018-11-06,2015-07-07
2018-05-10,,,2014-08-06,2016-05-31,,2014-02-28,,,,,,2017-12-05,2015-07-31,,2018-11-01,2018-02-15,2018-02-26,2019-11-22
2017-11-09,,,2014-12-01,2014-06-23,,,,,,,,2017-09-06,2018-02-13,,2019-08-01,2019-05-02,2017-10-31,2019-03-01
2018-02-08,,,2014-06-09,2011-11-17,,,,,,,,2017-06-06,2013-01-31,,2018-08-02,2017-11-07,2017-07-27,
2018-08-23,,,2011-06-30,2013-08-06,,,,,,,,2017-03-14,2013-02-06,,2018-11-01,2017-04-14,2017-05-03,
2017-05-11,,,2011-04-14,2017-03-21,,,,,,,,2016-12-06,2014-03-05,,2019-02-14,2017-08-09,2017-02-24,
2017-08-24,,,2013-05-01,2013-12-16,,,,,,,,2016-09-12,2017-02-17,,2018-08-01,2017-05-09,2016-10-24,
2017-02-08,,,2010-12-21,2013-01-14,,,,,,,,2016-09-07,2014-01-29,,2017-10-31,2017-01-13,2016-07-28,
2016-11-09,,,2017-08-25,2011-10-28,,,,,,,,2016-06-07,2015-10-23,,2018-05-03,2017-11-07,2016-05-03,
2016-08-25,,,2010-12-07,2018-07-02,,,,,,,,2015-12-08,2013-10-25,,2018-02-26,2017-02-15,2016-02-18,
2016-05-12,,,,2016-09-30,,,,,,,,2016-03-15,2009-06-02,,2018-02-16,2016-08-09,2015-10-22,
2016-02-11,,,,2013-06-20,,,,,,,,2014-12-09,2012-12-26,,2018-05-02,2016-11-08,2015-07-23,
2015-05-13,,,,2011-11-04,,,,,,,,2013-12-10,2011-08-02,,2017-11-03,2018-07-30,2015-04-23,
2015-11-12,,,,2011-06-21,,,,,,,,2013-12-10,2013-08-02,,2017-11-02,2019-06-04,2015-02-19,
2015-02-11,,,,2017-07-17,,,,,,,,2017-08-07,2012-10-25,,2018-02-15,2016-06-28,2014-10-23,
2015-01-12,,,,,,,,,,,,2017-09-01,2017-03-07,,2017-08-04,2016-06-01,2014-07-24,
2014-05-28,,,,,,,,,,,,,2009-04-28,,2017-05-10,,2014-04-23,
2014-05-14,,,,,,,,,,,,,2008-07-29,,2017-08-03,,2014-02-21,
2017-05-31,,,,,,,,,,,,,2010-11-29,,2017-02-24,,2013-10-21,
2015-05-13,,,,,,,,,,,,,2006-11-06,,2017-05-04,,2013-07-22,
2014-01-13,,,,,,,,,,,,,2007-01-08,,2016-11-03,,2013-04-22,
2015-02-12,,,,,,,,,,,,,2005-01-12,,2017-02-16,,2013-03-07,
2014-11-13,,,,,,,,,,,,,2014-02-05,,2016-08-02,,2013-04-16,
2013-12-03,,,,,,,,,,,,,2010-11-03,,2016-05-02,,2013-07-22,
2016-11-28,,,,,,,,,,,,,2004-07-22,,2016-02-23,,2013-02-13,
2014-08-28,,,,,,,,,,,,,2006-05-26,,2015-11-05,,,
2015-08-04,,,,,,,,,,,,,2007-01-26,,2015-08-03,,,
2013-10-07,,,,,,,,,,,,,2007-02-01,,2015-04-30,,,
,,,,,,,,,,,,,2005-08-01,,2014-11-10,,,
,,,,,,,,,,,,,2006-11-07,,2015-02-19,,,
,,,,,,,,,,,,,2007-06-14,,2014-09-04,,,
,,,,,,,,,,,,,2013-11-21,,2014-11-06,,,
,,,,,,,,,,,,,2016-07-05,,2014-05-08,,,
,,,,,,,,,,,,,2004-09-28,,2014-07-31,,,
,,,,,,,,,,,,,,,2014-02-27,,,
,,,,,,,,,,,,,,,2014-05-01,,,
,,,,,,,,,,,,,,,2014-02-20,,,
,,,,,,,,,,,,,,,2013-11-04,,,
,,,,,,,,,,,,,,,2013-10-31,,,
,,,,,,,,,,,,,,,2013-08-15,,,
,,,,,,,,,,,,,,,2013-08-01,,,
,,,,,,,,,,,,,,,2013-05-29,,,
,,,,,,,,,,,,,,,2013-05-02,,,
,,,,,,,,,,,,,,,2013-03-12,,,
,,,,,,,,,,,,,,,2013-02-21,,,
,,,,,,,,,,,,,,,2012-12-06,,,
,,,,,,,,,,,,,,,2012-10-09,,,
,,,,,,,,,,,,,,,2012-08-21,,,
,,,,,,,,,,,,,,,2012-06-12,,,
,,,,,,,,,,,,,,,2012-05-31,,,
,,,,,,,,,,,,,,,2013-03-12,,,
,,,,,,,,,,,,,,,2012-03-28,,,
,,,,,,,,,,,,,,,2012-03-01,,,
,,,,,,,,,,,,,,,2015-05-19,,,
,,,,,,,,,,,,,,,2011-11-16,,,
,,,,,,,,,,,,,,,2018-05-25,,,
,,,,,,,,,,,,,,,2013-11-20,,,
,,,,,,,,,,,,,,,2015-06-11,,,
,,,,,,,,,,,,,,,2014-07-21,,,
,,,,,,,,,,,,,,,2012-11-09,,,
,,,,,,,,,,,,,,,2017-09-26,,,
