,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1,135.0,-0.0084 (6.76%),-0.0180 (4.37%),-0.0392 (0.44%),-0.0839 (0.00%),-0.1142 (0.00%),-0.1396 (0.00%),-0.0134 (7.83%),-0.0271 (2.10%),-0.0424 (0.63%),-0.0476 (1.26%),-0.0572 (0.49%)
2,112.0,-0.0010 (75.36%),-0.0133 (2.98%),-0.0362 (0.22%),-0.0353 (1.89%),-0.0616 (0.11%),-0.0604 (0.28%),-0.0078 (19.61%),-0.0248 (3.31%),-0.0233 (8.81%),-0.0411 (1.79%),-0.0329 (8.53%)
3,8.0,-0.0050 (60.78%),0.0076 (63.52%),0.0133 (69.21%),-0.0294 (12.85%),-0.0849 (3.52%),-0.1588 (2.05%),0.0061 (71.02%),0.0228 (47.57%),0.0005 (97.98%),-0.0320 (16.02%),-0.0709 (5.30%)
4,481.0,0.0043 (21.44%),0.0055 (20.23%),-0.0007 (91.73%),-0.0050 (56.55%),-0.0182 (6.55%),-0.0232 (3.48%),0.0045 (27.75%),0.0018 (79.20%),0.0022 (79.00%),-0.0113 (23.94%),-0.0137 (20.60%)
5,56.0,0.0038 (19.75%),-0.0048 (46.23%),-0.0088 (48.99%),-0.0349 (3.53%),-0.0514 (1.23%),-0.0777 (0.14%),-0.0023 (72.43%),-0.0002 (98.44%),-0.0158 (30.71%),-0.0252 (16.87%),-0.0438 (3.95%)
6,41.0,-0.0024 (80.79%),-0.0072 (55.27%),-0.0138 (37.10%),-0.0177 (48.33%),-0.0638 (2.74%),-0.0773 (1.13%),-0.0067 (58.90%),-0.0138 (35.43%),-0.0145 (55.10%),-0.0660 (2.60%),-0.0941 (0.11%)
7,125.0,0.0004 (83.08%),0.0049 (26.30%),-0.0080 (27.64%),-0.0223 (5.93%),-0.0397 (0.43%),-0.0527 (0.10%),0.0042 (33.30%),-0.0098 (16.88%),-0.0158 (18.14%),-0.0307 (1.85%),-0.0349 (1.67%)
8,354.0,0.0011 (64.52%),-0.0000 (99.15%),-0.0038 (47.16%),-0.0087 (29.01%),-0.0195 (4.75%),-0.0293 (0.67%),-0.0009 (77.95%),-0.0101 (4.98%),-0.0221 (0.62%),-0.0374 (0.01%),-0.0506 (0.00%)
9,283.0,0.0018 (32.51%),0.0003 (93.03%),-0.0062 (17.60%),-0.0039 (55.80%),-0.0007 (93.08%),0.0071 (46.73%),-0.0014 (63.71%),-0.0089 (4.47%),-0.0106 (8.94%),-0.0077 (30.47%),-0.0081 (36.76%)
10,30.0,0.0023 (58.66%),-0.0076 (45.34%),-0.0170 (33.25%),-0.0213 (44.43%),-0.0573 (9.55%),-0.0827 (4.03%),-0.0061 (49.22%),-0.0121 (47.25%),-0.0204 (43.75%),-0.0470 (11.91%),-0.0626 (6.68%)
11,41.0,0.0009 (78.25%),0.0091 (13.50%),0.0070 (55.52%),-0.0018 (92.23%),0.0190 (48.22%),0.0042 (88.71%),0.0082 (21.09%),-0.0029 (79.80%),-0.0224 (22.63%),-0.0114 (67.48%),-0.0386 (20.63%)
13,35.0,-0.0019 (68.28%),0.0024 (76.02%),0.0126 (33.05%),0.0330 (5.74%),0.0126 (47.21%),0.0173 (45.50%),0.0005 (95.47%),0.0093 (47.76%),0.0269 (13.47%),0.0033 (85.31%),0.0032 (89.10%)
14,1.0,0.0140 (nan%),0.0183 (nan%),0.0307 (nan%),0.2058 (nan%),0.2225 (nan%),0.2531 (nan%),0.0124 (nan%),0.0261 (nan%),0.1549 (nan%),0.1862 (nan%),0.2207 (nan%)
15,33.0,0.0027 (56.19%),0.0105 (21.57%),0.0199 (10.81%),0.0083 (69.67%),-0.0203 (41.02%),-0.0308 (21.49%),0.0065 (32.07%),0.0151 (7.27%),0.0145 (31.93%),-0.0023 (89.86%),0.0059 (76.88%)
16,17.0,0.0140 (1.92%),-0.0055 (66.15%),-0.0060 (81.98%),-0.0234 (33.88%),-0.0403 (35.97%),-0.0074 (89.38%),-0.0053 (69.67%),-0.0161 (55.87%),-0.0464 (17.25%),-0.0660 (24.77%),-0.0724 (26.84%)
17,110.0,-0.0014 (74.72%),-0.0016 (83.92%),-0.0054 (70.66%),-0.0020 (89.72%),-0.0068 (71.97%),-0.0338 (11.35%),0.0018 (81.84%),-0.0052 (72.33%),-0.0091 (59.59%),-0.0155 (43.11%),-0.0503 (2.63%)
Total,1862.0,0.0013 (33.76%),0.0007 (76.06%),-0.0028 (49.5%),-0.0015 (78.7%),-0.0047 (48.35%),-0.0078 (31.6%),0.0002 (92.98%),-0.0054 (18.34%),-0.0086 (10.94%),-0.0121 (6.24%),-0.0218 (0.42%)
