,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,2.0,-0.0039 (87.23%),0.0712 (7.03%),0.0748 (26.69%),0.0543 (20.69%),0.0714 (23.01%),0.1353 (12.75%),0.0071 (86.60%),0.0741 (13.49%),0.0593 (32.46%),0.0481 (46.39%),0.0621 (7.58%),0.1750 (24.19%)
1,4.0,-0.0047 (27.73%),0.0250 (42.42%),0.0559 (13.26%),0.2114 (4.20%),0.3486 (0.94%),0.3991 (0.36%),-0.0028 (69.86%),0.0096 (60.14%),-0.0054 (81.88%),0.0870 (35.29%),0.1699 (17.64%),0.2280 (2.30%)
2,5.0,-0.0126 (38.53%),-0.0467 (28.36%),-0.0727 (5.48%),-0.1228 (24.86%),-0.0972 (54.03%),-0.0414 (82.04%),-0.0098 (41.41%),-0.0551 (15.02%),-0.0733 (5.16%),-0.1041 (18.28%),-0.0952 (45.59%),-0.0787 (61.53%)
3,1.0,-0.0432 (nan%),0.0040 (nan%),0.6002 (nan%),1.2056 (nan%),1.5032 (nan%),1.4551 (nan%),-0.0683 (nan%),-0.0029 (nan%),0.5264 (nan%),0.9766 (nan%),1.2230 (nan%),1.1344 (nan%)
4,75.0,0.0066 (1.91%),0.0043 (59.89%),0.0313 (4.86%),0.0356 (6.27%),0.0655 (1.56%),0.0991 (0.06%),0.0053 (5.55%),0.0036 (60.50%),0.0292 (3.34%),0.0416 (2.27%),0.0596 (1.66%),0.0818 (0.15%)
5,3.0,0.0082 (66.22%),0.0188 (36.90%),0.0012 (97.53%),0.0087 (89.75%),-0.0204 (62.05%),-0.0007 (98.78%),0.0093 (60.17%),0.0200 (21.53%),0.0014 (96.61%),-0.0033 (95.80%),-0.0329 (38.76%),-0.0211 (53.09%)
6,15.0,0.0055 (39.22%),0.0142 (20.79%),0.0349 (17.37%),0.0441 (19.84%),0.0852 (5.21%),0.0572 (19.88%),0.0055 (40.48%),0.0144 (19.94%),0.0391 (11.83%),0.0383 (22.53%),0.0790 (6.77%),0.0510 (26.59%)
7,7.0,0.0093 (27.98%),-0.0083 (59.48%),-0.0173 (71.50%),-0.0145 (85.43%),-0.0641 (42.20%),-0.0242 (78.48%),0.0041 (50.75%),-0.0119 (45.50%),-0.0141 (72.71%),-0.0408 (54.67%),-0.0740 (27.78%),-0.0702 (37.83%)
8,39.0,-0.0045 (53.38%),-0.0110 (29.32%),-0.0007 (95.65%),0.0040 (84.46%),0.0097 (75.47%),-0.0226 (48.52%),-0.0047 (53.05%),-0.0145 (18.18%),-0.0043 (76.65%),0.0018 (91.94%),0.0193 (50.76%),-0.0041 (89.19%)
9,49.0,0.0018 (58.55%),0.0087 (10.72%),0.0183 (12.81%),0.0517 (1.47%),0.0877 (0.70%),0.1115 (0.41%),0.0016 (59.75%),0.0092 (13.76%),0.0125 (31.31%),0.0297 (17.97%),0.0518 (10.58%),0.0660 (7.84%)
11,10.0,0.0253 (21.01%),0.0314 (23.91%),0.0258 (63.91%),0.0262 (66.64%),0.0197 (80.72%),0.0382 (69.86%),0.0312 (11.26%),0.0392 (13.24%),0.0292 (52.73%),0.0173 (77.34%),0.0305 (68.08%),0.0569 (52.00%)
13,3.0,-0.0029 (65.47%),0.0369 (15.02%),-0.0148 (46.36%),0.0010 (98.02%),0.0357 (43.17%),0.0673 (23.37%),0.0029 (67.97%),0.0566 (10.57%),0.0178 (66.18%),0.0348 (56.89%),0.0642 (41.54%),0.0748 (13.00%)
15,1.0,0.0027 (nan%),0.0540 (nan%),0.0445 (nan%),-0.0334 (nan%),-0.1074 (nan%),-0.1623 (nan%),0.0068 (nan%),0.0336 (nan%),0.0285 (nan%),-0.0245 (nan%),-0.0674 (nan%),-0.1095 (nan%)
17,10.0,0.0103 (56.36%),0.0078 (63.72%),0.0293 (32.52%),0.0870 (13.62%),0.0995 (14.45%),0.1373 (11.47%),0.0147 (43.44%),0.0068 (77.40%),0.0269 (43.78%),0.0700 (28.04%),0.0781 (23.58%),0.0868 (24.28%)
Total,224.0,0.36% (9.89%),0.49% (22.03%),2.13% (0.6%),3.84% (0.09%),6.3% (0.01%),7.86% (0.0%),0.35% (10.79%),0.41% (29.09%),1.8% (1.18%),3.03% (0.49%),4.95% (0.07%),5.79% (0.02%)
