316206,1546417,1524358,940944,1468174,1174922,1357204,1584509,1618756,1525769,745308,1002579,1636222,858339,1048286,1058090,1585689,1300514,7032,1673358,1566897,1620533,1653653,1041061
2015-12-22,2019-05-02,2019-05-13,2019-09-19,2018-03-23,2019-05-13,2019-05-16,2019-11-19,2019-09-24,2019-06-14,2019-10-23,2004-03-08,2019-06-18,2019-07-02,2019-07-01,2019-05-24,2018-05-11,2019-10-23,2011-03-24,2018-08-01,2015-03-03,2019-10-04,2017-05-04,2019-10-30
2014-08-27,2014-12-16,2018-05-18,2018-09-20,2018-01-23,2018-05-30,2018-07-11,2019-08-26,2019-11-20,2018-06-15,2017-05-30,,2018-05-04,2019-05-01,2011-05-09,2018-10-25,2019-05-13,2019-08-22,2009-11-04,2016-11-01,2016-06-29,2018-10-26,2017-03-07,2019-08-13
2011-05-10,2013-04-29,2017-05-17,2017-12-14,2017-05-18,2018-05-22,2018-05-22,2019-08-06,,2016-06-17,2018-08-03,,2019-06-25,2019-02-21,2009-08-06,2018-03-14,2017-05-26,2019-05-31,,,2013-08-13,,2016-11-07,2019-06-26
2006-10-18,2013-02-21,2016-05-19,2017-09-26,2018-04-02,2018-04-19,2017-05-15,2019-05-07,,2017-06-12,2017-03-02,,2016-12-23,2019-04-17,2016-06-13,2015-02-24,2016-05-06,2019-07-24,,,2015-05-26,,2016-10-03,2019-05-21
2004-09-24,2012-11-07,2015-06-11,2016-10-04,2014-06-05,2018-04-18,2016-05-13,2019-02-05,,2017-08-23,2016-03-02,,,2018-07-16,2013-07-19,2014-05-16,2015-05-08,2019-04-03,,,2016-05-17,,2016-08-15,2019-08-01
2005-11-14,,2014-06-11,2014-10-16,2011-06-20,2019-09-05,2015-05-13,2018-11-13,,2015-05-18,2015-11-05,,,2018-11-01,2005-02-08,2013-10-18,2014-05-09,2019-04-17,,,2015-02-09,,2016-05-12,2019-05-01
2012-11-26,,2015-05-15,2014-10-10,2013-08-28,2017-04-26,2015-05-05,2018-08-07,,,2014-05-20,,,2019-03-01,2011-06-27,2016-05-11,2018-04-19,2019-01-23,,,2014-05-15,,2017-09-21,2018-11-15
,,2013-06-13,2015-09-22,2011-08-09,2018-09-11,2015-10-01,2019-10-07,,,2014-04-08,,,2018-08-01,2005-06-08,2011-09-20,2017-01-04,2018-10-24,,,2013-09-17,,,2019-02-07
,,2012-03-16,2017-03-27,,2016-04-20,2015-01-12,2018-05-08,,,2013-05-22,,,2018-05-10,2008-11-12,2015-05-15,2017-03-22,2019-05-20,,,,,,2018-05-21
,,2016-04-07,2014-11-13,,2017-09-07,2015-02-05,2018-02-06,,,2012-05-23,,,2018-04-16,2007-05-16,2010-02-11,2016-08-18,2018-06-07,,,,,,2018-10-31
