1024657,1395942,1060391,1082754,1669600,1546640,1585790,1657197,1428875,19411,1062047,1324424,1552033
2009-11-06,2019-06-06,2019-10-30,2015-06-10,2017-06-26,2016-04-01,2019-09-23,2018-05-25,2019-05-01,2019-10-31,2017-04-28,2017-06-16,2016-05-04
2015-11-24,2018-06-04,2018-07-17,2014-05-22,2017-06-14,2016-02-16,2019-10-29,,2018-12-11,2019-12-05,2018-06-28,2016-09-20,2016-02-12
2012-08-16,2017-06-05,2018-05-14,2011-05-27,,2012-09-17,2019-07-18,,2018-04-27,2013-10-01,2011-05-02,2016-04-28,2016-09-22
2006-06-05,2018-02-20,2019-02-07,2015-08-04,,,2019-06-28,,2017-04-27,2014-04-01,2014-01-07,2016-02-10,2015-06-29
2014-01-27,2014-03-06,2018-10-25,2014-10-02,,,2019-07-30,,2016-05-04,2008-02-25,2012-03-27,2015-05-22,2015-12-15
2013-02-21,2013-12-17,2017-07-28,2011-06-30,,,2019-06-21,,2015-04-29,2006-02-06,2010-03-09,2014-06-20,2015-07-02
2002-08-02,2019-06-28,2017-07-31,2015-11-23,,,2019-05-08,,2018-09-10,,2005-11-21,2011-12-12,2014-04-09
2014-07-03,2011-05-17,2017-05-15,,,,2019-04-30,,2018-10-01,,2006-03-31,2015-02-13,
2010-10-06,2019-06-14,2018-02-08,,,,2019-02-21,,,,,2006-11-09,
2016-06-21,2016-03-09,2017-02-17,,,,2018-10-31,,,,,2005-08-15,
,2019-09-20,2017-11-02,,,,2018-08-01,,,,,2016-09-21,
,2017-05-31,2017-04-27,,,,2018-05-02,,,,,2010-02-11,
,2014-03-12,2017-07-27,,,,2018-02-22,,,,,,
,,2016-07-27,,,,2017-06-19,,,,,,
,,2017-02-16,,,,2017-11-01,,,,,,
,,2016-07-28,,,,2017-06-19,,,,,,
,,2016-10-27,,,,2017-08-02,,,,,,
,,2016-04-28,,,,2017-05-04,,,,,,
,,2016-02-11,,,,2017-02-23,,,,,,
,,2015-10-29,,,,2016-11-02,,,,,,
,,2015-07-23,,,,2016-08-04,,,,,,
,,2015-04-23,,,,2016-05-03,,,,,,
,,2014-05-08,,,,2016-03-03,,,,,,
,,2014-08-25,,,,2016-02-01,,,,,,
,,2013-05-10,,,,2015-10-29,,,,,,
,,2014-02-06,,,,2015-08-10,,,,,,
,,2013-04-25,,,,2015-05-05,,,,,,
,,2013-07-25,,,,2015-12-02,,,,,,
,,2013-02-07,,,,2019-04-15,,,,,,
,,2012-05-17,,,,2016-08-05,,,,,,
,,2012-12-18,,,,2016-11-14,,,,,,
,,2011-07-29,,,,,,,,,,
,,2011-05-12,,,,,,,,,,
,,2012-08-21,,,,,,,,,,
,,2010-05-14,,,,,,,,,,
,,2018-06-11,,,,,,,,,,
,,2010-02-12,,,,,,,,,,
,,2009-05-05,,,,,,,,,,
,,2010-06-28,,,,,,,,,,
,,2011-05-09,,,,,,,,,,
,,2008-12-19,,,,,,,,,,
,,2008-10-30,,,,,,,,,,
,,2012-05-08,,,,,,,,,,
,,2007-07-26,,,,,,,,,,
,,2010-03-04,,,,,,,,,,
,,2008-12-10,,,,,,,,,,
,,2011-04-21,,,,,,,,,,
,,2002-09-13,,,,,,,,,,
,,2016-05-04,,,,,,,,,,
,,2009-11-25,,,,,,,,,,
,,2009-06-05,,,,,,,,,,
,,2014-07-02,,,,,,,,,,
,,2008-06-23,,,,,,,,,,
,,2007-05-02,,,,,,,,,,
,,2005-07-05,,,,,,,,,,
,,2009-09-10,,,,,,,,,,
,,2016-06-06,,,,,,,,,,
,,2008-09-24,,,,,,,,,,
