1137774,1171825,886982,1013220,1578735,913357,899051,922621,1584207,40729,1592386,1299688,86312,1156039,1594012,1580608,1472787,831001,888002,5513,927628,1267238,1315657,1739940,4962,1475922,1593538,1126328,811612,1409970,1304994,1571949,870517,1079577,1520566,921847,874766,1475841,860748,1575879,1613665,1264755,750556,1535929,1479750,777001,36377,1422183,1178970,1615418,1360683,1029786,895421,1365790,1403385,1490906,1099219,1569391,1585064,1381197,1120193,1056288,1403161,1442145,1295230,874501,1430592,1601712,1184702,1141391,806085,1052100,315709,1617242,1365135,1132327,759944,1295172,1502749,1476651,5272,1122304,1137048,1176948,1276520,1393612,820027,923687,1368007,1397911,1430723
2019-09-05,2019-08-16,2019-05-03,2004-11-10,2016-06-24,2006-11-13,2019-05-21,2019-10-24,2019-11-20,2019-05-08,2018-12-12,2008-04-22,2019-05-24,2019-05-15,2015-06-10,2019-12-12,2019-05-09,2019-04-17,2011-10-27,2019-05-23,2018-07-26,2019-05-08,2013-12-27,2019-04-29,2019-05-08,2019-05-17,2019-06-10,2019-05-23,2007-10-31,2016-02-11,2006-07-28,2019-05-20,2005-08-16,2015-05-29,2017-05-12,2014-12-22,2019-05-23,2015-05-11,2006-02-07,2017-07-26,2019-02-21,2009-10-14,2019-04-23,2014-07-31,2017-01-26,2007-12-21,2018-01-09,2016-08-04,2019-11-04,2018-08-08,2016-02-26,2009-04-07,2016-05-17,2010-10-18,2015-05-12,2019-01-24,2018-09-26,2016-05-12,2015-06-30,2019-04-23,2019-04-26,2018-07-02,2018-01-31,2014-01-14,2007-05-01,2016-12-01,2018-05-24,2019-05-30,2004-12-20,2019-06-25,2012-01-23,2018-02-20,2019-05-21,2019-10-25,2019-05-20,2002-06-14,2019-09-10,2009-02-19,2016-05-23,2016-05-17,2019-05-21,2018-05-22,2008-09-18,2019-05-22,2017-03-07,2011-06-20,2018-04-27,2000-07-24,2013-06-05,2018-05-17,2019-04-19
2015-02-10,2016-03-23,2018-05-04,2001-03-27,2016-01-26,2006-02-17,2018-12-13,2019-07-25,2019-10-28,2018-05-09,2019-05-17,,2018-05-30,2016-05-20,2019-07-30,2015-07-15,2018-05-10,2018-07-02,,2018-10-15,2017-05-08,2009-07-01,,,2018-05-08,2018-05-17,2018-05-30,2018-05-24,,2016-05-09,2007-01-25,2018-05-21,2005-04-21,2015-05-13,2015-05-19,,2019-08-08,2015-11-20,2009-02-09,2017-06-23,2018-02-22,2008-03-31,2018-04-24,2014-12-05,2016-10-20,2004-06-17,2005-05-26,2014-03-12,2017-07-28,,2016-01-26,2007-02-27,2017-05-22,2007-11-08,2014-05-20,2018-01-25,2017-06-15,2017-07-24,2015-02-18,2017-04-26,2018-04-27,2018-04-13,2017-02-01,2012-03-23,,2016-09-16,2017-05-26,2018-05-23,2005-09-30,2019-04-30,2008-04-18,2015-02-03,2013-05-23,2018-10-26,2017-05-12,,2019-04-26,2010-03-02,2014-08-29,,2018-05-09,2017-05-24,2006-08-25,,2015-05-18,2010-12-16,2018-01-24,2000-09-26,2013-04-26,2017-05-23,2018-05-16
2011-10-12,2016-07-11,2017-04-28,2003-10-28,,,2018-05-11,2019-05-02,2019-07-29,2017-05-04,2017-10-26,,2017-05-19,2018-05-16,,2015-01-30,2016-05-13,2018-04-30,,2018-02-27,2009-03-12,2008-04-23,,,2017-05-02,2017-05-22,2017-05-26,2017-09-20,,2014-12-16,2006-02-01,2017-05-22,2005-01-21,2014-05-15,2015-11-30,,2018-08-22,,2018-02-14,2017-04-25,2018-02-20,2009-04-22,2017-04-25,2014-12-16,,2000-09-28,2005-01-26,2013-12-13,2017-04-28,,,,2013-01-31,,2013-05-07,2017-01-27,2017-08-07,2015-05-13,2015-04-02,2015-04-29,2017-05-12,,2017-02-02,,,2017-01-06,2017-05-25,2017-05-22,,2019-10-29,2007-12-07,2014-02-19,2009-12-22,2017-10-27,2018-05-22,,2019-05-14,,2014-05-27,,2017-06-28,2016-05-25,2005-09-16,,2014-05-21,2009-06-19,2014-05-01,2000-09-26,2012-04-27,2016-05-16,2017-05-19
2010-05-12,2016-10-12,2016-05-20,2001-12-07,,,2017-05-25,2019-02-21,2019-04-29,2016-05-03,2017-07-21,,2016-05-20,2016-05-04,,2014-05-01,2015-05-14,2017-04-28,,2018-05-25,2011-07-13,2009-03-09,,,2015-05-12,2011-05-19,2016-06-01,2017-05-22,,2019-03-29,2006-05-15,2018-05-22,2005-02-28,2013-05-15,2014-05-22,,2019-11-04,,2006-02-06,2017-02-21,2017-02-27,2006-01-06,2016-04-26,2015-03-09,,,2001-07-20,2012-12-17,2011-07-29,,,,2011-05-19,,2014-05-14,2014-01-23,2015-07-29,2016-04-22,2014-01-28,2013-04-30,2018-01-31,,2013-01-30,,,2015-09-02,2014-05-23,2015-05-27,,2019-07-30,2006-12-12,2013-04-18,2004-01-22,2016-10-31,2016-05-13,,2018-09-27,,2015-05-26,,2016-05-11,2015-05-19,,,2012-04-18,2007-07-09,2013-04-22,2001-12-17,2011-07-28,2014-05-09,2016-05-06
2012-02-15,2010-02-08,2015-05-22,2003-01-28,,,2016-05-27,2018-10-25,2019-02-11,2016-02-11,2017-02-02,,2015-05-22,2015-05-14,,,2014-05-16,2016-04-06,,2017-05-25,2007-10-30,2017-05-12,,,2016-05-02,2013-02-19,2015-08-04,2016-05-23,,2019-06-06,,2016-05-17,,2012-05-09,2014-05-08,,2019-05-01,,,2016-09-26,2017-02-24,2005-04-15,2015-04-29,2013-07-31,,,2001-05-11,,2011-05-02,,,,2010-01-22,,2012-05-09,2016-01-28,2015-03-11,2015-04-02,2014-10-07,2011-05-03,2017-04-26,,2011-02-02,,,2014-12-23,2014-11-06,2014-08-11,,2018-06-26,2005-11-21,2014-04-17,2008-12-23,2015-10-30,2014-05-16,,2018-04-27,,,,2016-05-25,2017-10-26,,,2012-05-21,2009-03-13,2010-04-30,,2011-05-02,2014-04-23,2015-05-01
2010-02-11,2014-07-25,2014-05-19,,,,2016-03-10,2018-07-26,2018-10-31,2015-05-29,2016-04-12,,2014-06-02,2014-05-14,,,2013-05-16,2016-04-29,,2015-05-21,2008-11-18,2004-10-15,,,2014-05-13,2015-01-05,2015-05-28,2015-05-26,,2017-12-04,,2015-05-19,,2011-08-11,2014-07-08,,2018-10-25,,,2016-09-30,2016-08-01,2007-10-01,2013-04-29,,,,,,,,,,2010-05-19,,2011-09-30,2013-01-23,2011-04-29,2014-11-12,2014-08-26,,2017-01-31,,2012-01-31,,,2016-12-13,2012-11-06,2014-11-19,,2017-06-27,,2013-02-19,,2019-12-19,2015-05-20,,2017-04-28,,,,2019-11-25,2013-05-22,,,2018-03-09,2007-07-05,2005-11-18,,,2015-05-15,2014-04-28
2006-12-05,2008-12-24,2013-05-23,,,,2015-05-19,2018-04-26,2018-07-30,2015-03-20,2018-05-15,,2013-05-24,2013-05-15,,,2012-05-16,2015-05-04,,2016-05-26,2005-11-18,2004-12-17,,,2013-05-02,2010-08-25,2014-12-11,2013-05-24,,2017-10-16,,2014-05-19,,2011-05-18,2013-02-21,,2019-08-01,,,2014-02-13,,,2012-04-25,,,,,,,,,,2009-05-22,,2011-05-17,2015-01-29,2011-03-23,2015-01-06,,,2016-05-09,,2011-01-31,,,2016-01-05,2011-05-12,,,2016-06-28,,2012-04-23,,2017-11-02,2013-06-03,,2016-05-02,,,,2016-03-31,2014-06-04,,,2008-04-01,,2005-10-04,,,2012-12-26,2013-04-30
2003-04-21,2006-09-05,2012-05-24,,,,2014-05-20,2018-02-22,2018-05-02,2014-07-18,2015-05-05,,2012-05-25,2017-05-18,,,2011-05-20,2014-04-25,,2014-05-20,2006-05-03,2018-01-09,,,2012-05-03,,,2012-05-25,,2018-01-26,,2015-10-28,,2010-12-15,2012-06-14,,2018-05-31,,,2013-11-18,,,2014-04-23,,,,,,,,,,2008-04-10,,2010-06-11,2011-08-02,2011-03-21,2017-04-21,,,2015-05-11,,2018-09-18,,,2014-04-09,2011-10-21,,,2015-06-10,,2013-07-30,,,2011-07-28,,2017-04-20,,,,2016-03-16,2016-06-02,,,2009-07-10,,2005-09-16,,,2011-05-25,2012-05-01
2010-10-01,2006-05-15,2011-05-10,,,,2016-11-28,2017-08-09,2018-02-15,2014-12-23,2018-11-08,,2011-09-20,2013-02-12,,,2017-05-12,2013-04-26,,2015-02-03,2005-09-15,2017-10-18,,,2011-05-05,,,2011-08-18,,2019-06-19,,2014-09-11,,2009-04-21,,,2018-01-08,,,2014-03-11,,,2011-08-12,,,,,,,,,,2007-04-13,,,2012-01-26,2009-12-21,2013-08-09,,,2014-05-13,,2010-04-21,,,2010-01-29,,,,2014-06-03,,2012-02-16,,,2011-05-24,,2015-05-06,,,,2015-05-13,2012-05-21,,,2006-03-08,,,,,2011-10-26,2011-04-22
,2009-10-02,2008-10-31,,,,2014-02-05,2017-04-26,2018-07-13,2014-03-14,2016-09-27,,2011-06-01,2012-05-16,,,2010-05-28,2013-02-21,,2012-05-25,,,,,2011-01-28,,,2011-05-23,,2009-05-22,,,,2008-09-12,,,2019-02-04,,,2014-12-22,,,2011-04-27,,,,,,,,,,2008-10-30,,,2011-02-23,2007-12-13,2013-07-01,,,2013-11-29,,2007-10-04,,,2008-02-01,,,,2013-06-18,,2011-04-12,,,2011-04-04,,,,,,2016-02-02,2011-05-23,,,2005-09-19,,,,,2010-07-23,
