1045829,1437578,1320414,1411574,1035688,1578318,860730
2011-11-15,2013-04-11,2019-09-24,2015-03-17,2013-03-15,2014-06-02,2019-01-17
2008-05-12,2013-02-04,2017-10-23,,2017-10-23,2014-06-10,2014-04-25
2005-11-09,,2013-03-15,,2018-03-23,2016-06-16,2013-04-25
2006-02-08,,2018-03-23,,2017-03-07,,2012-04-30
2005-09-30,,2017-03-07,,2016-09-28,,2011-07-26
2010-06-15,,2016-09-28,,2007-10-03,,2010-11-24
,,2019-08-01,,2010-06-23,,2005-11-03
,,2019-12-11,,2007-03-28,,2003-02-05
,,2010-06-23,,2011-06-02,,2004-11-10
,,2011-06-02,,2004-10-20,,
,,2018-10-31,,2019-08-01,,
,,2018-02-02,,2004-11-23,,
,,,,2018-10-31,,
,,,,2018-02-02,,
