1487712,1308547,1398987,1590364,1545654,1674168,1657853,1579877,1617406,1138118
2019-11-08,2011-06-28,2019-05-02,2019-11-20,2019-05-01,2019-05-17,2019-11-27,2018-05-24,2019-05-06,2019-09-06
2019-02-22,,2017-03-17,,2018-10-03,2019-05-09,2019-11-05,2019-06-10,2017-01-04,2019-06-07
2016-02-29,,2018-11-06,,2018-04-30,2018-10-31,2019-08-07,2015-12-14,,2019-03-07
2018-05-03,,2017-10-23,,2017-09-12,2018-05-10,2019-05-07,2015-06-11,,2017-06-12
2011-11-22,,2013-04-09,,2018-12-20,2017-05-12,2018-08-31,2017-12-13,,2017-05-23
2016-06-01,,2013-04-09,,2017-04-27,2018-11-29,2019-02-26,2014-07-21,,2017-05-30
2013-05-13,,2019-11-07,,2016-04-28,2017-01-04,2018-11-09,2014-04-02,,2017-03-07
2012-05-07,,2016-07-22,,2016-01-06,,2018-08-07,,,2016-05-19
,,2018-02-09,,2015-05-01,,2018-05-08,,,2015-12-03
,,2015-10-28,,2014-05-02,,2018-02-28,,,2015-05-21
,,2013-03-08,,2013-05-03,,2017-11-09,,,2014-05-19
,,,,2013-11-21,,2017-08-08,,,2014-04-30
,,,,,,2017-05-09,,,2013-11-21
,,,,,,2017-02-28,,,2012-11-09
,,,,,,2016-11-08,,,2012-12-06
,,,,,,2016-08-09,,,2012-09-10
,,,,,,2017-03-07,,,2012-05-14
,,,,,,2016-07-07,,,2012-05-15
,,,,,,,,,2012-03-06
,,,,,,,,,2011-11-21
,,,,,,,,,2011-11-16
,,,,,,,,,2011-09-06
,,,,,,,,,2011-05-17
,,,,,,,,,2011-05-05
,,,,,,,,,2011-03-08
,,,,,,,,,2010-12-02
,,,,,,,,,2010-11-17
,,,,,,,,,2010-08-05
,,,,,,,,,2010-05-25
,,,,,,,,,2010-02-23
,,,,,,,,,2009-08-25
,,,,,,,,,2009-11-18
,,,,,,,,,2009-05-18
,,,,,,,,,2009-02-23
,,,,,,,,,2008-08-13
,,,,,,,,,2008-05-19
,,,,,,,,,2008-04-30
,,,,,,,,,2008-05-16
,,,,,,,,,2007-03-23
,,,,,,,,,2007-03-14
,,,,,,,,,2007-05-18
,,,,,,,,,2006-09-12
,,,,,,,,,2002-11-15
,,,,,,,,,2006-11-01
,,,,,,,,,2003-10-07
,,,,,,,,,2003-04-30
