702165,1492691,1614436,1506307,1043277,1633651,1389170,1514226,277948,1090727,1135017,737874,27904,1066107,1498710,1158463,887637
2019-05-14,2019-05-31,2015-08-14,2019-05-13,2017-05-03,2019-12-17,2019-10-01,2015-06-23,2019-06-04,2019-11-08,2014-08-12,2004-12-06,2019-09-26,2011-07-15,2018-10-17,2014-06-11,2012-02-03
2018-05-14,2018-06-05,2016-04-04,2018-05-14,2010-05-19,2019-03-11,2017-05-23,2014-07-14,2018-01-16,2019-05-10,,,2019-06-20,2012-03-26,2017-12-15,2014-05-29,2011-05-23
2017-05-16,2017-05-24,,2017-05-12,2010-05-17,2019-12-17,2011-09-19,,2018-04-05,2019-10-22,,,2019-06-20,2011-05-18,2012-08-06,2011-06-01,2011-08-31
2016-04-12,2018-11-15,,2016-08-19,2012-10-17,2018-07-27,2016-05-23,,2017-06-08,2019-07-24,,,2019-12-12,2011-05-24,,2009-11-16,2012-03-07
2016-04-29,2011-10-27,,2016-05-13,,2015-05-12,2017-01-23,,2017-10-17,2019-04-25,,,2019-01-15,2012-03-26,,2004-03-31,
2016-03-28,2011-06-09,,2015-05-13,,,2014-10-20,,2017-07-18,2019-08-13,,,2018-06-29,2009-05-06,,,
2015-08-04,2017-09-11,,2017-01-24,,,,,2018-01-12,2018-05-14,,,2018-10-11,2007-12-06,,,
2012-08-16,2017-04-13,,2014-05-21,,,,,2017-10-31,2019-10-22,,,2018-10-11,2006-10-26,,,
2011-05-18,,,2014-08-12,,,,,2017-11-15,2017-05-08,,,2017-06-30,2006-03-14,,,
2011-05-13,,,,,,,,2017-02-13,2017-02-21,,,2017-03-06,2010-05-11,,,
2010-05-18,,,,,,,,2016-02-16,2016-10-27,,,2017-01-12,2006-02-16,,,
2007-02-23,,,,,,,,2012-02-10,2016-09-16,,,2016-06-10,2005-03-31,,,
2016-04-08,,,,,,,,2014-05-08,2016-07-29,,,2016-12-15,,,,
2006-02-15,,,,,,,,2011-05-05,2016-04-28,,,2015-06-25,,,,
2005-02-17,,,,,,,,2008-06-20,2016-02-12,,,2013-07-01,,,,
2007-06-12,,,,,,,,2007-11-16,2015-04-29,,,2014-06-27,,,,
,,,,,,,,2007-09-14,2014-05-12,,,2012-06-15,,,,
,,,,,,,,2007-09-06,2014-06-06,,,2011-06-30,,,,
,,,,,,,,2008-06-13,2011-05-10,,,2012-04-30,,,,
,,,,,,,,2006-06-15,2011-10-25,,,2008-04-18,,,,
,,,,,,,,2005-08-11,2009-07-23,,,2006-03-31,,,,
,,,,,,,,2005-01-06,2005-05-18,,,2004-09-15,,,,
,,,,,,,,,,,,2004-12-06,,,,
,,,,,,,,,,,,2003-03-25,,,,
