1412232,1577916,1650729,1402057,1489136,1599617,1600438,1378718,1617898,1281949,1604416,1279529,1573097,927653,1618673,1439095,1665918,1328581,1494319
2017-05-02,2019-12-06,2017-08-17,2019-05-23,2019-12-05,2016-01-21,2019-11-04,2019-01-25,2016-08-26,2006-06-02,2019-02-05,2007-12-06,2018-10-02,2018-07-27,2019-11-13,2019-11-04,2018-05-07,2019-05-03,2019-12-16
2015-05-13,2017-12-01,2017-03-23,2018-05-25,2019-05-20,2018-05-01,2018-11-01,2018-01-29,2018-07-17,2006-05-04,2018-02-05,2007-05-29,2018-06-21,2018-01-10,2019-03-04,2019-05-01,2019-05-02,2018-05-04,2019-10-31
2016-05-19,2018-12-07,2017-03-03,2017-09-22,2018-05-22,2014-05-30,2018-08-08,2017-01-30,2018-05-01,2006-02-14,2017-05-05,2006-06-07,2016-11-14,2017-07-28,2018-11-14,2019-09-27,2017-05-15,2017-05-05,2019-08-07
2017-05-05,2019-05-06,2016-10-03,2019-03-11,2018-01-08,,2019-04-03,2016-01-28,2014-12-19,2005-05-23,2017-02-02,2004-12-03,2013-08-30,2016-07-29,2017-11-13,2013-08-09,2016-06-01,2018-02-26,2017-11-03
2015-09-30,2016-12-02,,2018-12-20,2018-03-20,,2018-06-28,2015-01-29,,2005-05-02,2014-07-23,,2017-08-07,2018-07-31,2016-12-02,2013-05-10,,2018-02-26,2017-05-09
,2017-11-09,,2016-05-19,2017-05-18,,2018-03-06,2017-09-18,,2005-02-14,2017-12-19,,,2014-08-04,2019-11-25,2013-05-17,,2016-04-29,2016-05-05
,2018-02-08,,2016-03-14,2016-08-05,,2018-08-15,2014-06-02,,2006-12-22,2017-03-22,,,2014-02-28,2016-05-04,2011-11-16,,2015-05-01,2016-05-03
,2018-08-23,,2015-05-15,2016-02-29,,2017-12-07,2014-02-12,,2005-07-29,2016-06-15,,,2015-07-31,,2018-05-25,,2014-07-31,2015-09-17
,2015-12-04,,2014-03-28,2015-05-15,,2017-11-07,2014-01-31,,,,,,2013-09-30,,2013-11-20,,2014-05-12,2016-05-03
,2015-11-12,,2014-05-28,2014-05-20,,2017-09-13,2015-04-23,,,,,,2010-01-25,,2015-06-11,,2016-02-19,2018-11-01
,2016-11-28,,2016-08-18,2016-05-19,,2017-08-08,2015-04-06,,,,,,2013-08-02,,2014-07-21,,,2019-03-01
,2015-08-04,,2011-07-01,2017-06-06,,2017-06-29,2014-11-20,,,,,,2011-08-02,,2012-11-09,,,
,2014-08-05,,2017-03-31,2013-05-23,,2017-09-06,2013-01-28,,,,,,2010-11-03,,2017-09-26,,,
,,,2014-06-09,2016-05-31,,2017-10-20,2014-05-15,,,,,,,,,,,
,,,2011-06-30,2012-05-30,,2017-03-22,2012-03-09,,,,,,,,,,,
,,,2013-05-01,2011-06-01,,2016-08-09,2019-08-09,,,,,,,,,,,
,,,2010-12-07,2013-08-06,,,,,,,,,,,,,,
,,,,2018-07-02,,,,,,,,,,,,,,
,,,,2016-09-30,,,,,,,,,,,,,,
,,,,2011-11-04,,,,,,,,,,,,,,
,,,,2011-06-21,,,,,,,,,,,,,,
,,,,2017-07-17,,,,,,,,,,,,,,
