,Annual return,Cumulative return,Annual volatility,Max drawdown,Alpha,A.pvalue,Beta,B.pvalue
1177609_2019-06-21_2019-10-28,-0.028106500917469912,0.9898698557370822,0.0405127652065852,-0.2045852262511615,-0.000983814564457175,0.8649878526625319,1.5990489463126039,2.662970017513206e-10
1177609_2019-06-05_2019-10-10,0.060294318543651526,1.021129609180322,0.04041964935847092,-0.21006049382843983,0.0001691592683077392,0.9766247488010864,1.6034971466340702,1.8532936361396558e-10
1177609_2019-03-27_2019-08-02,-0.23166855106043305,0.9101741639246123,0.03980986600789546,-0.25945760435976883,-0.002825822394835753,0.669381943041528,1.2536492346070602,0.00044000085263112083
1177609_2019-01-15_2019-05-23,0.3673233204362507,1.1182153150951717,0.03269906193300395,-0.14813558287539652,0.0054911604550218485,0.32521275952363726,0.5773940982201459,0.05978708997052076
1177609_2018-12-06_2019-04-16,1.3342478272553144,1.3535710535422558,0.04307372580433244,-0.12732660878612811,0.007078918415830637,0.27614363918899343,0.9621711178633681,0.00012142199343469309
1177609_2018-12-03_2019-04-12,0.76288834810181,1.2244397814600325,0.044399451516998256,-0.18706343208403164,0.005322054407163268,0.41847863575364086,1.0257392088348145,2.2419197003436913e-05
1177609_2018-10-05_2019-02-14,0.32635263953439186,1.1061315704991361,0.048673366038318205,-0.27388381856223143,0.005969889705279119,0.33204088485610606,1.2694987682247756,7.570459632431614e-10
1177609_2018-09-06_2019-01-15,0.03629068702744309,1.0128127062606622,0.05444762590617367,-0.3303190924047936,0.0078094987968537755,0.3013006607055588,1.1955714635875503,8.066103624237725e-07
1177609_2018-06-20_2018-10-25,0.4810950897606703,1.1505949917894756,0.038480861681672585,-0.16672892882181511,0.008570208445743521,0.18804881633352377,1.0030665923350606,0.0015197937638142761
1177609_2018-06-06_2018-10-11,1.5008053146472222,1.3873031967238598,0.052937934964286074,-0.1573125760886922,0.014264873113279952,0.13645035384807114,1.2005754890115345,0.0379261221963482
