,cik
10107,789019.0
10220,1486957.0
10278,790159.0
11850,34088.0
11990,1404912.0
12026,1305294.0
12089,1286225.0
12308,1091667.0
12364,1487990.0
12366,1443646.0
12369,1467858.0
12373,1498828.0
12384,1489136.0
12400,1397911.0
12410,1489979.0
12448,1132979.0
12449,1175454.0
12473,1492691.0
12476,1389170.0
12515,1504008.0
12558,1506307.0
12591,1411494.0
12622,860730.0
12623,1501585.0
12639,1401680.0
12641,1487712.0
12742,1271024.0
12788,1509991.0
12796,1498710.0
12835,1518222.0
12865,1383729.0
12872,1510295.0
12873,1230276.0
12879,1045829.0
12880,1514991.0
12882,1366684.0
12908,1378718.0
12914,1357204.0
12981,1519751.0
13008,1507934.0
13018,1524471.0
13035,1524472.0
13046,1511737.0
13080,1364962.0
13081,1294924.0
13085,1524358.0
13108,1490281.0
13110,1419852.0
13124,1528129.0
13141,1518832.0
13168,1526520.0
13169,1439404.0
13181,1528396.0
13188,1530950.0
13210,1352010.0
13249,1443669.0
13253,1524741.0
13267,858339.0
13284,1411207.0
13292,1301031.0
13299,1520566.0
13305,1439288.0
13314,1533932.0
13326,1493594.0
13342,1223862.0
13343,1439095.0
13356,1534701.0
13367,1535031.0
13379,1353283.0
13384,1502749.0
13407,1326801.0
13429,1545654.0
13430,1618756.0
13447,1373715.0
13511,1327567.0
13527,1177609.0
13543,1237831.0
13548,1546417.0
13553,808461.0
13567,1546640.0
13579,1475841.0
13594,1479750.0
13598,1545158.0
13604,1378992.0
13616,1383871.0
13621,1401667.0
13622,1398987.0
13625,1549346.0
13628,1327811.0
13641,1539838.0
13687,1528849.0
13690,1294016.0
13708,1046859.0
13711,1408356.0
13721,1551152.0
13730,1534504.0
13739,1437578.0
13766,1328581.0
13788,1555280.0
13800,1315657.0
13818,1564822.0
13830,1024657.0
13831,1562039.0
13837,1559865.0
13860,1564902.0
13904,1535929.0
13909,1284807.0
13911,1478242.0
13919,874501.0
13932,1490660.0
13940,1269021.0
13949,1402057.0
13957,1573097.0
13963,1564708.0
13964,1564708.0
13983,1024305.0
13998,1569391.0
14017,1566897.0
14040,101830.0
14044,1439222.0
14063,1122897.0
14065,1578318.0
14072,1356090.0
14076,1573516.0
14097,1424929.0
14102,1575515.0
14131,1577095.0
14141,1571123.0
14149,1576169.0
14159,1370880.0
14160,1488613.0
14168,1561660.0
14169,1577916.0
14176,1280600.0
14179,1433270.0
14182,1579298.0
14185,1320461.0
14229,1584207.0
14239,1517228.0
14244,1237746.0
14257,1125345.0
14260,1411574.0
14271,1348334.0
14295,1418091.0
14304,1575879.0
14312,1580156.0
14329,1584509.0
14335,1582966.0
14337,1585064.0
14338,1585689.0
14340,1452751.0
14401,1587732.0
14406,1590714.0
14408,1588216.0
14409,1588238.0
14414,1580608.0
14436,1515673.0
14464,1578735.0
14471,1360683.0
14478,1592480.0
14487,1587523.0
14503,1579877.0
14505,1592000.0
14521,937098.0
14542,1652044.0
14547,1591698.0
14554,1459417.0
14558,40729.0
14565,1422183.0
14567,1594109.0
14570,1595262.0
14573,1707178.0
14579,1590955.0
14593,320193.0
14601,1593538.0
14602,1697463.0
14608,1597033.0
14617,1176948.0
14632,1599617.0
14634,1594466.0
14637,1591517.0
14641,1463172.0
14670,1430723.0
14685,1704720.0
14695,1510580.0
14696,1593936.0
14703,1599222.0
14714,1596532.0
14750,1428875.0
14759,1604028.0
14763,1596783.0
14773,821483.0
14776,1601712.0
14803,1428336.0
14811,
14828,1597553.0
14831,1599947.0
14851,1476651.0
14872,1606745.0
14881,1604416.0
14889,759944.0
14926,1609702.0
14939,1601046.0
14941,1606498.0
14944,1611983.0
14954,1610092.0
14969,1613665.0
14970,1404655.0
14984,1608249.0
14988,1611983.0
15014,1525769.0
15023,1412232.0
15046,1444380.0
15065,921299.0
15071,1610950.0
15079,1613859.0
15088,1614436.0
15091,1617898.0
15092,1409970.0
15105,1616817.0
15108,1448056.0
15117,726513.0
