,gvkey,fyear,mkvalt
0,001072,1999.0,6614.3374
1,001072,1998.0,1380.08
2,001072,1998.0,1380.08
3,001072,1999.0,6614.3374
4,001072,2000.0,3015.3565
5,001072,2000.0,3015.3565
6,001072,2001.0,3657.7783
7,001072,2001.0,3657.7783
8,001072,2002.0,1563.849
9,001072,2002.0,1563.849
10,001072,2003.0,2863.4555
11,001072,2003.0,2863.4555
12,001072,2004.0,2118.6988
13,001072,2004.0,2118.6988
14,001072,2005.0,3048.2232
15,001072,2005.0,3048.2232
16,001072,2006.0,2609.4448
17,001072,2006.0,2609.4448
18,001072,2007.0,2191.3555
19,001072,2007.0,2191.3555
20,001072,2008.0,1547.0867
21,001072,2008.0,1547.0867
22,001072,2009.0,2415.0508
23,001072,2009.0,2415.0508
24,001072,2010.0,2536.8172
25,001072,2010.0,2536.8172
26,001072,2011.0,2248.9093
27,001072,2011.0,2248.9093
28,001072,2012.0,2006.7327
29,001072,2012.0,2006.7327
30,001072,2013.0,2217.1528
31,001072,2013.0,2217.1528
32,001072,2014.0,2400.0713
33,001072,2014.0,2400.0713
34,001072,2015.0,2105.3744
35,001072,2015.0,2105.3744
36,001072,2016.0,2750.6934
37,001072,2016.0,2750.6934
38,001072,2017.0,2787.5827
39,001072,2017.0,2787.5827
40,001072,2018.0,2927.4428
41,001072,2018.0,2927.4428
42,001485,1998.0,69646.5266
43,001177,2002.0,6166.6019
44,001177,2005.0,26713.3075
45,001177,1998.0,11107.5896
46,001177,1998.0,11107.5896
47,001177,1999.0,7963.3833
48,001177,1999.0,7963.3833
49,001177,2000.0,5856.2927
50,001177,2000.0,5856.2927
51,001177,2001.0,4759.3353
52,001177,2001.0,4759.3353
53,001177,2001.0,4759.3353
54,001177,2002.0,6166.6019
55,001177,2002.0,6166.6019
56,001177,2003.0,10307.5719
57,001177,2003.0,10307.5719
58,001177,2003.0,10307.5719
59,001177,2004.0,18276.2493
60,001177,2004.0,18276.2493
61,001177,2005.0,26713.3075
62,001177,2005.0,26713.3075
63,001177,2006.0,22280.88
64,001177,2006.0,22280.88
65,001177,2006.0,22280.88
66,001177,2007.0,28651.399
67,001177,2007.0,28651.399
68,001177,2007.0,28651.399
69,001177,2008.0,13004.55
70,001177,2008.0,13004.55
71,001177,2008.0,13004.55
72,001177,2009.0,13656.36
73,001177,2009.0,13656.36
74,001177,2009.0,13656.36
75,001177,2010.0,11728.044
76,001177,2010.0,11728.044
77,001177,2010.0,11728.044
78,001177,2011.0,14753.843
79,001177,2011.0,14753.843
80,001177,2011.0,14753.843
81,001177,2012.0,15171.156
82,001177,2012.0,15171.156
83,001177,2012.0,15171.156
84,001177,2014.0,31072.734
85,001177,2014.0,31072.734
86,001177,2014.0,31072.734
87,001177,2015.0,37787.94
88,001177,2015.0,37787.94
89,001177,2015.0,37787.94
90,001177,2016.0,43614.317
91,001177,2016.0,43614.317
92,001177,2016.0,43614.317
93,001177,2017.0,58951.452
94,001177,2017.0,58951.452
95,001177,2017.0,58951.452
96,001414,2012.0,1691.7837
97,001414,2012.0,1691.7837
98,001414,2012.0,1691.7837
99,001414,2017.0,4493.6891
100,001414,2015.0,2281.0673
101,001414,2015.0,2281.0673
102,001414,2015.0,2281.0673
103,001414,2018.0,4171.6307
104,001414,2017.0,4493.6891
105,001414,2018.0,4171.6307
106,001414,2017.0,4493.6891
107,001414,2018.0,4171.6307
108,001447,2001.0,47503.39
109,001447,1999.0,74297.125
110,001447,2000.0,72847.125
111,001447,2000.0,72847.125
112,001447,1998.0,46176.25
113,001447,1998.0,46176.25
114,001447,1999.0,74297.125
115,001447,2002.0,46131.75
116,001447,2003.0,61927.32
117,001447,2001.0,47503.39
118,001447,2003.0,61927.32
119,001447,2003.0,61927.32
120,001447,2004.0,70406.13
121,001447,2004.0,70406.13
122,001447,2004.0,70406.13
123,001447,2005.0,63861.86
124,001447,2005.0,63861.86
125,001447,2006.0,72743.33
126,001447,2002.0,46131.75
127,001447,2006.0,72743.33
128,001447,2007.0,60239.16
129,001447,2007.0,60239.16
130,001447,2008.0,21518.0
131,001447,2010.0,51375.24
132,001447,2009.0,48299.84
133,001447,2010.0,51375.24
134,001447,2008.0,21518.0
135,001447,2009.0,48299.84
136,001447,2011.0,54905.88
137,001447,2012.0,63515.4
138,001447,2012.0,63515.4
139,001447,2011.0,54905.88
140,001447,2013.0,96536.72
141,001447,2013.0,96536.72
142,001447,2013.0,96536.72
143,001447,2015.0,67393.95
144,001447,2014.0,95179.92
145,001447,2014.0,95179.92
146,001447,2014.0,95179.92
147,001447,2015.0,67393.95
148,001447,2017.0,85307.29
149,001447,2017.0,85307.29
150,001447,2016.0,66968.32
151,001447,2016.0,66968.32
152,001447,2017.0,85307.29
153,001447,2018.0,80736.04
154,001447,2015.0,67393.95
155,001447,2018.0,80736.04
156,001447,2016.0,66968.32
157,001447,2018.0,80736.04
158,001485,1998.0,69646.5266
159,001487,2000.0,229918.0251
160,001487,1998.0,101430.0646
161,001487,1998.0,101430.0646
162,001487,2002.0,150965.4179
163,001487,1999.0,167499.465
164,001487,1999.0,167499.465
165,001487,2000.0,229918.0251
166,001487,2002.0,150965.4179
167,001487,2002.0,150965.4179
168,001487,2001.0,207665.3008
169,001487,2001.0,207665.3008
170,001487,2011.0,44006.2472
171,001487,2017.0,53565.1011
172,001487,2011.0,44006.2472
173,001487,2011.0,44006.2472
174,001487,2017.0,53565.1011
175,001487,2017.0,53565.1011
176,001487,2018.0,34153.0607
177,001487,2018.0,34153.0607
178,001487,2018.0,34153.0607
179,001567,1998.0,2517.3
180,001567,1998.0,2517.3
181,001567,2002.0,5165.76
182,001567,2000.0,3428.8461
183,001567,2000.0,3428.8461
184,001567,2001.0,4917.4726
185,001567,2001.0,4917.4726
186,001567,2003.0,7314.6466
187,001567,2003.0,7314.6466
188,001567,1999.0,3245.3351
189,001567,2006.0,9165.0482
190,001567,2006.0,9165.0482
191,001567,2004.0,8881.6514
192,001567,2004.0,8881.6514
193,001567,2005.0,8259.3429
194,001567,2005.0,8259.3429
195,001567,2007.0,9083.4134
196,001567,2007.0,9083.4134
197,001567,1999.0,3245.3351
198,001598,1998.0,716.0304
199,001598,1999.0,609.2947
200,001598,2001.0,1046.5022
201,001598,2000.0,841.5422
