conml,weburl
AVX Corp.,www.avx.com
Aetna Inc.,www.aetna.com
Primerica Inc,www.primerica.com
American Express Co,www.americanexpress.com
American International Group Inc,www.aig.com
Trane Inc,www.trane.com
AMETEK Inc,www.ametek.com
Anheuser-Busch Companies Inc,www.anheuser-busch.com
Apple Inc,www.apple.com
Avon Products Inc.,www.avonworldwide.com
Baker Hughes Inc,www.bakerhughes.com
Verizon Communications Inc,www.verizon.com
Cigna Corp,www.cigna.com
CIT Group Inc-Old,www.cit-llc.com
CSX Corp,www.csx.com
Dole Food Co Inc,www.dole.com
Magellan Health Inc,www.magellanhealth.com
Comcast Corp,corporate.comcast.com
Citigroup Inc,www.citigroup.com
Shutterstock Inc,www.shutterstock.com
Continental Resources Inc,www.clr.com
OneMain Holdings Inc,www.onemainfinancial.com
Delta Air Lines Inc,www.delta.com
Dollar General Corporation,www.dollargeneral.com
Dominion Energy Inc,www.dominionenergy.com
Dun & Bradstreet Corp (The),www.dnb.com
Exxon Mobil Corp,corporate.exxonmobil.com
Macy's Inc,www.macysinc.com
Fluor Corp,www.fluor.com
Genentech Inc,www.gene.com
Ally Financial Inc,www.ally.com
General Motors Co,www.gm.com
General Re Corp,www.genre.com
The Kraft Heinz Co,www.kraftheinzcompany.com
Hertz Global Holdings Inc,www.hertz.com
Hilton Worldwide Holdings Inc,www.hilton.com
Pinnacle Entertainment Inc.,www.pnk.com
Starwood Hotels & Resorts Worldwide Inc.,www.starwood.com
IBP Inc,www.tysonfreshmeats.com
Kinder Morgan Inc.,www.kindermorgan.com
Eli Lilly and Co,www.lilly.com
Medco Health Solutions Inc.,express-scripts.com
McKesson Corp,www.mckesson.com
Michaels Cos Inc (The),www.michaels.com
Penn Virginia Corp,www.pennvirginia.com
NCR Corp,www.ncr.com
Norfolk Southern Corp,www.norfolksouthern.com
NorthWestern Corp,www.northwesternenergy.com
Owens Corning,www.owenscorning.com
Sempra Energy,www.sempra.com
Rockwell Automation Inc.,www.rockwellautomation.com
7-Eleven Inc,www.7-eleven.com
Safeway Inc,www.safeway.com
Sealed Air Corp,www.sealedair.com
Navient Corp,www.navient.com
AT&T Inc,www.att.com
SunTrust Banks Inc.,www.suntrust.com
United Parcel Service Inc,www.ups.com
Telephone and Data Systems Inc.,www.tdsinc.com
Six Flags Entertainment Corp,www.sixflags.com
Tribune Media Co,www.tribunemedia.com
U S West-Consolidated,www.uswest.com
Sprint Corp,www.sprint.com
Alexander & Baldwin Inc,www.alexanderbaldwin.com
Anadarko Petroleum Corp,www.anadarko.com
Morgan Stanley,www.morganstanley.com
Microsoft Corp,www.microsoft.com
Coty Inc,www.coty.com
Metro-Goldwyn-Mayer Inc.,www.mgm.com
Portland General Electric Co,www.portlandgeneral.com
St. Joe Co (The),www.joe.com
Coca-Cola European Partners Plc,www.cocacolaep.com
Unum Group,www.unum.com
Pilgrim's Pride Corp,www.pilgrims.com
Neiman Marcus Inc,www.neimanmarcusgroup.com
York International Corp,www.york.com
GCI Liberty Inc,www.gciliberty.com
Zoetis Inc,www.zoetis.com
First Republic Bank,www.firstrepublic.com
LifeLock Inc,www.lifelock.com
Amphenol Corp,www.amphenol.com
ADT Corp (The),www.adt.com
Freeport-McMoRan Inc,fcx.com
Arch Coal Inc,www.archrsc.com
Devon Energy Corp,www.devonenergy.com
Workday Inc,www.workday.com
Voya Financial Inc,www.voya.com
Wheelabrator Technologies,wtienergy.com
Valero Energy Corp,www.valero.com
AbbVie Inc,www.abbvie.com
Ruckus Wireless Inc,www.ruckuswireless.com
Boise Cascade Co,www.bc.com
Lear Corp,www.lear.com
EOG Resources Inc.,www.eogresources.com
ServisFirst Bancshares Inc,www.servisfirstbank.com
Advanced Disposal Services Inc,www.advanceddisposal.com
Houghton Mifflin Harcourt Co,www.hmhco.com
T-Mobile US Inc,www.t-mobile.com
Liberty Media Corp SiriusXM Group,www.libertymedia.com
Xoom Corp,www.xoom.com
Marketo Inc,www.marketo.com
CST Brands Inc,www.cstbrands.com
